128 3044
96 128 1
80 128 2
96 112 3
72 128 4
80 88 5
96 104 6
112 120 7
68 128 8
72 76 9
80 84 10
88 92 11
96 100 12
104 108 13
112 116 14
120 124 15
66 128 16
68 70 17
72 74 18
76 78 19
80 82 20
84 86 21
88 90 22
92 94 23
96 98 24
100 102 25
104 106 26
108 110 27
112 114 28
116 118 29
120 122 30
124 126 31
65 128 32
66 67 33
68 69 34
70 71 35
72 73 36
74 75 37
76 77 38
78 79 39
80 81 40
82 83 41
84 85 42
86 87 43
88 89 44
90 91 45
92 93 46
94 95 47
96 97 48
98 99 49
100 101 50
102 103 51
104 105 52
106 107 53
108 109 54
110 111 55
112 113 56
114 115 57
116 117 58
118 119 59
120 121 60
122 123 61
124 125 62
126 127 63
67 106 1
71 88 2
52 61 3
39 69 4
23 81 5
49 107 6
119 122 7
34 128 8
38 72 9
41 86 10
91 93 11
99 100 12
105 111 13
112 117 14
121 126 15
65 67 16
69 70 17
77 78 19
81 82 20
43 85 21
44 91 22
47 93 23
49 96 24
100 103 25
55 109 27
56 57 28
61 121 30
63 125 31
64 65 32
2 44 2
7 27 3
31 62 31
8 65 8
124 127 31
47 89 11
45 91 45
38 107 1
10 23 5
77 79 19
85 113 1
125 126 31
3 54 3
29 113 14
52 71 1
2 77 2
50 51 25
60 123 30
53 114 3
79 128 4
1 63 1
20 40 20
84 87 21
1 52 1
24 54 6
60 61 30
45 88 22
76 79 19
56 70 1
63 112 7
12 49 12
19 75 9
52 98 6
27 90 1
23 41 5
54 107 13
55 106 13
111 114 3
34 83 2
101 122 3
44 117 1
31 33 1
20 45 5
97 102 12
87 120 1
32 41 2
86 98 1
18 77 9
34 38 4
52 109 13
53 105 26
36 74 18
37 39 9
50 55 6
107 115 3
1 62 1
7 15 7
17 71 17
24 119 3
31 125 31
1 6 1
34 70 17
6 102 6
89 99 1
35 68 17
80 87 10
97 99 24
28 115 28
10 41 10
85 86 21
88 113 1
125 127 31
21 82 10
7 59 7
4 65 4
39 61 1
67 128 16
62 63 31
13 53 13
31 59 7
10 89 5
49 58 3
64 76 4
52 101 6
25 93 1
7 39 1
113 115 28
1 112 1
12 42 1
11 64 2
59 116 29
19 72 9
31 127 31
1 74 1
1 5 1
1 100 1
1 48 1
81 85 10
104 107 26
1 53 1
60 122 30
103 123 3
2 32 2
5 89 5
10 43 10
115 116 14
64 67 16
21 85 21
1 95 1
1 25 1
1 103 1
29 57 14
2 4 2
33 35 8
34 64 8
17 117 1
20 54 1
38 73 9
87 118 1
40 59 1
79 90 2
28 49 3
51 80 1
67 91 2
7 63 7
40 91 5
23 34 2
24 48 24
1 28 1
2 80 2
8 17 8
65 66 16
30 125 15
35 128 8
60 62 15
44 101 1
14 123 7
74 108 1
72 75 18
45 108 1
34 71 17
72 121 1
56 118 14
33 111 1
49 100 12
19 42 2
121 122 30
15 30 15
97 114 3
25 103 25
52 59 3
34 35 17
7 124 7
67 77 4
122 126 15
56 115 28
14 108 3
17 40 2
96 99 24
27 85 1
20 53 1
9 40 2
47 88 11
12 24 12
65 68 8
1 114 1
72 77 9
7 28 7
29 41 1
36 91 2
7 31 7
12 52 6
62 126 31
44 45 22
62 127 31
113 119 14
53 58 3
20 90 5
1 117 1
118 120 7
41 42 10
51 126 3
121 123 30
15 104 3
116 119 29
43 63 1
8 71 8
39 74 9
22 111 1
27 42 1
33 128 16
56 124 7
116 126 7
5 10 5
55 110 55
9 88 2
6 52 6
18 34 4
21 83 10
13 49 6
18 57 1
1 78 1
42 86 21
65 88 2
61 120 30
46 91 11
50 103 25
85 87 21
108 111 27
6 124 3
12 101 12
40 123 1
46 72 2
52 55 13
30 116 7
3 55 3
57 118 14
3 61 3
37 72 18
6 107 6
8 97 1
35 69 17
13 107 13
51 58 3
20 27 1
8 67 8
21 81 10
47 103 1
60 83 1
1 89 1
2 22 2
2 89 2
56 111 3
114 119 14
48 100 12
43 47 5
18 35 4
25 52 6
1 26 1
33 64 16
21 94 5
50 56 3
63 124 31
23 71 2
63 105 3
9 38 9
43 86 43
54 111 27
38 49 1
70 74 4
50 102 25
42 83 10
50 98 12
12 15 3
1 99 1
40 58 1
34 76 4
37 89 2
11 46 11
99 108 6
16 62 1
69 71 17
103 111 6
19 77 19
66 82 2
40 41 20
36 123 1
9 113 1
3 52 3
1 69 1
39 77 19
20 39 2
32 67 16
67 88 2
9 66 4
3 109 3
19 35 4
44 74 2
20 89 5
3 104 3
69 77 4
53 107 53
86 104 1
4 73 4
3 108 3
20 81 20
105 106 26
7 96 3
76 100 1
6 99 6
6 96 6
17 67 8
51 97 12
14 122 7
72 78 9
22 96 1
53 60 3
37 73 18
1 125 1
48 49 24
11 94 11
15 85 1
80 83 20
70 90 2
1 17 1
10 73 2
1 18 1
6 13 6
109 110 27
102 127 3
45 102 1
57 100 3
25 64 1
7 46 1
115 119 14
29 39 1
46 100 1
39 91 2
52 107 26
10 83 10
74 110 1
39 105 1
19 96 1
7 120 7
62 87 1
63 128 1
89 125 1
4 71 4
59 114 14
3 96 3
6 98 6
1 44 1
87 93 5
52 106 26
47 95 47
26 34 1
10 40 10
2 118 1
52 66 1
61 124 15
1 30 1
60 69 1
28 29 14
46 94 23
40 117 1
57 113 28
59 76 1
33 65 16
83 95 5
53 104 26
40 82 20
111 123 3
58 65 1
42 87 21
1 2 1
58 63 7
27 89 1
21 72 2
4 34 4
64 113 1
50 121 3
55 108 27
6 77 1
34 86 2
56 91 1
3 65 1
85 90 5
5 112 1
19 63 1
1 75 1
3 50 3
2 16 2
58 89 1
4 16 4
10 81 10
1 7 1
38 39 19
54 110 27
11 29 1
38 121 1
75 101 1
15 57 7
5 46 5
1 120 1
63 115 7
1 65 1
14 116 14
9 36 9
16 66 16
10 85 10
102 120 3
3 34 1
25 98 12
2 18 2
4 70 4
101 102 25
24 34 1
53 110 13
71 106 1
1 9 1
40 43 10
55 116 3
81 92 5
5 41 5
9 19 9
67 68 8
64 68 8
56 114 28
113 128 1
31 126 31
1 128 1
