128 4019
21 47 21
1 16 1
3 113 3
28 51 28
118 119 85
16 106 16
104 106 85
26 36 26
17 31 17
13 36 13
39 97 39
28 31 28
24 25 24
108 115 85
12 96 12
98 101 85
3 117 3
100 125 85
45 47 45
107 113 85
62 117 62
11 12 11
63 89 63
8 38 8
30 86 30
1 11 1
72 82 72
18 73 18
35 54 35
31 121 31
36 96 36
53 61 53
16 79 16
11 21 11
18 52 18
47 61 47
25 27 25
24 117 24
74 78 74
11 97 11
66 70 66
29 107 29
71 78 71
105 124 85
81 118 81
86 126 85
44 127 44
9 118 9
65 86 65
9 92 9
43 114 43
39 114 39
5 89 5
12 20 12
82 128 82
60 111 60
105 111 85
57 121 57
20 74 20
24 47 24
38 98 38
62 120 62
11 86 11
81 105 81
91 101 85
113 116 85
86 128 85
1 42 1
73 125 73
30 36 30
17 36 17
88 103 85
45 82 45
5 44 5
90 109 85
4 16 4
56 66 56
48 101 48
92 115 85
15 120 15
11 64 11
108 117 85
37 76 37
7 76 7
18 43 18
26 65 26
9 123 9
5 8 5
22 93 22
9 53 9
79 118 79
55 72 55
38 79 38
19 88 19
23 25 23
49 104 49
57 84 57
13 74 13
8 37 8
46 87 46
32 125 32
14 46 14
88 97 85
13 32 13
92 108 85
26 41 26
1 110 1
26 128 26
3 97 3
5 92 5
13 82 13
69 86 69
57 86 57
28 92 28
2 29 2
22 26 22
41 86 41
59 66 59
3 75 3
97 109 85
59 62 59
114 123 85
21 86 21
42 49 42
13 89 13
50 86 50
42 43 42
75 119 75
56 114 56
18 79 18
110 120 85
93 101 85
94 117 85
77 78 77
26 99 26
41 56 41
6 30 6
30 56 30
70 87 70
27 81 27
53 60 53
29 40 29
95 108 85
72 73 72
83 113 83
76 111 76
10 114 10
19 34 19
56 118 56
91 99 85
52 108 52
91 126 85
14 93 14
120 122 85
18 97 18
26 124 26
27 60 27
41 64 41
52 70 52
20 112 20
22 28 22
48 104 48
8 98 8
48 98 48
9 26 9
1 117 1
15 33 15
10 25 10
27 126 27
18 55 18
84 94 84
9 61 9
1 33 1
62 75 62
20 69 20
44 47 44
31 59 31
64 111 64
58 75 58
10 46 10
40 53 40
110 122 85
2 77 2
88 110 85
1 123 1
21 61 21
52 123 52
63 68 63
45 109 45
69 80 69
96 121 85
51 88 51
43 67 43
19 28 19
43 127 43
62 91 62
37 89 37
90 94 85
40 93 40
7 94 7
30 43 30
4 45 4
109 110 85
17 33 17
24 31 24
96 106 85
91 111 85
72 114 72
14 35 14
80 106 80
96 103 85
2 46 2
47 92 47
112 113 85
1 64 1
88 91 85
42 112 42
1 58 1
59 121 59
14 101 14
1 35 1
98 127 85
40 48 40
28 126 28
14 23 14
28 67 28
56 61 56
40 121 40
4 25 4
42 53 42
39 100 39
61 118 61
11 41 11
111 118 85
59 105 59
40 64 40
16 126 16
58 82 58
2 36 2
13 19 13
5 101 5
43 123 43
48 59 48
43 55 43
17 21 17
23 54 23
8 15 8
35 59 35
2 40 2
88 92 85
13 95 13
6 99 6
48 49 48
6 73 6
62 87 62
10 125 10
27 72 27
93 111 85
10 113 10
6 59 6
14 113 14
22 104 22
30 128 30
94 106 85
69 93 69
18 48 18
3 24 3
16 76 16
71 73 71
15 94 15
86 109 85
96 107 85
2 125 2
41 84 41
98 103 85
34 42 34
40 77 40
45 48 45
10 45 10
75 90 75
69 100 69
27 95 27
6 44 6
114 128 85
34 64 34
15 99 15
43 106 43
1 62 1
26 73 26
54 70 54
17 73 17
51 94 51
86 96 85
28 56 28
25 79 25
84 116 84
2 34 2
93 107 85
4 11 4
3 12 3
35 53 35
104 119 85
77 125 77
4 111 4
5 41 5
47 97 47
2 72 2
63 128 63
91 119 85
10 23 10
58 107 58
18 106 18
22 84 22
96 108 85
63 79 63
11 95 11
29 48 29
14 91 14
38 84 38
86 121 85
20 42 20
46 120 46
71 75 71
64 65 64
101 104 85
57 128 57
26 64 26
92 98 85
44 125 44
5 86 5
54 57 54
13 59 13
119 122 85
31 40 31
23 82 23
115 123 85
16 91 16
11 35 11
32 62 32
21 53 21
45 79 45
