64 2016
1 24 1
24 30 24
9 30 30
9 58 9
36 58 58
36 63 36
22 63 63
22 61 22
21 61 61
17 21 21
13 17 17
13 60 13
34 60 60
34 47 34
2 47 47
2 5 2
5 29 5
29 45 29
28 45 45
14 28 28
14 15 14
15 42 15
10 42 42
10 39 10
6 39 39
6 50 6
50 54 50
16 54 54
16 27 16
18 27 27
18 40 18
23 40 40
23 33 23
33 64 33
52 64 64
3 52 52
3 43 3
43 57 43
37 57 57
37 51 37
20 51 51
20 44 20
7 44 44
7 11 7
8 11 11
8 19 8
19 26 19
26 38 26
35 38 38
35 41 35
25 41 41
25 32 25
32 62 32
55 62 62
31 55 55
31 53 31
4 53 53
4 49 4
48 49 49
48 56 48
46 56 56
46 59 46
12 59 59
1 30 1
9 24 24
30 58 30
9 36 9
58 63 58
22 36 36
61 63 63
21 22 22
17 61 61
13 21 21
17 60 17
13 34 13
47 60 60
2 34 34
5 47 47
2 29 2
5 45 5
28 29 29
14 45 45
15 28 28
14 42 14
10 15 15
39 42 42
6 10 10
39 50 39
6 54 6
16 50 50
27 54 54
16 18 16
27 40 27
18 23 18
33 40 40
23 64 23
33 52 33
3 64 64
43 52 52
3 57 3
37 43 43
51 57 57
20 37 37
44 51 51
7 20 20
11 44 44
7 8 7
11 19 11
8 26 8
19 38 19
26 35 26
38 41 38
25 35 35
32 41 41
25 62 25
32 55 32
31 62 62
53 55 55
4 31 31
49 53 53
4 48 4
49 56 49
46 48 48
56 59 56
12 46 46
1 58 1
24 36 24
30 63 30
9 22 9
58 61 58
21 36 36
17 63 63
13 22 22
60 61 61
21 34 21
17 47 17
2 13 13
5 60 60
29 34 34
45 47 47
2 28 2
5 14 5
15 29 29
42 45 45
10 28 28
14 39 14
6 15 15
42 50 42
10 54 10
16 39 39
6 27 6
18 50 50
40 54 54
16 23 16
27 33 27
18 64 18
40 52 40
3 23 23
33 43 33
57 64 64
37 52 52
3 51 3
20 43 43
44 57 57
7 37 37
11 51 51
8 20 20
19 44 44
7 26 7
11 38 11
8 35 8
19 41 19
25 26 26
32 38 38
35 62 35
41 55 41
25 31 25
32 53 32
4 62 62
49 55 55
31 48 31
53 56 53
4 46 4
49 59 49
12 48 48
1 61 1
21 24 24
17 30 30
9 13 9
58 60 58
34 36 36
47 63 63
2 22 22
5 61 61
21 29 21
17 45 17
13 28 13
14 60 60
15 34 34
42 47 47
2 10 2
5 39 5
6 29 29
45 50 45
28 54 28
14 16 14
15 27 15
18 42 42
10 40 10
23 39 39
6 33 6
50 64 50
52 54 54
3 16 16
27 43 27
18 57 18
37 40 40
23 51 23
20 33 33
44 64 64
7 52 52
3 11 3
8 43 43
19 57 57
26 37 37
38 51 51
20 35 20
41 44 44
7 25 7
11 32 11
8 62 8
19 55 19
26 31 26
38 53 38
4 35 35
41 49 41
25 48 25
32 56 32
46 62 62
55 59 55
12 31 31
1 5 1
24 29 24
30 45 30
9 28 9
14 58 58
