1024 28654
73 785 1
711 919 1
867 886 2
685 774 2
200 696 4
91 141 4
202 801 5
202 628 5
427 599 6
271 1016 6
575 805 7
750 820 7
135 352 8
352 568 8
690 994 9
837 994 9
232 693 10
920 947 10
447 742 11
742 1012 11
82 581 12
438 581 12
31 238 13
335 664 14
671 691 14
43 754 15
132 964 15
555 925 16
555 947 16
28 577 18
741 864 19
791 916 19
907 1014 20
242 261 20
48 768 21
441 768 21
405 633 22
126 429 22
122 288 23
529 877 24
300 661 25
533 661 25
193 822 28
45 979 29
525 979 29
601 631 30
515 601 30
457 946 32
634 946 32
108 393 33
393 778 33
252 296 34
191 252 34
475 881 36
134 881 36
455 765 37
840 965 37
323 701 38
68 457 39
475 957 40
332 977 40
248 719 41
136 248 41
207 304 42
207 597 42
730 971 44
310 730 44
418 519 46
92 735 46
431 757 47
404 1015 47
484 1024 48
334 924 48
288 565 50
138 518 50
230 265 51
260 265 51
199 792 52
502 552 52
284 368 53
788 988 54
77 589 54
294 487 55
236 487 55
214 874 57
655 950 57
209 466 58
376 789 58
146 749 59
355 789 59
362 967 60
395 810 62
208 1001 62
90 1015 63
70 163 64
318 790 64
494 600 65
251 336 65
112 521 66
155 521 66
87 192 67
299 626 69
299 569 69
865 896 70
190 316 70
121 787 71
787 921 71
162 983 72
482 801 73
208 575 74
530 835 75
98 530 75
740 828 76
179 740 76
246 974 77
481 788 77
239 431 79
469 900 79
243 915 80
498 923 81
367 958 82
361 898 83
228 361 83
120 403 85
330 603 86
598 683 86
396 903 88
233 306 88
380 478 89
430 493 89
546 916 92
479 519 92
409 743 94
134 686 94
511 774 96
188 407 99
436 760 101
203 413 102
224 413 102
871 973 103
281 871 103
338 739 106
752 813 106
668 857 107
249 379 107
921 987 109
574 623 110
303 984 110
199 660 111
660 991 111
208 335 115
914 922 116
584 690 116
426 1006 117
426 789 117
622 942 121
423 893 121
358 617 123
543 651 124
304 654 125
554 1012 125
436 454 126
448 680 127
467 580 127
539 724 129
614 670 130
374 614 130
196 574 131
292 702 133
619 970 133
957 982 134
287 926 137
304 452 138
143 853 138
783 960 140
154 540 142
154 849 142
727 916 144
250 371 145
773 949 149
386 780 150
493 635 151
836 843 152
462 687 152
198 943 156
428 590 158
166 735 160
584 639 160
377 420 162
215 377 162
432 576 163
381 395 163
485 816 164
569 938 164
772 914 166
222 848 167
848 928 167
373 910 168
430 892 168
176 934 169
176 229 169
577 838 170
564 850 173
225 736 173
754 895 174
425 884 174
327 707 175
310 327 175
659 896 177
545 896 177
489 639 178
639 914 178
322 1006 180
663 789 181
737 739 183
514 739 183
206 415 185
324 718 187
233 396 189
262 370 194
331 370 194
629 834 195
534 744 200
390 945 201
693 1021 205
216 1021 205
450 643 206
227 643 206
322 695 209
322 571 209
354 861 212
826 961 212
655 781 214
292 703 218
245 624 220
879 996 222
672 713 223
237 255 225
237 831 225
819 950 228
560 955 231
389 560 231
867 948 234
244 351 235
808 906 238
466 642 241
405 466 241
376 642 245
607 858 247
293 999 249
333 636 249
350 823 251
845 919 253
519 727 254
625 831 255
471 880 257
559 803 257
273 520 259
476 956 261
820 917 265
531 917 265
752 815 266
541 815 266
722 996 267
342 602 274
302 786 276
786 833 276
738 804 277
758 899 278
403 758 278
532 644 280
336 973 281
563 892 282
373 892 282
778 888 283
855 888 283
510 824 284
624 697 285
659 909 291
423 935 295
401 523 297
317 441 297
683 869 301
443 692 306
573 582 306
515 1011 307
749 962 311
684 864 313
329 350 315
673 818 319
506 572 320
552 828 325
424 869 330
380 842 334
422 876 334
817 992 338
915 918 339
508 721 345
683 1007 359
598 764 364
488 598 364
375 832 365
651 676 366
615 854 370
568 792 378
692 903 387
582 903 387
608 693 392
657 932 393
472 913 399
717 913 399
502 991 400
433 912 406
689 912 406
737 868 407
610 868 407
473 543 408
899 937 410
711 857 411
507 775 412
618 674 414
705 844 419
483 504 421
931 1019 423
511 981 431
688 719 437
499 618 442
829 976 443
516 980 444
512 609 444
554 613 449
525 631 450
681 888 453
495 522 458
495 648 458
682 708 461
745 915 463
526 919 465
491 846 471
751 959 474
910 959 474
532 548 498
726 870 505
745 870 505
882 901 507
841 882 507
670 710 513
756 759 523
567 794 524
567 570 524
677 884 542
630 884 542
966 1024 550
642 952 556
596 748 558
650 1022 559
931 1018 561
718 912 594
839 912 594
761 1005 605
619 703 616
741 1009 620
709 844 621
806 821 625
887 894 628
734 802 645
698 998 651
667 1022 665
890 989 679
852 916 733
860 862 736
961 969 861
939 1023 902
995 1014 993
509 526 465
526 845 253
407 514 183
618 808 1
740 851 1
289 978 195
364 598 364
531 820 265
666 740 2
590 882 507
324 915 187
34 40 34
506 544 1
582 814 7
386 635 386
368 513 53
309 670 174
154 647 1
743 957 94
59 77 2
336 856 55
84 870 65
251 546 19
451 727 1
20 29 1
67 337 1
274 616 218
76 179 76
411 429 1
229 885 75
151 400 4
7 194 7
873 971 2
896 909 177
695 704 22
493 830 150
1 964 1
922 965 7
367 1003 82
420 776 162
297 787 19
112 228 19
114 866 109
106 338 106
9 842 9
650 667 559
87 494 1
2 251 2
570 728 257
4 33 4
219 690 116
7 301 7
467 618 442
1 893 1
32 769 32
1 435 1
11 23 11
205 439 10
131 574 131
727 733 144
1 97 1
318 896 70
263 871 103
433 528 406
508 883 345
2 541 2
67 516 1
668 717 1
676 998 366
704 1003 4
234 491 2
759 839 19
188 752 99
307 342 1
483 520 2
263 336 103
419 609 48
142 647 1
9 493 9
31 906 13
728 768 4
69 840 37
128 431 2
609 791 444
745 987 71
55 912 55
1 886 1
900 973 2
80 114 71
853 1012 125
127 618 127
911 935 295
48 924 48
716 1024 4
972 1013 20
1 913 1
40 662 7
463 671 7
333 604 1
7 51 7
65 625 65
