8192 8191
5154 7095 5363
4140 5494 4140
5791 6727 5196
1304 1488 2935
5494 7360 7360
5494 5573 5573
3181 4171 6029
5210 5494 5210
1824 4691 694
658 1861 8029
3776 5105 2452
4188 5494 4188
688 6675 1616
225 7047 3680
91 889 1942
432 6839 6568
4191 7819 4808
2213 5494 2213
3207 4617 1887
4298 5745 320
5449 5494 5449
555 2072 5470
809 5494 809
930 5597 4898
984 1024 857
2964 5494 2964
5494 7994 7994
4850 5494 4850
351 7569 6744
5494 6402 6402
250 7971 7083
3592 7168 4471
3689 5494 3689
808 3177 898
7200 8151 4935
124 1020 250
3378 6774 8104
3431 6290 4067
1100 1214 7068
4714 7172 2017
5494 7877 7877
3321 4124 4915
5494 6645 6645
2218 5494 2218
2984 5494 2984
162 2690 2913
1926 6879 18
2746 5643 341
4691 5494 4691
1064 2194 7449
3015 6644 5969
3216 5494 3216
3200 5494 3200
828 2768 5240
4686 7156 1982
5494 7553 7553
1675 2458 4542
1328 5494 1328
4084 5727 3324
198 5494 198
3517 5494 3517
455 5494 455
5494 7190 7190
1771 5494 1771
4242 5494 4242
5494 6151 6151
639 4868 3618
3907 7895 991
928 4634 2722
3797 5494 3797
5644 5728 7513
328 5494 328
1395 6434 6459
2945 5494 2945
2438 3982 6939
2267 5494 2267
3221 4905 90
4041 7734 23
5494 5994 5994
2659 4323 2946
2221 3041 6705
4060 5494 4060
1995 5494 1995
5494 6104 6104
5494 7096 7096
3772 6241 397
1297 5494 1297
5055 6544 4573
151 5494 151
4264 5494 4264
7461 8062 5180
4368 7993 377
1025 7306 5510
1558 7879 8082
2137 5454 8150
4369 5494 4369
5494 7512 7512
5494 6041 6041
1028 5494 1028
4910 5494 4910
1821 5494 1821
472 4206 668
2675 3974 1788
6685 6927 4209
1050 2837 2264
174 5494 174
546 1833 6189
5494 8000 8000
1814 2914 2299
5494 6970 6970
1819 5494 1819
5494 5798 5798
1563 5494 1563
879 2053 2634
1346 2226 6316
4980 5494 4980
4236 5222 5265
5053 5494 5053
705 3673 2051
948 7795 7885
1737 7650 1886
777 2058 8144
239 5494 239
5494 7658 7658
6529 7708 976
5494 7803 7803
1063 5494 1063
337 5494 337
5494 6760 6760
3111 5494 3111
1768 2944 2316
4130 5494 4130
961 5494 961
4145 7020 6237
5820 6780 3447
2035 2646 2161
228 5494 228
1428 5845 2741
655 2686 2507
5494 7392 7392
5494 7535 7535
2212 2591 393
2284 5608 3970
5006 5066 5093
4913 5494 4913
3192 6260 2703
3764 4138 2760
4783 7310 7918
3178 5494 3178
2660 2913 231
1250 5494 1250
385 732 7933
78 5494 78
1999 7903 6537
1339 5252 4876
186 5494 186
5494 7280 7280
1855 5494 1855
2681 5494 2681
3320 5838 1350
3793 5494 3793
487 2282 3179
824 4309 140
427 2773 5920
7183 7628 4655
1017 4382 7631
3125 5494 3125
5494 7467 7467
1921 5494 1921
2193 3520 6130
3490 5494 3490
1068 3942 7245
2316 3190 2656
5494 7293 7293
245 2566 7663
5494 7186 7186
2761 6419 4873
5494 7308 7308
4040 5494 4040
3049 5399 1226
4724 7999 8160
1851 5494 1851
5494 7415 7415
5494 5901 5901
3037 3142 4940
2817 5494 2817
801 5511 971
1868 5404 3255
20 3093 5102
2337 5494 2337
5110 5494 5110
3522 4892 7791
5494 7229 7229
3535 5494 3535
1567 3729 3121
5494 6258 6258
5494 6617 6617
7424 8019 1176
1273 3563 1431
5494 7167 7167
1441 4435 7174
3335 7882 352
1163 3173 1699
4164 5494 4164
486 6102 654
3352 6195 7668
5494 6692 6692
1852 7809 3638
69 5494 69
2655 2906 6978
728 5388 3208
377 5494 377
4808 5193 5565
5494 6027 6027
2516 7458 2776
1831 4846 7370
5494 5880 5880
1533 6898 1980
1750 5494 1750
5494 6753 6753
5494 6605 6605
5047 5494 5047
3899 5494 3899
247 5494 247
750 5494 750
2674 5494 2674
1055 5186 5192
4273 7317 684
2096 3551 1222
3006 5494 3006
4068 5494 4068
142 5494 142
5494 7704 7704
404 7369 8097
3680 5494 3680
1298 2860 6595
4468 5275 5094
2087 6866 1017
279 5889 672
4065 5494 4065
2662 5664 2555
951 5868 1572
5494 8046 8046
276 4580 5859
2767 5494 2767
4394 5494 4394
6750 7528 683
5494 7351 7351
1046 2187 8174
3925 6686 2697
