4096 100000
2344 3979 2237
595 1952 1952
1581 2608 1588
772 908 772
1189 4001 1189
631 3676 898
1888 2964 1888
384 700 384
1540 3509 3465
1753 2487 2244
566 3615 566
14 1003 1003
2142 2682 432
952 1475 379
451 3228 2370
1846 3706 1846
2104 2916 2916
357 701 1822
2032 3065 1091
236 3016 3583
915 933 3023
2525 2585 599
258 3837 3625
2165 2881 3627
1422 3170 3195
1433 3058 3058
701 3278 3278
1783 3944 3606
981 3241 478
460 1837 460
1292 4076 4076
166 4063 1188
2835 3461 1846
701 3418 3064
701 2997 2997
609 3424 609
737 2331 3216
88 262 1065
701 2385 447
2424 2429 2424
367 2905 597
1305 2464 1305
2725 3891 931
284 1681 1681
1364 3855 2411
2840 3679 1444
673 3029 1361
1139 2674 799
553 1146 1146
133 768 627
328 2723 2576
212 2017 3950
271 4018 4018
701 4027 4027
61 3048 3426
2306 3088 2180
5 1775 2361
208 2866 1551
2064 3379 2064
642 3499 1788
1411 2519 1999
577 1683 1092
1105 3635 909
918 1121 109
2689 3139 2689
530 1688 3680
246 1617 2077
3878 4037 3552
128 2470 425
243 1558 243
1417 3820 3646
2841 3326 1976
395 1904 395
2071 2243 2138
2431 2445 497
599 3569 181
336 1994 1698
400 1426 1983
949 3181 2757
3333 3711 3540
3533 3858 3796
25 787 787
114 3263 3351
2232 3309 2232
2781 2919 2781
2165 3055 774
1355 2986 2986
467 1437 467
1583 2559 1472
395 2396 740
1467 3904 3904
317 645 12
1351 3717 3053
2389 3504 2994
811 1886 1743
583 3752 950
2407 2554 2554
963 2003 3603
582 3057 3057
62 248 2810
2237 3910 1867
1844 2348 434
1289 3421 1344
3806 3938 2029
1441 1679 1679
654 1861 2517
1162 2548 2548
152 2765 809
456 2519 456
32 701 32
283 3304 283
701 3363 3980
2145 3705 2145
868 1923 1923
758 2190 621
906 2402 566
1179 2578 1179
516 2825 2033
470 1831 3534
866 1363 1606
954 2235 3212
701 2990 2990
553 2642 3288
1859 4089 4037
151 1062 151
2779 3174 2580
1793 3594 2318
505 3635 505
1982 3026 3039
3219 3748 3219
807 3543 1359
2165 3533 2632
3440 3900 3272
3114 4035 3763
540 956 3087
2604 3373 3373
427 2623 4015
1677 2391 1677
1418 2253 167
777 4088 777
573 635 182
111 561 1227
274 3319 3319
9 1699 1501
859 3804 2500
1885 3370 1198
1939 2378 3739
1932 2055 2055
2208 3401 3401
2350 2559 1225
2870 3402 3402
308 701 308
1020 3550 2918
743 3036 3253
561 2016 3892
2034 3514 1367
1106 2353 459
705 1414 705
1912 3480 1084
869 1471 1516
2447 3357 3190
2027 4022 775
1977 3350 867
1967 3407 3407
1307 3153 1307
306 1898 404
2333 3388 1129
428 1865 1082
303 2392 2877
879 2820 2934
2498 2971 3719
3302 3391 3302
1664 2902 936
121 954 1936
1009 1873 1873
2647 3698 2832
715 2824 490
520 3105 1876
2717 3346 1527
1348 3560 3560
1415 3096 3096
620 1308 1308
226 3324 226
402 2812 3201
155 896 2793
2331 3020 2499
345 1477 1301
1903 2964 1903
1577 1631 3897
1859 2405 2405
2353 4025 1319
701 2646 2646
641 2077 2077
646 3232 1010
1981 2095 1843
945 1882 945
