16384 100000
15007 15352 9170
239 8333 12099
6403 15737 15997
10101 10511 502
4530 9681 3881
5324 10903 3651
13634 15163 15163
4119 13924 4629
7751 12956 808
12696 13428 9667
5930 7343 3850
8345 12105 16057
7751 12951 12951
3447 8337 2214
10300 10841 16128
2018 3162 3536
9046 12249 13042
6438 7751 9192
13174 14345 2662
3638 12335 621
11583 13419 6132
3444 9876 3421
5070 7751 1924
3655 11261 11261
5359 8750 12059
411 12322 11376
6244 9480 1590
4503 9086 2870
4920 6582 14041
9465 12443 5104
6681 12045 15491
3549 6477 13473
7751 14931 8687
7751 7843 1907
5949 7751 9287
2121 12460 9577
9240 14726 9240
1994 11969 7937
8821 12191 8495
1587 6882 16117
2838 7288 2838
2458 15039 4290
15880 15910 14194
3366 10610 3366
7751 8532 8532
6388 11081 5199
408 8564 2920
7751 8474 8474
7751 8000 11305
111 16152 11809
3744 14186 3508
12228 14097 13818
2630 8409 4551
1457 5884 2715
5078 15968 6754
4878 7751 387
1262 7751 7100
5137 5346 5137
1103 9881 6435
10228 13986 13986
15077 16166 13002
2069 5684 7208
2613 8867 2613
5546 15366 4694
5927 13743 9201
694 9175 3766
4840 7751 950
768 7751 768
417 14767 9204
1330 8807 3805
1466 1654 14073
2190 9435 15740
7751 12290 376
6273 7299 6920
2184 2600 2600
7751 10119 15570
1943 4068 9842
11336 14921 11336
2409 14614 14277
6259 9770 9770
7751 14183 14183
4015 6542 8992
228 7751 15266
5772 7751 13944
3130 7751 8181
14098 14397 14206
1367 15563 15563
9114 9951 14395
9719 13089 11611
7893 8743 9068
5028 6905 6905
8225 16306 16306
80 14536 4855
3837 15722 6777
1732 14483 12194
2264 6203 11146
4028 8321 14024
5746 14640 11568
6481 13277 16056
6445 10225 5308
3545 7836 7836
319 10652 9007
4880 15370 15370
7751 14368 986
15512 15950 15512
7751 8713 15354
14001 15307 3917
6445 9211 627
5407 14233 13729
11009 11243 11243
5692 7623 3781
1458 9382 7399
1494 9270 15180
7751 15087 2765
889 2265 6986
6151 11781 2511
3008 7751 7557
1312 11349 4366
1211 9993 5420
7751 11567 14841
15380 16146 16146
7805 11937 7805
975 7276 2180
3747 15833 931
432 6614 9324
4513 4753 3935
1674 16155 14609
7751 7834 3728
6381 11910 9134
8710 11021 11021
61 13378 13378
9087 9233 11794
12223 12916 9532
702 712 3686
2312 4945 2203
4281 9012 2422
9205 14339 14339
10025 10770 7508
3258 8113 8957
7229 15973 13635
3012 7751 9458
2142 14254 15379
632 10964 10964
5844 14905 14905
8239 12671 1198
6696 7778 852
12577 13315 5243
8993 14272 16349
7751 11674 8472
12366 12396 4828
196 1077 7162
7751 14549 2576
4019 7735 2657
3737 5200 12419
2164 7751 2597
22 11538 6806
1476 13267 13267
12187 14760 12187
3117 10542 8501
5493 7438 7752
12194 14968 14968
44 12636 10138
2172 15967 3914
6819 7751 6819
5238 7751 3527
886 15570 15570
4206 15380 12450
6648 14844 6648
15178 15449 9253
7349 13454 7861
9602 14134 14134
4294 12824 9084
714 8277 2833
14767 15334 8028
6788 7751 7077
5489 7852 5489
3469 6916 11795
5199 5821 5199
1800 7751 9711
7751 13844 13844
666 14372 14372
5798 7751 14135
6942 11202 2175
13927 15633 13180
2693 16337 11217
6133 7751 14236
9504 14918 178
1814 15498 15498
5683 8220 8091
8514 15035 11243
1800 13310 9711
4814 12787 14828
7481 13624 8920
8906 14280 8957
5413 7751 4169
6181 9128 2832
8112 12332 6452
52 10503 14247
9210 10097 8218
925 13104 8483
5978 8918 9108
7751 16260 6874
6254 15455 15103
8079 8291 1045
7639 7751 14465
12402 15579 6978
10726 16064 9192
1371 7751 3002
8549 9092 3352
8936 10594 2080
3558 16008 1355
7335 8356 7212
1790 10288 5007
4419 11961 14501
980 6330 762
1331 2453 1331
11898 12390 4238
2485 2839 818
11506 15106 1379
1900 11567 14841
7751 11995 11995
730 2818 730
10666 15631 5609
689 10707 6339
10721 14582 10400
849 9916 12957
361 9093 11629
3652 7751 288
5817 15800 893
1576 12921 7220
4190 7751 4190
5032 7751 2278
939 9864 8011
7751 15810 15810
6586 13381 10341
891 7751 14360
4257 4273 4257
4591 7751 8202
5862 14656 15389
9927 10265 12046
2767 9128 9128
6341 14367 14465
3753 9728 4107
4042 8549 8549
10844 13540 13540
9562 11030 3304
11329 14908 5117
4309 10429 594
8853 11085 8151
663 7321 1954
2500 5205 4610
15005 16020 12908
7036 16046 1637
5110 16148 5110
6003 16158 3142
3952 5902 5902
2738 12647 10746
4578 13808 2769
1271 5527 15966
3726 15979 8086
