64 1610
12 49 1
12 21 32
49 60 36
12 50 37
21 52 11
33 49 39
19 60 2
12 15 22
10 50 62
5 21 46
25 52 7
49 59 8
33 35 45
60 61 14
19 31 42
12 24 64
15 63 43
4 50 29
10 23 58
20 21 38
5 18 9
16 52 55
25 41 13
30 49 56
17 59 53
33 48 47
35 51 3
34 60 40
54 61 28
6 19 27
31 44 57
24 54 1
38 64 32
42 59 36
29 43 37
41 46 11
17 45 39
27 40 2
12 63 22
4 10 62
5 38 46
41 52 7
17 30 8
40 61 14
19 57 42
12 55 32
24 26 64
10 48 1
14 36 36
27 57 42
15 26 22
23 29 62
15 35 1
4 55 32
12 39 1
39 48 39
40 63 1
35 48 45
1 37 1
43 63 43
11 32 32
1 57 1
6 36 36
32 60 1
17 42 36
28 30 36
34 37 1
28 35 36
7 54 1
33 45 45
1 55 1
1 15 1
1 32 1
58 64 37
28 40 14
1 2 1
21 34 1
1 27 1
21 55 11
17 49 8
13 18 11
11 55 11
9 27 1
9 45 1
8 30 8
39 51 39
33 57 36
21 28 1
4 20 32
11 20 11
3 48 45
20 41 11
3 11 1
7 64 32
7 41 7
1 49 1
33 51 45
28 34 14
27 32 1
16 57 1
30 52 1
14 53 36
24 40 1
14 20 1
13 25 13
32 63 32
7 25 7
11 43 32
11 13 11
1 62 1
1 46 1
36 50 1
25 38 11
35 39 39
11 33 1
28 36 36
11 31 1
7 16 7
7 55 7
8 55 1
2 6 2
36 61 36
32 52 32
40 57 2
20 42 1
3 56 39
31 40 2
15 22 22
34 57 2
11 56 1
16 59 1
9 17 1
35 47 45
18 25 11
35 40 36
9 21 46
22 56 1
18 57 1
29 39 1
10 37 37
12 47 1
26 29 37
7 18 11
1 39 1
36 48 36
4 11 32
51 62 1
36 39 36
9 52 11
23 51 1
55 61 1
37 53 1
32 58 32
20 55 11
24 43 22
9 38 46
13 28 1
5 22 32
1 43 1
4 43 37
8 60 36
42 49 36
4 8 1
21 25 11
20 48 1
44 46 1
13 16 7
25 27 1
34 35 36
6 50 1
16 25 7
10 32 32
29 44 1
16 31 1
3 35 3
21 43 32
27 61 2
10 46 32
5 46 46
14 57 2
17 56 8
2 19 2
29 62 62
13 55 7
1 11 1
8 53 8
7 58 32
35 36 36
1 28 1
14 55 1
30 51 39
23 50 62
9 64 32
57 61 2
35 53 39
5 20 46
1 18 1
10 29 62
50 58 62
26 44 1
58 63 37
42 57 42
26 43 22
54 57 2
22 43 22
30 59 8
56 59 8
29 58 62
4 58 62
24 63 22
6 57 42
21 38 38
35 61 36
20 29 32
24 34 1
31 47 36
47 51 45
30 39 39
28 60 14
8 49 8
20 38 38
13 46 11
21 22 32
6 31 42
19 28 2
25 44 1
37 58 37
14 40 14
29 37 37
13 41 13
14 61 14
10 26 37
55 62 32
8 51 39
34 44 2
6 37 1
3 45 45
9 11 11
38 62 32
6 14 2
10 43 37
17 23 1
16 41 7
4 37 37
19 44 42
11 16 11
44 60 2
5 25 11
14 27 2
10 64 37
36 42 36
13 44 1
6 58 1
15 64 22
16 50 32
12 35 1
9 35 1
22 37 37
41 51 1
14 34 14
23 30 1
31 57 57
18 45 1
47 53 39
2 40 2
3 33 45
15 56 1
38 39 1
32 38 32
1 5 1
5 53 1
32 55 32
31 39 36
20 32 32
48 50 1
54 64 1
43 53 1
19 61 2
45 57 36
43 45 1
29 32 32
18 20 46
26 63 22
17 48 39
2 15 1
1 19 1
