512 30449
74 477 101
74 285 101
74 301 101
74 257 101
74 291 101
74 484 101
74 234 101
74 383 101
38 74 101
74 395 101
74 258 101
74 112 101
74 348 101
74 281 101
74 220 101
74 218 101
74 481 101
74 137 101
25 74 101
74 231 101
74 243 101
74 116 101
74 333 101
74 503 101
74 465 101
74 102 101
74 429 101
74 298 101
74 351 101
74 121 101
74 167 101
74 162 101
74 274 101
74 114 101
60 74 101
74 432 101
74 499 101
74 438 101
74 283 101
74 433 101
74 356 101
74 138 101
74 386 101
74 253 101
74 148 101
74 492 101
74 169 101
74 273 101
5 74 101
74 498 101
74 406 101
74 509 101
13 74 101
74 77 101
74 427 101
74 384 101
65 74 101
74 196 101
74 78 101
74 250 101
74 297 101
74 195 101
74 190 101
74 490 101
74 149 101
74 76 101
74 415 101
74 260 101
74 317 101
22 74 101
74 434 101
74 261 101
74 407 101
74 324 101
74 359 101
74 471 101
74 240 101
74 399 101
74 464 101
74 94 101
74 287 101
74 241 101
74 200 101
74 254 101
74 152 101
74 424 101
74 157 101
74 349 101
74 472 101
74 136 101
74 122 101
74 323 101
74 365 101
74 447 101
8 74 101
74 507 101
74 214 101
74 392 101
74 491 101
74 125 101
74 457 101
74 328 101
74 143 101
74 130 101
74 213 101
74 309 101
9 74 101
50 74 101
74 347 101
74 469 101
74 293 101
74 147 101
74 425 101
74 334 101
74 455 101
74 306 101
74 440 101
74 103 101
74 201 101
74 212 101
74 290 101
74 135 101
27 74 101
74 488 101
74 171 101
74 106 101
74 232 101
74 412 101
74 263 101
33 74 101
74 173 101
74 256 101
74 86 101
74 186 101
74 364 101
15 74 101
49 74 101
74 247 101
74 289 101
74 497 101
74 151 101
74 413 101
46 74 101
74 480 101
43 74 101
74 80 101
56 74 101
74 385 101
74 508 101
74 141 101
74 199 101
74 292 101
74 473 101
74 269 101
74 315 101
74 192 101
74 249 101
74 354 101
74 431 101
74 236 101
74 449 101
74 416 101
74 450 101
23 74 101
74 380 101
74 374 101
74 441 101
74 360 101
74 463 101
74 89 101
285 477 101
301 477 101
257 477 101
291 477 101
477 484 101
234 477 101
383 477 101
38 477 101
395 477 101
258 477 101
112 477 101
348 477 101
281 477 101
220 477 101
218 477 101
477 481 101
137 477 101
25 477 101
231 477 101
243 477 101
116 477 101
333 477 101
477 503 101
465 477 101
102 477 101
429 477 101
298 477 101
351 477 101
121 477 101
167 477 101
162 477 101
274 477 101
114 477 101
60 477 101
432 477 101
477 499 101
438 477 101
283 477 101
433 477 101
356 477 101
138 477 101
386 477 101
253 477 101
148 477 101
477 492 101
169 477 101
273 477 101
5 477 101
477 498 101
406 477 101
477 509 101
13 477 101
77 477 101
427 477 101
384 477 101
65 477 101
196 477 101
78 477 101
250 477 101
297 477 101
195 477 101
190 477 101
477 490 101
149 477 101
76 477 101
415 477 101
260 477 101
317 477 101
22 477 101
434 477 101
261 477 101
407 477 101
324 477 101
359 477 101
471 477 101
240 477 101
399 477 101
464 477 101
94 477 101
287 477 101
241 477 101
200 477 101
254 477 101
152 477 101
424 477 101
157 477 101
349 477 101
472 477 101
136 477 101
122 477 101
323 477 101
365 477 101
447 477 101
8 477 101
477 507 101
214 477 101
392 477 101
477 491 101
125 477 101
457 477 101
328 477 101
143 477 101
130 477 101
213 477 101
309 477 101
9 477 101
50 477 101
347 477 101
469 477 101
293 477 101
147 477 101
425 477 101
334 477 101
455 477 101
306 477 101
440 477 101
103 477 101
201 477 101
212 477 101
290 477 101
135 477 101
27 477 101
477 488 101
171 477 101
106 477 101
232 477 101
412 477 101
263 477 101
33 477 101
173 477 101
256 477 101
86 477 101
186 477 101
364 477 101
15 477 101
49 477 101
247 477 101
289 477 101
477 497 101
151 477 101
413 477 101
46 477 101
477 480 101
43 477 101
80 477 101
56 477 101
385 477 101
477 508 101
141 477 101
199 477 101
292 477 101
473 477 101
269 477 101
315 477 101
192 477 101
249 477 101
354 477 101
431 477 101
236 477 101
449 477 101
416 477 101
450 477 101
23 477 101
380 477 101
374 477 101
441 477 101
360 477 101
463 477 101
89 477 101
285 301 101
257 285 101
285 291 101
285 484 101
234 285 101
285 383 101
38 285 101
285 395 101
258 285 101
112 285 101
285 348 101
281 285 101
220 285 101
218 285 101
285 481 101
137 285 101
25 285 101
231 285 101
243 285 101
116 285 101
285 333 101
285 503 101
285 465 101
102 285 101
285 429 101
285 298 101
285 351 101
121 285 101
167 285 101
162 285 101
274 285 101
114 285 101
60 285 101
285 432 101
285 499 101
285 438 101
283 285 101
285 433 101
285 356 101
138 285 101
285 386 101
253 285 101
148 285 101
285 492 101
169 285 101
273 285 101
5 285 101
285 498 101
285 406 101
285 509 101
13 285 101
77 285 101
285 427 101
285 384 101
65 285 101
196 285 101
78 285 101
250 285 101
285 297 101
195 285 101
190 285 101
285 490 101
149 285 101
76 285 101
285 415 101
260 285 101
285 317 101
22 285 101
285 434 101
261 285 101
285 407 101
285 324 101
285 359 101
285 471 101
240 285 101
285 399 101
285 464 101
94 285 101
285 287 101
241 285 101
200 285 101
254 285 101
152 285 101
285 424 101
157 285 101
285 349 101
285 472 101
136 285 101
122 285 101
285 323 101
285 365 101
285 447 101
8 285 101
285 507 101
214 285 101
285 392 101
285 491 101
125 285 101
285 457 101
285 328 101
143 285 101
130 285 101
213 285 101
285 309 101
9 285 101
50 285 101
285 347 101
285 469 101
285 293 101
147 285 101
285 425 101
285 334 101
285 455 101
285 306 101
285 440 101
103 285 101
201 285 101
212 285 101
285 290 101
135 285 101
27 285 101
285 488 101
171 285 101
106 285 101
232 285 101
285 412 101
263 285 101
33 285 101
173 285 101
256 285 101
86 285 101
186 285 101
285 364 101
15 285 101
49 285 101
247 285 101
285 289 101
285 497 101
151 285 101
285 413 101
46 285 101
285 480 101
43 285 101
80 285 101
56 285 101
285 385 101
285 508 101
141 285 101
199 285 101
285 292 101
285 473 101
269 285 101
285 315 101
192 285 101
249 285 101
285 354 101
285 431 101
236 285 101
