128 4606
40 54 40
55 103 37
34 93 43
28 59 78
48 86 5
8 59 78
34 83 83
94 121 33
18 23 40
34 99 99
43 79 43
22 37 62
73 91 87
18 64 10
12 24 12
16 47 16
3 96 51
19 39 121
51 86 16
14 67 67
84 128 109
24 46 124
6 108 67
13 60 106
2 13 34
53 58 20
87 92 27
19 32 47
40 53 40
64 96 10
44 117 7
50 78 50
9 67 67
73 98 87
77 108 67
56 123 123
99 125 99
7 128 7
13 128 128
13 108 67
26 123 123
67 123 67
7 48 7
95 96 24
56 107 89
31 118 125
31 81 81
114 119 119
31 87 87
97 123 123
32 124 124
7 55 7
81 109 109
65 74 117
113 127 21
64 95 24
41 120 63
68 82 80
23 102 12
23 83 40
58 121 121
104 123 123
28 100 100
54 68 54
16 75 85
15 102 12
62 124 62
71 96 119
54 67 67
1 45 1
68 96 53
123 124 124
70 110 105
52 58 20
55 56 37
16 17 123
15 68 50
25 29 90
91 120 76
120 127 76
39 62 62
67 114 67
18 127 88
48 89 5
69 101 69
40 77 40
32 94 33
13 107 34
16 50 50
84 103 109
4 59 99
77 116 1
29 83 90
63 85 63
93 109 109
55 64 37
24 32 24
31 57 125
74 79 54
45 68 115
52 102 12
23 125 40
10 111 104
18 71 119
53 83 83
32 59 78
35 93 43
97 103 128
72 92 27
3 56 89
4 74 99
50 119 119
4 57 99
3 36 66
59 73 78
44 93 7
23 47 40
77 88 88
11 34 83
34 104 104
2 73 87
29 30 90
55 72 37
47 117 117
28 39 121
15 29 90
67 108 67
23 54 40
33 59 33
23 70 40
29 75 90
41 118 63
94 101 33
30 49 69
30 41 69
56 116 1
30 96 69
70 84 109
57 68 53
10 48 5
82 84 109
15 52 50
49 77 70
13 69 69
1 14 1
39 60 106
92 109 109
113 119 119
9 23 122
33 124 124
64 112 112
31 86 16
52 110 105
55 71 119
64 86 16
14 52 81
103 118 128
68 89 89
41 128 128
43 120 43
87 91 87
59 95 24
31 95 24
6 32 61
65 115 115
39 82 121
43 60 43
35 56 89
3 57 51
23 37 37
2 28 8
35 68 35
63 101 63
7 126 7
8 112 8
57 74 38
37 73 37
23 121 40
12 71 12
58 98 20
26 54 54
14 36 81
31 120 125
43 47 43
15 63 50
3 70 51
5 118 5
63 106 106
28 71 119
25 40 40
84 98 109
14 110 105
63 114 63
9 43 122
86 102 12
72 113 21
41 126 25
40 125 40
49 84 109
68 75 85
36 93 43
73 106 106
61 108 67
92 111 104
19 59 78
36 91 66
48 108 67
15 75 50
25 52 25
44 62 7
24 37 37
52 127 52
26 116 1
35 45 115
55 115 115
40 65 40
4 71 99
6 38 38
65 72 117
7 114 7
19 128 128
75 76 85
6 110 105
19 56 47
18 33 33
2 11 83
73 113 21
2 102 12
14 72 81
17 78 123
69 87 69
69 122 122
58 59 78
2 59 78
1 71 1
23 35 40
25 28 25
47 69 69
34 45 115
5 9 122
60 112 106
88 121 121
10 69 69
57 127 52
68 106 106
88 103 128
92 108 67
19 61 47
40 76 40
30 101 69
22 73 62
7 27 7
47 71 119
97 99 99
47 75 85
31 75 85
76 107 76
49 112 112
79 92 54
30 47 69
89 120 76
91 125 125
63 120 63
8 55 37
18 101 114
43 122 122
20 72 20
10 92 27
12 28 12
23 57 40
14 59 81
76 128 128
41 47 63
81 100 100
22 98 62
52 119 119
111 127 104
1 60 1
18 56 89
3 100 100
4 122 99
17 36 123
14 102 12
78 100 100
10 55 37
26 39 121
37 118 37
102 117 12
15 36 50
95 102 12
61 117 117
27 86 16
32 84 109
17 91 123
56 96 89
17 80 123
51 124 124
57 118 26
3 33 33
90 121 90
25 93 43
33 86 33
37 93 37
11 16 83
45 46 115
6 9 122
73 118 87
49 74 38
58 68 20
56 72 89
14 95 81
107 118 107
36 109 109
94 97 33
27 99 99
32 58 20
57 128 128
13 45 115
29 89 90
71 92 119
99 124 99
31 105 105
9 36 122
11 20 83
72 89 89
54 124 124
26 35 35
59 123 123
23 25 40
16 41 63
11 27 83
53 122 122
122 124 122
64 117 117
24 83 24
95 122 122
111 112 104
67 81 67
39 83 121
71 119 119
17 124 124
18 47 47
101 121 121
3 122 122
94 105 105
14 114 81
39 126 25
