64 1897
48 53 16
27 47 40
36 52 38
28 36 57
17 57 57
14 50 20
3 42 42
4 59 33
8 18 8
26 57 57
15 28 57
25 52 18
17 58 21
34 48 34
21 26 21
6 13 6
8 9 8
17 41 17
6 24 24
56 63 24
27 44 9
32 35 32
10 25 18
23 42 23
8 35 8
29 47 40
13 54 61
37 49 8
16 30 23
42 60 60
14 44 20
18 44 18
22 51 51
45 53 45
13 62 51
25 36 18
33 50 29
2 58 21
16 44 16
42 48 42
38 61 38
55 59 32
17 46 6
30 31 23
20 58 21
11 39 1
35 56 24
35 57 57
19 29 29
19 54 12
7 55 32
10 59 33
8 54 8
40 63 40
20 36 20
35 59 33
4 44 42
2 64 2
8 51 8
3 59 33
5 30 23
44 62 51
5 35 22
2 10 45
1 57 1
35 41 22
29 63 29
12 19 12
12 53 16
17 60 60
26 41 26
10 52 38
43 62 51
27 41 5
31 51 51
27 42 42
53 58 21
12 56 24
19 35 22
13 33 61
5 31 17
8 49 8
33 61 61
1 13 1
4 26 26
11 62 51
41 50 29
7 18 18
39 63 1
52 54 38
34 59 33
31 63 36
46 59 6
11 63 36
23 29 23
12 58 21
8 23 8
35 42 22
4 20 20
41 52 38
3 10 45
28 60 57
49 53 8
20 44 20
54 56 24
4 48 42
23 50 23
10 63 36
34 64 34
3 50 29
4 14 20
19 58 21
16 49 8
10 49 8
41 58 21
9 38 38
28 30 57
3 20 20
2 23 23
34 37 26
2 28 57
13 42 61
15 57 57
54 59 33
32 58 21
13 49 8
1 26 1
3 51 51
32 59 32
5 64 5
26 53 26
16 40 40
22 58 21
15 27 60
36 58 21
31 55 32
39 56 1
8 58 21
2 11 2
25 26 18
46 63 6
11 48 48
21 40 21
40 60 40
2 49 8
5 61 61
21 41 21
12 22 22
47 50 40
33 51 51
11 21 21
5 16 5
27 31 17
13 26 61
33 36 36
8 40 8
29 57 57
3 44 2
50 51 29
9 32 32
42 64 42
44 64 64
44 54 54
18 27 18
17 38 38
29 41 29
26 54 26
21 44 21
13 52 38
8 29 8
54 64 54
25 28 57
1 32 1
19 24 24
29 58 21
32 44 32
24 52 24
18 60 18
12 63 36
31 58 21
13 59 61
15 49 8
4 42 42
44 63 36
18 54 18
36 64 36
7 40 40
48 49 8
34 63 36
12 30 23
25 31 18
2 41 5
4 50 29
13 46 6
20 47 40
28 51 57
13 58 21
37 57 57
15 17 60
50 62 29
35 43 22
19 25 18
32 41 32
38 59 38
37 42 26
6 58 21
58 64 21
56 58 21
9 51 51
34 45 34
30 55 23
11 55 32
21 27 21
27 29 29
24 37 24
59 63 36
1 8 1
5 28 57
3 58 21
5 45 45
1 59 1
23 31 23
23 57 57
21 30 21
9 41 5
1 51 1
16 25 18
12 31 17
14 19 20
40 47 40
39 52 1
13 29 29
39 40 1
8 13 8
34 47 40
23 43 23
26 33 33
37 47 40
10 48 45
3 38 38
9 22 22
31 53 17
29 51 29
10 24 24
16 55 32
29 36 29
36 61 36
3 26 26
6 29 6
4 56 24
8 32 8
26 64 26
16 39 1
11 15 60
5 12 5
10 51 51
25 49 8
1 25 1
20 28 57
38 48 38
14 48 20
5 24 24
8 26 8
30 56 24
38 40 40
19 44 12
5 27 5
2 24 24
9 44 9
13 39 1
31 41 17
27 33 33
30 38 23
29 40 40
32 46 6
26 48 26
14 35 20
8 12 8
18 21 21
17 44 17
5 47 40
12 62 51
45 55 32
37 40 40
9 37 26
50 63 29
4 9 42
19 47 40
6 17 6
23 51 23
4 28 57
26 38 38
7 30 23
31 36 36
6 56 24
2 9 9
28 33 57
34 52 38
8 57 57
11 26 26
46 64 6
17 29 29
8 39 1
4 41 5
45 48 45
59 62 51
29 61 29
5 44 5
38 56 24
5 38 38
43 46 6
14 53 20
31 56 24
3 19 2
43 55 32
12 14 20
1 9 1
37 51 51
51 56 24
14 61 20
5 41 5
48 55 32
4 10 45
16 34 34
14 57 57
13 47 40
38 58 21
4 40 40
22 45 22
5 15 60
22 31 17
17 47 40
7 59 33
22 50 29
12 13 61
27 53 9
47 60 40
22 41 22
48 64 48
33 45 33
28 57 57
33 47 40
41 48 5
7 36 36
26 51 51
4 39 1
36 41 36
12 33 33
42 59 33
8 34 8
3 36 36
8 44 8
27 61 61
51 53 51
23 48 23
19 62 51
16 35 22
24 29 24
27 34 34
22 61 61
15 60 60
6 32 6
3 7 34
15 53 60
8 15 8
14 63 20
1 42 1
17 21 21
37 50 29
43 64 48
14 32 20
28 48 57
18 53 18
11 51 51
26 50 29
28 63 57
21 28 21
39 60 1
2 15 60
15 20 20
30 62 23
58 61 21
39 55 1
46 60 60
47 48 40
13 16 61
19 22 22
6 22 6
37 54 26
52 64 38
34 38 38
7 10 34
23 52 23
29 30 23
28 49 57
28 43 57
24 59 24
3 40 40
13 48 61
9 46 6
9 14 20
23 46 23
27 40 40
25 44 18
3 5 5
19 49 8
13 28 57
8 38 8
21 64 21
15 41 60
9 48 9
6 14 20
2 19 2
26 42 26
27 32 32
24 41 24
46 53 6
2 33 33
6 43 6
9 61 61
7 57 57
4 33 33
49 51 8
37 63 36
13 44 61
15 52 60
7 44 34
32 42 32
25 60 18
1 16 1
21 37 21
11 35 22
1 18 1
12 34 34
16 33 33
22 42 22
21 39 1
35 46 6
14 17 20
13 20 20
17 64 17
24 35 24
25 57 57
34 54 34
30 60 60
16 59 33
27 38 38
30 36 23
20 42 20
29 34 29
23 54 23
23 27 23
22 60 60
47 57 57
17 43 17
18 22 18
37 39 1
23 44 23
20 50 20
22 26 22
44 49 8
5 60 60
8 46 8
4 55 32
34 42 34
1 54 1
11 45 45
6 12 6
26 49 8
28 52 57
23 24 24
7 39 1
18 28 57
30 58 21
50 60 60
7 60 60
11 50 29
17 19 17
31 54 17
1 20 1
39 50 1
49 62 8
17 53 17
12 25 18
19 46 6
20 52 20
44 58 21
43 47 40
20 22 20
15 21 21
36 57 57
8 27 8
31 45 17
56 62 24
23 33 23
21 38 21
1 22 1
9 55 32
14 29 20
29 62 29
26 55 32
32 61 32
10 28 57
30 40 40
25 46 18
16 37 26
20 40 40
43 49 8
40 41 40
26 60 60
11 49 8
52 57 57
21 34 21
17 35 17
21 61 21
11 57 57
46 51 6
34 41 34
33 43 33
8 24 8
30 64 23
46 57 57
1 49 1
11 18 18
14 38 20
42 49 8
9 27 9
1 64 1
19 30 23
40 56 40
1 56 1
22 23 23
11 43 48
11 28 57
44 50 29
33 34 33
48 62 51
2 30 23
39 45 1
19 64 12
33 39 1
2 17 17
1 4 1
33 54 33
6 41 6
45 63 36
10 13 61
26 58 21
39 54 1
30 49 8
30 52 23
14 36 20
9 40 40
3 56 24
7 20 20
16 42 42
48 54 48
30 42 23
6 50 6
40 45 40
17 55 32
24 42 24
48 60 60
3 37 26
37 52 38
28 47 57
27 30 23
21 54 21
54 57 57
12 52 38
10 33 33
20 21 21
39 51 1
4 51 51
9 56 24
7 12 34
43 58 21
1 5 1
44 47 40
9 24 24
1 7 1
1 6 1
3 48 2
35 45 22
21 47 21
4 52 38
15 58 21
11 54 54
25 53 18
30 32 23
42 51 51
27 45 45
30 50 23
38 53 38
4 27 42
41 43 5
1 15 1
40 59 40
19 23 23
8 10 8
1 40 1
40 48 40
18 52 18
4 11 42
7 46 6
46 47 40
15 36 60
1 44 1
29 53 29
22 54 22
7 16 34
35 40 40
35 51 51
13 64 61
17 50 29
15 23 60
6 46 6
31 47 40
40 51 40
20 38 20
15 26 60
7 42 34
37 62 51
17 31 17
6 9 6
25 37 18
23 56 24
16 31 17
20 30 20
20 24 20
9 39 1
15 19 60
14 37 20
10 15 60
10 43 45
1 12 1
34 39 1
3 29 29
35 37 22
32 52 38
18 42 18
31 48 17
23 37 23
19 52 38
37 59 33
3 12 2
47 51 40
15 55 60
20 23 20
33 38 38
36 50 29
11 38 38
33 37 33
52 56 24
33 58 21
1 37 1
26 44 26
3 39 1
35 39 1
42 63 36
30 51 23
13 50 29
17 30 23
5 50 29
24 55 24
8 42 8
4 18 18
35 63 36
21 63 21
39 44 1
3 13 61
15 44 60
59 60 60
32 33 32
33 49 8
34 50 29
33 35 33
14 45 20
13 35 61
47 63 40
27 58 21
18 34 18
29 32 29
23 60 60
5 7 34
30 44 23
31 60 60
1 11 1
12 45 45
22 40 40
22 49 8
54 58 21
41 60 60
23 64 23
8 53 8
28 34 57
25 47 40
46 55 6
10 29 29
36 55 36
8 33 8
19 38 38
11 46 6
4 25 18
21 48 21
39 48 1
33 57 57
45 51 51
34 46 6
27 57 57
4 49 8
1 41 1
28 44 57
13 37 61
5 10 45
7 32 32
2 18 18
35 49 8
2 12 2
22 56 24
12 47 40
27 55 32
11 29 29
13 51 51
11 56 24
38 51 38
1 21 1
22 36 36
41 47 40
3 11 2
24 56 24
12 61 61
