512 13687
144 153 1
155 189 1
26 364 2
404 484 2
42 469 3
290 439 5
135 475 5
107 440 6
78 146 6
140 185 7
140 144 7
411 460 8
267 290 9
341 413 9
244 284 10
284 452 10
142 376 11
209 443 11
150 219 12
173 372 12
19 259 13
266 325 13
412 468 14
22 114 14
135 249 15
29 37 15
71 403 16
403 462 16
261 365 17
472 476 18
83 143 18
225 313 21
83 466 22
328 500 23
180 448 24
74 362 24
258 417 25
243 331 27
251 395 27
199 410 28
61 246 29
61 164 29
31 393 30
171 454 30
77 477 33
43 199 33
209 304 34
53 497 34
85 361 35
85 396 35
129 204 36
69 204 36
194 355 37
57 297 38
162 241 39
158 241 39
166 177 40
389 434 40
150 512 41
82 426 42
82 210 42
289 293 44
254 351 44
76 138 45
138 359 45
254 289 47
92 172 48
288 449 49
274 449 49
354 382 50
459 462 52
416 459 52
257 287 54
131 324 54
179 378 58
255 431 59
165 227 59
215 256 60
307 399 60
86 250 62
80 86 62
130 315 63
100 480 63
288 430 64
214 501 65
207 224 65
234 366 66
78 234 66
196 357 67
127 447 67
174 405 68
237 312 72
78 90 72
77 446 73
116 165 74
95 120 76
98 383 79
94 506 79
104 379 80
371 487 81
221 344 81
117 400 84
213 329 84
166 389 87
122 175 88
175 481 88
161 375 89
214 375 89
357 447 91
233 506 93
137 261 93
123 377 96
126 434 97
243 306 99
154 306 99
190 296 101
175 465 103
244 486 105
199 384 108
276 323 109
236 276 109
452 457 111
123 304 113
170 491 115
369 495 119
414 480 130
216 320 131
192 479 132
334 388 132
276 347 133
466 472 141
330 422 149
386 401 152
288 302 157
162 283 158
228 231 160
228 419 160
214 441 161
373 383 169
181 423 170
205 321 172
321 504 172
232 332 176
202 489 180
232 381 182
221 356 183
331 395 184
276 280 188
282 468 191
309 334 192
329 400 193
368 460 200
310 322 201
229 437 203
342 503 203
394 435 207
394 451 207
285 417 212
271 339 215
266 478 223
505 509 236
311 442 238
353 442 238
400 445 239
336 491 248
397 500 249
492 500 249
345 471 251
340 404 252
268 409 262
376 443 269
272 376 269
432 493 273
348 422 281
476 503 314
415 419 332
426 496 338
350 477 348
370 372 349
444 485 365
398 453 374
425 467 382
428 487 390
448 461 418
221 292 10
65 403 16
260 442 238
6 115 6
141 282 14
223 278 223
10 71 10
5 19 5
4 139 4
6 180 6
283 490 1
27 154 27
1 261 1
430 439 1
75 256 60
3 496 3
186 302 1
150 283 12
205 504 172
49 54 49
3 42 3
8 115 8
1 512 1
162 175 39
1 29 1
336 411 248
10 67 10
360 483 89
10 130 10
318 414 63
277 409 10
368 423 8
230 321 172
16 394 16
170 358 6
179 406 58
1 207 1
388 479 132
412 492 1
