1024 100000
245 399 1
234 623 1
10 108 1
245 829 1
758 791 1
6 451 1
66 723 1
141 143 1
89 205 1
207 877 1
613 924 1
409 960 1
580 836 1
180 215 1
10 37 1
245 815 1
581 661 1
89 621 1
187 723 1
382 944 1
725 888 1
440 602 1
71 292 1
331 641 1
912 928 1
333 597 1
120 316 1
362 815 1
577 802 1
167 658 1
68 132 1
264 618 1
21 43 1
703 852 1
435 528 1
116 766 1
266 865 1
32 109 1
304 343 1
244 409 1
660 802 1
720 858 1
382 641 1
25 716 1
48 762 1
48 726 1
143 770 1
82 689 1
319 528 1
10 150 1
167 265 1
256 483 1
132 517 1
85 451 1
839 947 1
234 548 1
451 690 1
43 979 1
290 314 1
361 367 1
574 802 1
501 840 1
567 793 1
418 944 1
200 940 1
525 610 1
144 410 1
387 467 1
10 688 1
48 264 1
200 841 1
41 1010 1
234 1011 1
409 728 1
519 573 1
19 893 1
298 769 1
424 546 1
173 579 1
25 135 1
84 132 1
256 993 1
41 301 1
932 933 1
586 944 1
802 952 1
877 899 1
367 449 1
355 750 1
761 1022 1
75 319 1
410 578 1
32 61 1
55 932 1
43 678 1
42 689 1
142 311 1
108 221 1
918 947 1
141 608 1
462 743 1
236 290 1
25 1024 1
378 947 1
334 362 1
335 410 1
131 318 1
584 884 1
661 892 1
311 992 1
114 965 1
70 311 1
103 737 1
32 396 1
69 262 1
356 550 1
477 947 1
456 597 1
264 471 1
525 928 1
199 750 1
829 933 1
437 697 1
556 881 1
124 126 1
466 831 1
114 465 1
131 406 1
643 857 1
600 796 1
234 854 1
833 857 1
290 727 1
831 970 1
32 869 1
37 924 1
389 884 1
888 939 1
242 854 1
723 911 1
10 548 1
207 497 1
143 520 1
316 525 1
243 292 1
207 967 1
256 776 1
597 828 1
122 684 1
115 178 1
22 597 1
562 831 1
641 981 1
409 902 1
79 410 1
226 290 1
56 440 1
444 1007 1
25 369 1
104 550 1
10 1002 1
69 253 1
419 830 1
167 913 1
325 933 1
641 681 1
43 231 1
152 947 1
295 944 1
75 373 1
912 936 1
41 62 1
506 1006 1
597 817 1
490 737 1
226 857 1
89 472 1
173 309 1
486 766 1
131 285 1
750 964 1
178 840 1
138 831 1
404 709 1
737 893 1
424 428 1
174 245 1
451 872 1
408 928 1
136 580 1
114 890 1
416 743 1
533 600 1
391 410 1
69 548 1
987 1014 1
526 542 1
215 421 1
230 506 1
271 1007 1
115 771 1
525 729 1
389 1007 1
437 761 1
55 776 1
852 871 1
279 944 1
205 723 1
926 928 1
691 761 1
55 785 1
41 516 1
55 632 1
387 801 1
292 495 1
360 747 1
819 947 1
218 831 1
710 893 1
657 884 1
215 583 1
507 550 1
841 858 1
63 167 1
89 525 1
572 884 1
432 889 1
189 573 1
831 898 1
472 743 1
256 461 1
77 580 1
