50000 100000
26994 47618 42990
22130 47618 1221
28924 38642 33369
14240 25191 47591
20234 21720 2963
5674 11107 13838
4452 22023 38535
6036 41177 21691
20642 44171 30976
8308 28672 16083
169 45731 8793
2095 47618 38803
28775 34856 34856
24543 47618 19154
11795 27992 6950
32375 47618 46114
14593 47618 39937
32861 36662 27465
16518 42896 22196
34530 47618 11543
42639 47618 43698
19848 36292 46405
831 7463 36540
33570 47618 33570
9687 47618 44322
17418 33171 45568
18373 22441 39242
8732 19807 8732
22807 48271 48220
32466 47618 115
47618 48182 43579
11360 11587 20804
26335 46248 33847
4411 39567 9171
1973 46957 47019
24273 47618 29419
45072 47618 346
31366 47618 31366
6393 36213 34856
30999 47618 29258
28810 39933 27433
11476 32927 4145
38497 38987 4111
23007 24320 49206
4886 12224 14423
27699 44903 8354
28357 47618 21568
3292 46825 48399
2562 16928 10749
42606 47618 41419
9820 49293 33980
22434 42055 18154
34364 47618 27710
47410 47932 26291
45519 47618 32286
584 47618 33929
42884 47618 42884
4386 46703 15832
13824 47020 33892
40714 47618 40714
23712 27653 39211
5983 33352 23677
2522 7719 2522
28152 44851 25300
3395 40499 25613
29220 33868 14612
17331 48627 49265
37999 47618 37999
18740 47618 23981
4302 11687 29926
21546 47618 28485
47558 47618 7634
34960 47618 39567
11948 47618 6
39442 47618 39442
25091 34053 34053
13885 22431 14954
35030 47618 13009
17940 47618 2311
30899 47618 30899
11808 47618 32360
47572 47618 19429
11303 32675 44476
20472 41734 7880
10385 33718 2691
35311 49513 8818
47618 49622 45813
44877 49428 32309
29418 29614 15561
18890 47618 5905
44621 47618 48068
33819 47618 25174
2610 6712 47501
30119 47618 40444
23871 42810 36294
19022 47618 44187
47618 48393 3123
4335 47618 4335
19185 36389 4051
22160 28907 9771
7055 44306 41324
9146 45386 22649
29297 47618 18079
12623 26076 48196
2957 40084 40084
40311 47618 44412
4303 47618 27895
46002 47618 44280
30300 47618 41432
38076 41694 7567
25608 47618 26851
3590 21954 41238
133 38053 20195
1482 47618 43816
15734 44047 19593
11819 47618 38631
19427 41935 18070
6098 47618 47923
5118 29630 47526
30466 47090 3744
23772 35944 3372
29086 49278 47932
47618 49364 12992
19249 33035 12232
2561 44449 43629
21319 43102 42159
1934 19724 20297
42641 49156 31094
15471 47061 26299
11039 32283 38156
10085 25827 41432
22140 47618 3548
1342 47618 1342
14505 47618 33782
15632 47618 42480
15514 26213 13406
44270 47618 7576
39224 45579 39224
28417 47618 27201
22321 39609 4042
5258 33072 25066
35060 37256 5233
6048 20155 48793
30203 35312 35312
33549 47618 2283
15805 43866 3702
12188 42794 30689
27057 47618 30712
40727 49031 7564
47618 47956 42893
6827 49114 20969
3895 17948 18785
35688 40499 48851
33137 34717 19699
41117 43469 43820
28786 47618 7720
29027 47618 43838
22137 47618 29868
17720 47618 37696
36861 37436 42914
8109 28946 37440
44665 49246 15363
3613 32928 11265
3076 33947 21583
40519 47618 29571
28151 47618 16652
42751 47618 16667
507 47618 11981
11643 31194 10123
8772 47618 41593
17475 47618 9057
575 47618 575
31246 36299 42708
38460 47618 31274
33609 47618 3605
25379 47618 8154
29369 31814 44782
5482 10257 2345
22939 31731 21146
12127 47618 12127
32854 47618 40278
10673 43342 10673
9146 11475 22649
29137 47618 695
10917 41807 18483
23488 45272 45272
30488 47618 8509
28216 29391 8854
4851 11276 30602
32385 47618 15641
7898 37790 18580
10520 15773 12875
22011 47618 34858
46853 47618 8727
46693 47618 39046
3134 24942 6369
12675 35157 23671
25559 38902 25559
2674 44447 30757
21194 40216 40216
30163 35715 23132
30942 39020 30942
44612 47618 33455
47618 49699 4733
57 47618 18079
3021 14916 46245
16224 47618 16224
6166 47618 11727
18835 47618 41656
30737 47618 33470
8778 48654 2760
45719 47618 5189
13755 47618 36104
20776 40408 8339
33961 47618 24421
47367 47618 2180
47618 48353 45272
26891 47390 44977
5496 47618 14910
47618 49321 23088
25721 39050 33712
47298 47618 18100
23200 32600 32600
16550 44111 28163
3806 8458 39045
11479 47618 11479
2105 41239 2105
26270 47618 47234
6126 47618 30755
12107 37247 35121
27318 47618 27318
32804 47618 4870
25914 47618 38213
6543 49577 34766
35387 47618 36319
35768 48198 4050
24916 44157 33282
25430 47618 13443
18882 21415 8338
20950 25944 20950
20925 47618 21289
7304 18545 31626
3471 21430 18762
27201 47426 47426
7411 32882 36662
16723 23732 46952
18650 47618 7326
41375 47618 9738
15161 35765 38320
7711 44755 35674
18196 48878 48878
19934 33853 19934
19146 33477 2022
1629 28089 15466
47478 47618 11501
39370 47618 27214
39611 47618 40082
11761 36781 46242
39157 46822 28951
14494 48553 43147
44533 46951 9052
12710 39485 39386
14697 47618 16587
6684 47618 6684
21684 47618 6187
3935 11687 20258
13581 49234 18895
20841 23420 28780
17002 28395 31763
2440 47618 43204
5999 23398 4249
30646 34044 6239
29087 47618 18402
6597 47618 34098
12937 38828 49686
13932 32231 34018
18623 32448 30412
342 46706 47504
26980 37352 43975
6296 47618 6296
32809 44408 26250
21382 40447 17552
34877 49138 18308
8077 29603 14092
15782 47618 31185
38788 47528 17162
26652 38326 25302
15145 44021 24219
4068 43240 18223
7596 30620 1402
12424 40708 28587
1810 47618 1922
20784 43029 24661
11706 11897 24105
8314 47618 32073
9466 47618 13159
6061 37689 20984
10722 23674 24252
13687 41151 14069
10954 19736 7920
45753 48494 45899
3824 8160 45149
8163 39282 2524
24220 47335 6444
23586 47618 27586
41533 47618 41533
40964 47618 39042
31726 47618 40094
2416 3124 18617
14371 47618 32967
23223 44378 44113
47618 49195 14046
11381 47618 11381
11442 47618 11442
3088 21786 41102
40697 41416 36452
28807 42388 32042
47618 49015 47920
30999 33631 29258
44736 47618 44736
47593 47618 14533
29848 42815 45802
26544 28142 3114
35317 47820 23401
39199 47618 23397
45620 48867 11045
3453 47618 3420
37900 47618 41839
26669 47618 48490
20220 37971 10029
39324 48012 28199
5482 19113 2345
2065 36440 9484
43398 47618 34946
11164 47618 35421
6309 47618 28678
19250 47618 19250
40479 48407 18284
25357 47618 25357
2160 24032 42139
22722 47618 14875
7415 47618 4574
10613 49853 35473
36072 47618 32908
18741 38214 5288
