256 6726
152 239 1
15 24 3
16 47 2
61 159 1
96 171 1
233 245 7
12 93 1
9 47 2
122 146 1
49 155 1
32 148 4
209 255 3
37 108 1
120 240 120
36 213 1
138 150 4
6 105 6
93 95 23
21 167 10
152 216 1
75 147 18
77 156 19
119 163 1
3 220 3
23 161 5
129 130 32
77 151 9
113 158 1
241 243 60
62 73 1
125 227 7
82 86 10
26 58 3
51 203 25
79 154 19
74 145 18
140 158 4
216 244 3
1 179 1
161 249 1
15 120 15
201 208 6
1 201 1
140 154 4
86 236 1
23 191 23
25 94 1
150 159 9
7 213 3
25 184 1
221 248 3
203 205 25
4 153 4
109 179 1
58 255 7
20 179 5
106 244 3
139 209 1
27 109 27
14 229 14
48 217 6
215 225 3
105 107 26
231 233 14
24 64 1
33 146 4
25 28 3
73 137 4
33 253 1
111 167 1
59 75 1
87 101 1
107 147 1
10 163 10
133 143 8
74 88 2
28 228 28
55 215 13
107 211 26
76 248 1
34 153 4
48 146 1
4 41 2
67 143 8
7 115 7
188 189 94
90 116 1
59 210 3
60 255 15
46 185 46
82 225 1
22 244 1
227 252 7
113 153 1
54 85 1
21 52 1
14 239 14
64 81 2
157 160 2
72 149 18
21 100 1
149 252 1
124 172 1
46 161 5
71 156 4
4 140 4
55 214 13
156 209 1
72 73 36
26 27 13
3 153 1
73 183 2
152 174 2
189 202 1
31 124 31
34 59 1
6 122 3
147 173 2
190 223 1
36 172 2
202 206 25
122 242 30
32 166 2
14 15 7
237 250 7
14 193 3
74 225 1
147 207 1
128 184 2
49 193 24
46 201 1
67 135 67
142 161 2
9 150 9
9 129 4
5 205 1
3 39 1
178 245 1
191 212 1
217 218 54
56 196 3
179 228 1
190 201 1
82 204 1
220 222 55
232 236 29
113 225 56
3 130 1
150 190 2
31 207 3
58 76 1
108 201 6
31 125 31
45 238 1
101 205 25
80 169 10
4 9 4
67 207 1
95 190 95
45 70 2
77 230 1
1 16 1
71 143 71
34 71 17
1 119 1
3 17 1
5 183 5
123 139 1
222 255 3
13 210 13
3 196 3
36 71 4
22 90 22
140 212 1
144 241 1
62 122 15
8 199 1
121 247 30
7 243 7
11 150 2
4 16 4
178 208 1
35 138 17
31 64 1
49 205 12
13 217 13
33 129 16
10 172 10
58 250 7
13 69 1
16 130 16
62 104 3
166 234 1
237 239 59
22 178 22
72 150 18
180 247 1
27 111 27
2 159 2
26 104 26
25 201 25
56 224 56
1 250 1
30 243 30
185 190 23
8 142 8
48 57 3
5 168 5
52 89 1
21 104 1
163 195 1
116 242 7
16 75 4
104 199 6
51 68 1
31 139 1
14 116 14
140 206 1
214 215 107
197 209 6
80 114 1
11 55 1
27 104 13
85 172 21
8 227 1
65 211 1
83 191 5
13 215 13
114 235 14
101 192 12
9 154 9
50 94 1
16 135 16
44 110 1
78 112 1
16 21 2
9 31 1
23 246 1
85 160 10
13 216 13
96 99 24
93 166 5
71 117 1
27 210 13
240 243 60
128 136 8
41 80 20
183 211 1
99 104 6
17 56 1
60 98 3
154 180 2
193 194 48
50 203 50
118 223 3
174 201 1
20 167 20
1 82 1
69 141 17
109 241 3
10 47 5
119 194 3
31 254 31
44 93 11
12 203 12
5 87 5
21 85 21
165 197 1
30 161 1
170 199 1
136 179 2
33 189 2
115 229 57
128 158 4
253 255 63
123 228 7
91 213 1
197 204 12
10 223 1
10 36 2
15 121 15
71 246 1
45 176 22
18 88 2
31 201 3
91 208 1
62 178 1
70 182 2
94 110 1
167 206 1
92 159 2
5 80 5
10 113 1
66 134 33
16 38 4
84 201 1
5 108 1
11 116 1
141 248 1
77 79 19
114 238 14
4 238 1
147 151 18
206 255 3
32 129 32
92 199 1
54 220 27
5 41 5
171 247 1
18 189 2
100 194 12
9 76 9
205 212 6
8 136 8
2 179 2
154 187 2
117 130 1
2 243 1
112 113 56
21 157 2
84 175 21
105 215 26
6 223 6
198 234 3
154 219 1
11 227 1
112 150 1
4 146 4
141 149 4
49 188 1
140 142 35
125 174 1
41 213 1
247 255 15
127 168 1
226 231 28
16 195 1
134 239 1
8 219 1
159 248 1
186 188 23
183 204 1
45 199 1
3 30 3
103 211 6
44 152 2
35 155 4
109 217 54
1 120 1
3 216 3
104 157 1
26 125 3
17 137 17
69 138 69
163 173 10
44 242 1
54 218 54
164 206 1
196 211 6
26 106 26
146 244 1
96 135 1
118 195 3
136 230 1
241 246 30
161 163 40
36 81 2
153 184 2
52 87 1
132 236 1
75 89 2
32 141 8
