512 30511
209 375 177
76 375 177
16 375 177
375 502 177
375 440 177
375 468 177
375 445 177
375 457 177
156 375 177
125 375 177
248 375 177
240 375 177
375 484 177
212 375 177
354 375 177
260 375 177
80 375 177
375 466 177
51 375 177
11 375 177
349 375 177
375 409 177
375 473 177
375 382 177
367 375 177
247 375 177
89 375 177
375 416 177
273 375 177
375 390 177
166 375 177
375 443 177
318 375 177
151 375 177
114 375 177
12 375 177
343 375 177
107 375 177
192 375 177
244 375 177
375 420 177
186 375 177
322 375 177
375 509 177
375 493 177
32 375 177
365 375 177
257 375 177
299 375 177
117 375 177
194 375 177
171 375 177
112 375 177
375 388 177
162 375 177
88 375 177
68 375 177
281 375 177
375 403 177
161 375 177
252 375 177
215 375 177
183 375 177
375 486 177
375 470 177
242 375 177
144 375 177
163 375 177
113 375 177
170 375 177
375 377 177
278 375 177
375 427 177
57 375 177
375 481 177
235 375 177
64 375 177
353 375 177
214 375 177
44 375 177
375 475 177
225 375 177
195 375 177
169 375 177
98 375 177
20 375 177
283 375 177
344 375 177
331 375 177
363 375 177
375 414 177
172 375 177
375 482 177
218 375 177
329 375 177
375 507 177
375 469 177
324 375 177
375 447 177
196 375 177
47 375 177
375 490 177
375 456 177
317 375 177
34 375 177
191 375 177
223 375 177
355 375 177
333 375 177
375 474 177
375 476 177
335 375 177
115 375 177
120 375 177
326 375 177
81 375 177
308 375 177
136 375 177
127 375 177
254 375 177
185 375 177
274 375 177
28 375 177
375 465 177
303 375 177
375 436 177
23 375 177
307 375 177
375 423 177
375 405 177
222 375 177
375 389 177
184 375 177
109 375 177
330 375 177
375 500 177
268 375 177
19 375 177
375 398 177
375 411 177
73 375 177
176 375 177
155 375 177
146 375 177
359 375 177
27 375 177
132 375 177
255 375 177
121 375 177
189 375 177
375 499 177
321 375 177
375 496 177
227 375 177
270 375 177
128 375 177
375 458 177
251 375 177
375 376 177
271 375 177
375 396 177
375 508 177
261 375 177
36 375 177
375 424 177
141 375 177
41 375 177
234 375 177
342 375 177
82 375 177
76 209 177
16 209 177
209 502 177
209 440 177
209 468 177
209 445 177
209 457 177
156 209 177
125 209 177
209 248 177
209 240 177
209 484 177
209 212 177
209 354 177
209 260 177
80 209 177
209 466 177
51 209 177
11 209 177
209 349 177
209 409 177
209 473 177
209 382 177
209 367 177
209 247 177
89 209 177
209 416 177
209 273 177
209 390 177
166 209 177
209 443 177
209 318 177
151 209 177
114 209 177
12 209 177
209 343 177
107 209 177
192 209 177
209 244 177
209 420 177
186 209 177
209 322 177
209 509 177
209 493 177
32 209 177
209 365 177
209 257 177
209 299 177
117 209 177
194 209 177
171 209 177
112 209 177
209 388 177
162 209 177
88 209 177
68 209 177
209 281 177
209 403 177
161 209 177
209 252 177
209 215 177
183 209 177
209 486 177
209 470 177
209 242 177
144 209 177
163 209 177
113 209 177
170 209 177
209 377 177
209 278 177
209 427 177
57 209 177
209 481 177
209 235 177
64 209 177
209 353 177
