512 18665
13 175 417
305 438 343
7 492 204
32 307 53
239 267 53
86 271 1
32 193 193
55 87 193
259 430 275
4 252 252
118 488 420
32 55 32
139 438 159
189 464 316
358 370 18
278 462 262
410 488 373
193 337 193
149 476 338
89 502 159
47 382 332
50 307 53
332 397 332
9 279 54
338 452 338
152 508 324
49 386 162
182 341 373
228 321 1
341 447 373
216 262 262
144 443 4
43 374 186
331 387 451
253 295 117
184 204 204
152 256 324
342 474 474
222 480 355
69 81 81
325 343 343
354 498 498
227 237 237
215 366 215
81 483 81
244 396 494
142 373 373
70 476 71
296 351 296
255 479 262
269 350 42
82 461 495
423 508 396
370 451 451
239 372 53
434 439 204
137 311 311
76 417 417
25 219 420
313 352 313
405 485 338
93 265 3
26 356 267
383 395 285
163 382 4
136 253 253
398 506 267
172 329 172
2 262 262
56 298 231
269 385 497
89 419 505
130 398 267
168 487 396
144 466 316
164 178 215
74 384 402
179 251 378
406 454 454
141 332 332
269 473 80
45 51 275
289 421 98
390 417 417
104 179 193
195 344 355
322 424 71
159 224 142
453 474 474
75 174 227
25 311 311
166 428 208
20 316 20
215 375 215
135 292 135
12 193 193
13 248 420
178 326 355
89 471 260
89 184 4
358 433 332
37 201 215
191 237 237
201 343 343
261 501 20
163 318 4
41 159 99
77 272 18
11 382 294
210 329 329
202 458 458
50 117 117
81 481 81
115 418 451
102 464 102
476 488 338
194 432 81
172 423 172
99 310 99
121 482 262
219 388 420
132 426 132
176 208 208
13 497 253
164 227 227
227 265 227
18 342 18
427 498 253
326 508 355
105 459 311
141 308 262
53 236 53
184 510 430
192 441 80
37 509 215
172 230 172
252 273 252
220 484 12
130 495 495
277 365 430
54 299 117
171 420 420
20 78 20
142 266 142
159 222 355
207 304 193
397 446 42
298 439 204
226 462 329
178 464 402
172 484 172
277 289 430
42 114 42
236 354 292
77 201 253
218 449 383
362 508 373
332 466 332
297 413 498
187 383 329
277 441 430
210 457 98
89 296 296
66 402 417
218 281 383
165 193 193
177 249 215
90 279 252
275 308 275
71 84 71
284 402 454
302 360 110
83 169 215
233 300 355
329 369 458
203 345 505
151 374 186
42 427 42
33 229 99
106 159 159
85 177 329
343 384 343
172 181 172
347 497 392
250 290 498
153 249 208
378 483 275
322 417 417
94 179 378
262 508 262
73 222 316
121 351 231
199 212 469
9 341 373
188 232 430
282 481 110
174 361 237
265 376 3
130 422 495
49 191 159
2 379 172
139 199 159
279 394 316
91 343 505
116 457 281
165 451 451
1 92 1
51 236 454
24 349 71
162 433 162
1 161 1
126 333 142
220 303 294
438 458 458
131 432 355
470 491 142
193 320 193
286 439 204
378 508 378
175 389 417
146 442 172
188 262 262
368 408 3
108 275 71
84 512 225
148 472 438
149 190 384
27 378 378
68 476 338
140 193 193
