256 6463
74 85 28
76 233 254
5 198 235
57 224 4
29 254 254
34 117 117
51 249 4
56 240 1
112 118 1
120 190 235
21 42 1
7 103 27
14 101 50
109 184 1
99 135 178
71 129 27
58 198 198
35 56 1
55 186 186
1 182 1
96 149 235
66 212 148
42 127 235
137 182 27
27 226 27
81 233 112
55 155 28
78 132 1
1 227 1
43 216 254
60 100 84
67 103 1
39 61 235
231 250 84
126 239 28
23 137 28
107 245 1
82 237 1
49 235 235
16 197 27
39 81 1
29 56 1
43 112 112
70 184 1
14 78 1
111 241 27
37 163 27
22 176 235
61 253 27
116 146 1
104 229 1
4 206 4
178 235 235
99 192 1
101 120 1
69 235 235
74 235 235
16 236 1
19 27 27
21 155 1
81 249 1
72 254 254
61 71 27
221 234 4
51 147 84
31 200 1
84 197 84
153 177 1
100 195 1
77 180 4
10 100 28
218 238 50
132 202 1
170 207 28
176 253 253
101 130 50
41 224 27
119 240 1
56 161 1
136 226 214
114 208 1
12 199 1
217 235 235
61 73 1
78 198 28
197 235 235
79 142 253
144 169 1
54 204 1
28 209 1
65 190 235
23 60 28
28 137 28
54 233 1
138 254 254
36 91 235
6 172 178
5 45 235
145 192 132
61 155 27
20 169 1
73 158 158
24 229 235
86 107 1
6 27 27
121 187 148
147 254 1
74 221 28
18 223 1
49 99 27
51 57 4
36 78 235
241 256 84
12 81 112
13 193 148
148 240 148
1 87 1
15 27 27
138 186 1
145 191 1
147 197 147
133 253 253
49 96 4
18 40 18
146 187 148
33 185 27
6 237 140
180 255 28
170 255 214
75 201 27
128 235 235
40 95 1
47 96 4
5 114 235
52 88 1
245 252 1
5 243 235
47 230 4
17 251 4
128 211 214
33 135 48
113 115 1
128 138 1
52 124 235
14 145 94
92 191 140
114 239 214
129 232 129
91 212 1
33 251 27
133 199 253
40 94 50
128 241 214
8 62 4
31 96 1
115 170 4
1 139 1
12 213 1
28 247 28
5 210 1
106 142 106
46 131 1
97 173 113
196 235 235
31 112 112
100 235 235
11 108 28
183 214 214
61 145 1
158 227 1
8 106 4
33 62 27
26 151 235
16 25 1
201 211 27
65 253 253
1 48 1
71 251 27
25 32 1
27 59 27
136 179 84
11 74 28
26 127 26
124 178 178
25 28 1
184 193 148
11 91 28
50 187 1
69 116 116
143 227 48
133 163 4
29 99 1
34 241 186
90 93 1
83 115 235
12 15 1
1 146 1
38 99 1
24 158 1
64 245 1
116 189 235
68 181 176
30 120 27
130 209 50
148 254 254
119 255 235
110 218 50
90 199 1
4 96 4
109 214 214
162 227 1
93 176 1
83 142 235
52 149 149
77 122 253
116 127 235
148 224 1
93 159 1
30 171 1
51 221 84
96 129 27
28 173 1
57 213 27
58 126 28
131 211 147
162 190 1
76 255 1
242 248 248
122 181 176
173 252 148
1 103 1
15 118 1
4 91 4
17 216 1
171 226 1
174 198 1
84 127 235
177 235 235
144 209 94
16 116 27
44 74 4
115 185 253
13 176 1
234 253 253
120 187 1
105 145 1
17 207 4
180 252 1
246 255 27
21 162 1
67 126 1
61 254 1
1 108 1
112 204 112
1 246 1
38 193 254
97 243 1
1 100 1
4 147 4
182 186 27
36 85 235
75 106 176
47 183 198
99 235 235
9 131 131
152 188 27
154 172 235
58 255 255
85 97 1
136 183 214
70 111 1
149 234 235
1 51 1
88 95 148
14 216 1
37 71 27
99 143 48
109 111 27
2 23 1
19 200 235
50 185 1
102 141 235
146 230 1
20 212 148
80 236 1
22 54 149
98 202 4
100 181 4
142 149 235
32 66 148
207 232 27
56 223 1
103 152 152
81 124 1
35 40 50
99 250 27
84 119 235
100 184 1
165 193 167
209 244 1
46 133 1
1 26 1
59 159 1
213 246 27
118 150 70
17 90 1
62 160 4
94 98 1
102 107 1
1 75 1
22 253 235
67 112 254
21 43 112
158 162 40
27 47 27
83 166 149
19 153 1
49 245 253
75 108 4
28 197 28
56 70 1
136 255 214
47 118 1
109 224 186
24 119 149
45 225 1
113 254 254
4 230 4
47 198 198
214 219 1
152 205 1
96 229 4
148 225 148
39 57 235
10 115 4
2 150 1
18 25 50
4 179 4
5 142 235
80 220 1
40 171 50
15 232 27
96 159 1
98 246 27
60 84 84
67 227 1
11 169 177
1 15 1
179 239 84
27 243 27
197 214 214
153 248 1
171 200 1
31 111 1
35 100 1
147 206 28
37 74 27
162 208 1
25 248 50
93 118 1
67 160 1
163 237 27
1 191 1
64 82 112
25 125 1
144 190 1
81 192 1
37 45 45
27 64 1
15 230 4
47 235 235
14 239 1
19 83 235
181 218 1
46 162 1
7 37 45
119 134 1
34 187 1
51 211 84
28 117 28
140 204 1
20 171 1
122 151 27
176 230 4
45 129 45
15 213 27
51 255 84
1 256 1
34 162 1
8 217 27
133 243 253
10 74 116
6 215 152
167 212 148
80 178 1
46 228 1
95 183 1
34 91 186
247 251 4
187 194 1
41 211 27
29 244 1
33 89 1
61 124 61
211 249 4
131 239 214
74 78 116
156 171 1
178 215 178
88 121 148
40 158 40
34 224 117
224 232 27
50 219 50
34 128 214
27 196 27
8 75 4
249 255 4
27 45 27
56 236 1
37 88 1
207 209 1
128 163 214
150 215 1
2 111 1
73 207 1
233 248 1
138 150 1
185 210 1
153 227 1
116 120 116
103 121 1
97 148 148
124 166 235
124 186 27
75 176 176
125 206 27
5 57 235
121 253 1
134 164 164
80 95 1
4 194 4
34 226 186
133 255 4
103 161 1
64 147 1
117 193 1
1 245 1
33 151 48
29 43 112
152 171 1
19 249 4
49 229 4
19 118 1
69 120 78
104 223 1
61 237 140
96 246 27
27 177 27
27 172 27
1 27 1
201 235 235
64 253 1
50 192 50
2 209 2
32 227 1
21 84 1
1 41 1
37 235 235
197 219 1
53 252 1
221 235 235
43 120 1
22 166 149
24 137 235
86 159 1
53 110 1
55 183 186
7 184 1
11 69 28
17 156 1
1 38 1
50 256 1
144 145 94
111 205 1
25 195 50
16 203 1
63 172 178
105 117 186
132 151 1
47 226 198
190 235 235
57 134 1
89 173 66
32 210 148
178 234 27
102 171 1
68 234 234
150 199 1
101 236 1
62 245 253
68 182 27
95 100 1
81 256 1
149 244 149
11 49 4
197 255 186
