512 14374
216 444 27
1 430 1
279 417 1
21 82 10
47 375 23
170 264 2
175 430 1
303 483 1
371 480 1
59 236 59
329 345 10
184 416 1
57 114 57
252 394 3
249 382 1
480 487 60
259 469 1
209 225 3
452 485 7
136 138 34
268 288 4
496 505 31
22 356 22
379 383 47
9 289 9
186 501 1
19 312 19
143 411 1
149 427 1
181 303 2
72 74 18
169 170 42
1 129 1
181 426 1
109 112 3
189 343 5
104 505 3
5 177 5
140 286 35
3 300 1
87 344 43
78 198 1
4 19 4
13 426 13
239 302 1
89 102 1
47 391 1
160 460 1
218 498 3
243 415 3
145 312 9
104 133 1
229 460 57
318 491 1
128 302 4
64 115 1
159 248 1
82 328 82
301 409 1
79 147 9
52 211 52
113 195 3
152 317 19
99 366 1
216 233 3
47 453 1
108 252 3
15 61 15
234 453 14
245 484 30
110 437 27
4 307 4
1 147 1
6 396 6
131 271 16
28 448 28
211 420 105
29 67 1
31 478 7
62 253 31
388 418 6
56 203 3
206 401 25
94 359 11
75 281 4
23 94 23
61 464 7
34 148 4
380 406 1
209 418 209
6 196 6
434 443 27
1 492 1
54 441 27
17 478 1
494 495 247
228 453 28
64 86 2
510 511 255
61 491 61
341 347 21
210 325 1
323 326 40
273 283 17
57 62 7
258 480 1
12 398 12
3 414 3
146 431 1
262 489 1
81 179 5
68 308 4
21 173 21
35 411 1
50 253 3
327 332 20
80 84 10
320 361 5
200 394 12
388 390 97
256 477 1
214 424 53
228 357 1
184 189 23
3 473 3
50 178 1
50 114 3
336 340 42
166 223 1
63 429 3
161 472 1
174 348 174
335 411 1
348 435 1
337 338 84
314 319 39
45 315 2
38 152 38
507 509 63
12 394 12
371 382 23
431 446 13
320 322 80
160 333 20
144 151 18
109 476 3
269 275 8
231 461 115
242 350 1
117 412 3
32 258 32
360 459 1
141 292 4
399 469 3
17 298 4
49 323 1
277 512 8
191 352 11
357 434 1
452 455 113
10 430 1
105 422 105
166 332 166
395 481 3
2 128 2
242 497 15
190 380 190
434 435 217
18 144 18
324 334 20
326 388 1
3 105 3
242 280 1
152 305 152
19 419 1
45 359 22
120 240 120
200 370 1
1 342 1
204 207 51
31 61 15
5 83 5
