512 27227
349 455 304
218 473 302
236 339 339
123 369 123
302 495 302
137 246 275
252 258 37
236 458 458
65 213 68
336 504 81
14 97 14
203 279 288
232 444 368
78 262 405
379 507 379
232 351 259
189 206 206
55 503 53
162 420 375
181 247 442
56 380 445
289 291 111
16 235 16
187 230 230
216 298 69
63 445 63
3 493 493
25 187 187
10 508 10
192 230 230
281 416 270
298 487 170
299 346 132
53 244 244
51 415 14
301 449 391
423 467 235
333 466 327
47 163 16
169 307 307
128 208 128
199 469 510
388 462 388
9 290 166
136 334 420
40 98 40
397 420 193
19 499 207
139 445 145
257 305 172
153 230 230
94 359 140
21 349 21
153 248 248
241 342 479
271 354 271
126 133 133
179 508 460
168 183 183
147 282 282
98 304 98
26 336 81
18 384 6
26 52 146
319 443 346
65 260 68
158 481 158
10 156 34
68 447 68
316 509 228
196 348 40
162 381 244
131 160 31
228 311 228
354 372 372
13 241 115
78 241 405
142 201 59
273 428 338
184 271 271
237 406 237
14 464 14
39 465 45
317 455 321
261 286 262
106 392 118
97 189 28
60 468 468
161 300 161
52 154 146
264 326 113
105 313 100
169 218 302
160 449 7
160 169 280
373 500 373
41 377 41
127 243 322
357 371 389
169 444 280
78 236 405
146 393 146
191 488 458
106 380 252
84 115 1
34 231 34
326 462 113
17 43 99
176 471 47
249 315 470
151 155 155
9 169 280
238 338 335
339 365 339
70 391 391
455 480 63
154 454 245
394 499 158
58 265 58
147 422 202
256 343 495
118 167 239
239 493 493
39 438 418
100 113 100
308 487 487
78 430 405
80 207 207
168 209 226
201 225 59
268 380 92
14 481 14
140 250 18
10 289 10
189 210 28
137 149 275
7 162 375
245 491 245
303 464 278
9 316 228
65 495 68
109 433 264
146 187 146
135 404 88
195 356 331
122 126 210
31 389 31
247 347 188
200 414 308
449 480 142
44 288 288
150 332 150
60 159 57
414 441 414
28 307 28
178 425 501
119 159 57
361 442 361
143 148 150
272 314 314
365 407 358
200 420 308
284 385 227
74 148 215
257 361 361
3 469 510
