512 100000
293 467 1
126 467 1
444 467 1
385 467 1
467 505 1
379 467 1
467 503 1
231 467 1
101 467 1
442 467 1
230 467 1
226 467 1
310 467 1
439 467 1
9 467 1
92 467 1
33 467 1
236 467 1
404 467 1
467 497 1
455 467 1
130 467 1
467 494 1
197 467 1
237 467 1
393 467 1
313 467 1
451 467 1
272 467 1
407 467 1
467 501 1
406 467 1
364 467 1
467 479 1
323 467 1
460 467 1
198 467 1
467 489 1
8 467 1
467 491 1
42 467 1
2 467 1
143 467 1
374 467 1
87 467 1
400 467 1
453 467 1
296 467 1
292 467 1
417 467 1
397 467 1
199 467 1
164 467 1
372 467 1
63 467 1
95 467 1
434 467 1
446 467 1
467 511 1
384 467 1
467 512 1
167 467 1
341 467 1
26 467 1
74 467 1
467 506 1
154 467 1
402 467 1
410 467 1
462 467 1
15 467 1
340 467 1
62 467 1
13 467 1
373 467 1
208 467 1
119 467 1
246 467 1
133 467 1
357 467 1
450 467 1
467 477 1
467 472 1
334 467 1
287 467 1
467 483 1
419 467 1
29 467 1
380 467 1
135 467 1
413 467 1
319 467 1
356 467 1
91 467 1
108 467 1
40 467 1
217 467 1
10 467 1
221 467 1
104 467 1
153 467 1
350 467 1
137 467 1
425 467 1
38 467 1
178 467 1
179 467 1
31 467 1
269 467 1
238 467 1
6 467 1
264 467 1
262 467 1
371 467 1
159 467 1
160 467 1
187 467 1
422 467 1
360 467 1
320 467 1
325 467 1
435 467 1
210 467 1
256 467 1
438 467 1
69 467 1
298 467 1
430 467 1
245 467 1
17 467 1
239 467 1
46 467 1
346 467 1
174 467 1
71 467 1
276 467 1
25 467 1
90 467 1
85 467 1
275 467 1
78 467 1
421 467 1
180 467 1
428 467 1
290 467 1
233 467 1
94 467 1
123 467 1
99 467 1
220 467 1
265 467 1
207 467 1
193 467 1
150 467 1
286 467 1
24 467 1
467 492 1
306 467 1
190 467 1
467 504 1
139 467 1
100 467 1
259 467 1
401 467 1
86 467 1
122 467 1
258 467 1
148 467 1
53 467 1
66 467 1
129 467 1
392 467 1
387 467 1
426 467 1
77 467 1
48 467 1
134 467 1
285 467 1
165 467 1
394 467 1
295 467 1
441 467 1
205 467 1
116 467 1
337 467 1
203 467 1
378 467 1
43 467 1
289 467 1
97 467 1
131 467 1
432 467 1
467 478 1
467 485 1
118 467 1
328 467 1
75 467 1
93 467 1
