256 10881
176 245 163
245 248 163
48 245 163
144 245 163
121 245 163
206 245 163
128 245 163
77 245 163
79 245 163
175 245 163
217 245 163
69 245 163
62 245 163
162 245 163
222 245 163
195 245 163
197 245 163
108 245 163
235 245 163
63 245 163
165 245 163
72 245 163
66 245 163
215 245 163
155 245 163
5 245 163
26 245 163
174 245 163
214 245 163
238 245 163
74 245 163
168 245 163
154 245 163
52 245 163
101 245 163
107 245 163
146 245 163
68 245 163
14 245 163
245 255 163
86 245 163
54 245 163
117 245 163
229 245 163
132 245 163
17 245 163
87 245 163
129 245 163
44 245 163
94 245 163
183 245 163
8 245 163
25 245 163
124 245 163
145 245 163
241 245 163
76 245 163
207 245 163
24 245 163
22 245 163
41 245 163
29 245 163
193 245 163
245 252 163
71 245 163
100 245 163
147 245 163
237 245 163
135 245 163
158 245 163
97 245 163
125 245 163
178 245 163
216 245 163
119 245 163
225 245 163
209 245 163
226 245 163
12 245 163
191 245 163
188 245 163
221 245 163
181 245 163
232 245 163
45 245 163
176 248 163
48 176 163
144 176 163
121 176 163
176 206 163
128 176 163
77 176 163
79 176 163
175 176 163
176 217 163
69 176 163
62 176 163
162 176 163
176 222 163
176 195 163
176 197 163
108 176 163
176 235 163
63 176 163
165 176 163
72 176 163
66 176 163
176 215 163
155 176 163
5 176 163
26 176 163
174 176 163
176 214 163
176 238 163
74 176 163
168 176 163
154 176 163
52 176 163
101 176 163
107 176 163
146 176 163
68 176 163
14 176 163
176 255 163
86 176 163
54 176 163
117 176 163
176 229 163
132 176 163
17 176 163
87 176 163
129 176 163
44 176 163
94 176 163
176 183 163
8 176 163
25 176 163
124 176 163
145 176 163
176 241 163
76 176 163
176 207 163
24 176 163
22 176 163
41 176 163
29 176 163
176 193 163
176 252 163
71 176 163
100 176 163
147 176 163
176 237 163
135 176 163
158 176 163
97 176 163
125 176 163
176 178 163
176 216 163
119 176 163
176 225 163
176 209 163
176 226 163
12 176 163
176 191 163
176 188 163
176 221 163
176 181 163
176 232 163
45 176 163
48 248 163
144 248 163
121 248 163
206 248 163
128 248 163
77 248 163
79 248 163
175 248 163
217 248 163
69 248 163
62 248 163
162 248 163
222 248 163
195 248 163
197 248 163
108 248 163
235 248 163
63 248 163
165 248 163
72 248 163
66 248 163
215 248 163
155 248 163
5 248 163
26 248 163
174 248 163
214 248 163
238 248 163
74 248 163
168 248 163
154 248 163
52 248 163
101 248 163
107 248 163
146 248 163
68 248 163
14 248 163
248 255 163
86 248 163
54 248 163
117 248 163
229 248 163
132 248 163
17 248 163
87 248 163
129 248 163
44 248 163
94 248 163
183 248 163
8 248 163
25 248 163
124 248 163
145 248 163
241 248 163
76 248 163
207 248 163
24 248 163
22 248 163
41 248 163
29 248 163
193 248 163
248 252 163
71 248 163
100 248 163
147 248 163
237 248 163
135 248 163
158 248 163
97 248 163
125 248 163
178 248 163
216 248 163
119 248 163
225 248 163
209 248 163
226 248 163
12 248 163
191 248 163
188 248 163
221 248 163
181 248 163
232 248 163
45 248 163
48 144 163
48 121 163
48 206 163
48 128 163
48 77 163
48 79 163
48 175 163
48 217 163
48 69 163
48 62 163
48 162 163
48 222 163
48 195 163
48 197 163
48 108 163
48 235 163
48 63 163
48 165 163
48 72 163
48 66 163
48 215 163
48 155 163
5 48 163
26 48 163
48 174 163
48 214 163
48 238 163
48 74 163
48 168 163
48 154 163
48 52 163
48 101 163
48 107 163
48 146 163
48 68 163
14 48 163
48 255 163
48 86 163
48 54 163
48 117 163
48 229 163
48 132 163
17 48 163
48 87 163
48 129 163
44 48 163
48 94 163
48 183 163
8 48 163
25 48 163
48 124 163
48 145 163
48 241 163
48 76 163
48 207 163
24 48 163
22 48 163
41 48 163
29 48 163
48 193 163
48 252 163
48 71 163
48 100 163
48 147 163
48 237 163
48 135 163
48 158 163
48 97 163
48 125 163
48 178 163
48 216 163
48 119 163
48 225 163
48 209 163
48 226 163
12 48 163
48 191 163
48 188 163
48 221 163
48 181 163
48 232 163
45 48 163
121 144 163
144 206 163
128 144 163
77 144 163
79 144 163
144 175 163
144 217 163
69 144 163
62 144 163
144 162 163
144 222 163
144 195 163
144 197 163
108 144 163
144 235 163
63 144 163
144 165 163
72 144 163
66 144 163
144 215 163
144 155 163
5 144 163
26 144 163
144 174 163
144 214 163
144 238 163
74 144 163
144 168 163
144 154 163
52 144 163
101 144 163
107 144 163
144 146 163
68 144 163
14 144 163
144 255 163
86 144 163
54 144 163
117 144 163
144 229 163
132 144 163
17 144 163
87 144 163
129 144 163
44 144 163
94 144 163
144 183 163
8 144 163
25 144 163
124 144 163
144 145 163
144 241 163
76 144 163
144 207 163
24 144 163
22 144 163
41 144 163
29 144 163
144 193 163
144 252 163
71 144 163
100 144 163
144 147 163
144 237 163
135 144 163
144 158 163
97 144 163
125 144 163
144 178 163
144 216 163
119 144 163
144 225 163
144 209 163
144 226 163
12 144 163
144 191 163
144 188 163
144 221 163
144 181 163
144 232 163
45 144 163
121 206 163
121 128 163
77 121 163
79 121 163
121 175 163
121 217 163
69 121 163
62 121 163
121 162 163
121 222 163
121 195 163
121 197 163
108 121 163
121 235 163
63 121 163
121 165 163
72 121 163
66 121 163
121 215 163
121 155 163
5 121 163
26 121 163
121 174 163
121 214 163
121 238 163
74 121 163
121 168 163
121 154 163
52 121 163
101 121 163
107 121 163
121 146 163
68 121 163
14 121 163
121 255 163
86 121 163
54 121 163
117 121 163
121 229 163
121 132 163
17 121 163
87 121 163
121 129 163
44 121 163
94 121 163
121 183 163
8 121 163
25 121 163
121 124 163
121 145 163
121 241 163
76 121 163
121 207 163
24 121 163
22 121 163
41 121 163
29 121 163
121 193 163
121 252 163
71 121 163
100 121 163
121 147 163
121 237 163
121 135 163
121 158 163
97 121 163
121 125 163
121 178 163
121 216 163
119 121 163
121 225 163
121 209 163
121 226 163
12 121 163
121 191 163
121 188 163
121 221 163
121 181 163
121 232 163
45 121 163
128 206 163
77 206 163
79 206 163
175 206 163
206 217 163
69 206 163
62 206 163
162 206 163
206 222 163
195 206 163
197 206 163
108 206 163
206 235 163
63 206 163
165 206 163
72 206 163
66 206 163
206 215 163
155 206 163
5 206 163
26 206 163
174 206 163
206 214 163
206 238 163
74 206 163
168 206 163
154 206 163
52 206 163
101 206 163
107 206 163
146 206 163
68 206 163
14 206 163
206 255 163
86 206 163
54 206 163
117 206 163
206 229 163
132 206 163
17 206 163
87 206 163
129 206 163
44 206 163
94 206 163
183 206 163
8 206 163
25 206 163
124 206 163
145 206 163
206 241 163
76 206 163
206 207 163
24 206 163
22 206 163
41 206 163
29 206 163
193 206 163
206 252 163
71 206 163
100 206 163
147 206 163
206 237 163
135 206 163
158 206 163
97 206 163
125 206 163
178 206 163
206 216 163
119 206 163
206 225 163
206 209 163
206 226 163
12 206 163
191 206 163
188 206 163
206 221 163
181 206 163
206 232 163
45 206 163
77 128 163
79 128 163
128 175 163
128 217 163
69 128 163
62 128 163
128 162 163
128 222 163
128 195 163
128 197 163
108 128 163
128 235 163
63 128 163
128 165 163
72 128 163
66 128 163
128 215 163
128 155 163
5 128 163
26 128 163
128 174 163
128 214 163
128 238 163
74 128 163
128 168 163
128 154 163
52 128 163
101 128 163
107 128 163
128 146 163
68 128 163
14 128 163
128 255 163
86 128 163
54 128 163
117 128 163
128 229 163
128 132 163
17 128 163
87 128 163
128 129 163
44 128 163
94 128 163
128 183 163
8 128 163
25 128 163
124 128 163
128 145 163
128 241 163
76 128 163
128 207 163
24 128 163
22 128 163
41 128 163
29 128 163
128 193 163
128 252 163
71 128 163
100 128 163
128 147 163
128 237 163
128 135 163
128 158 163
97 128 163
125 128 163
128 178 163
128 216 163
119 128 163
128 225 163
128 209 163
128 226 163
12 128 163
128 191 163
128 188 163
128 221 163
128 181 163
128 232 163
45 128 163
77 79 163
77 175 163
77 217 163
69 77 163
62 77 163
77 162 163
77 222 163
77 195 163
77 197 163
77 108 163
77 235 163
63 77 163
77 165 163
72 77 163
66 77 163
77 215 163
77 155 163
5 77 163
26 77 163
77 174 163
77 214 163
77 238 163
74 77 163
77 168 163
77 154 163
52 77 163
77 101 163
77 107 163
77 146 163
68 77 163
14 77 163
77 255 163
77 86 163
54 77 163
77 117 163
77 229 163
77 132 163
17 77 163
77 87 163
77 129 163
44 77 163
77 94 163
77 183 163
8 77 163
25 77 163
77 124 163
77 145 163
77 241 163
76 77 163
77 207 163
24 77 163
22 77 163
41 77 163
29 77 163
77 193 163
77 252 163
71 77 163
77 100 163
77 147 163
77 237 163
77 135 163
77 158 163
77 97 163
77 125 163
77 178 163
77 216 163
77 119 163
77 225 163
77 209 163
77 226 163
12 77 163
77 191 163
77 188 163
77 221 163
77 181 163
77 232 163
45 77 163
79 175 163
79 217 163
69 79 163
62 79 163
79 162 163
79 222 163
79 195 163
79 197 163
79 108 163
79 235 163
63 79 163
79 165 163
72 79 163
66 79 163
79 215 163
79 155 163
5 79 163
26 79 163
79 174 163
79 214 163
79 238 163
74 79 163
79 168 163
79 154 163
52 79 163
79 101 163
79 107 163
79 146 163
68 79 163
14 79 163
79 255 163
79 86 163
54 79 163
79 117 163
79 229 163
79 132 163
17 79 163
79 87 163
79 129 163
44 79 163
79 94 163
79 183 163
8 79 163
25 79 163
79 124 163
79 145 163
79 241 163
76 79 163
79 207 163
24 79 163
22 79 163
41 79 163
29 79 163
