1024 91745
120 133 120
144 982 144
154 663 244
664 666 244
768 834 244
464 862 244
242 886 244
36 242 244
589 978 244
577 884 884
127 356 244
968 985 968
146 746 244
65 838 244
628 737 244
242 768 244
158 525 158
240 687 687
677 869 869
274 577 244
574 937 244
53 757 244
147 232 232
156 649 156
176 901 244
489 672 489
138 895 244
316 981 316
258 694 244
403 467 244
427 462 244
243 532 244
550 631 244
226 227 244
145 959 244
248 425 244
381 661 381
613 1003 613
184 207 184
100 201 244
29 942 244
702 1002 244
681 1018 244
666 875 244
11 261 11
371 910 244
14 301 244
320 628 320
649 782 244
24 560 244
823 830 823
201 684 684
145 825 244
375 1022 375
36 886 244
464 514 244
610 717 244
73 282 282
494 580 244
688 946 688
22 510 244
897 927 927
151 564 244
525 771 771
647 998 244
28 450 28
145 872 244
697 882 244
83 242 244
343 571 343
521 758 244
521 564 244
385 898 385
215 309 309
132 837 837
198 613 198
644 798 244
425 950 244
439 532 244
587 747 244
586 856 856
146 569 244
654 802 802
286 783 286
775 864 244
111 871 871
112 463 112
403 1022 244
334 1020 1020
280 692 244
447 976 447
121 898 244
146 737 244
132 871 871
144 887 144
603 947 244
635 875 244
204 365 244
257 480 244
203 738 203
572 624 572
614 847 244
66 480 66
376 557 244
584 620 244
268 909 244
185 942 244
467 813 244
474 521 244
48 515 515
35 503 35
371 1008 1008
557 561 244
403 896 244
104 564 104
689 837 837
84 901 244
54 694 244
68 357 244
417 565 417
37 333 333
357 813 244
110 599 599
594 812 244
210 226 244
582 670 244
422 1007 1007
389 547 244
102 703 703
148 564 148
98 857 857
664 993 244
719 778 244
814 882 244
461 761 244
861 943 244
634 656 634
260 932 244
814 1014 244
894 965 244
568 921 244
138 240 244
24 941 244
46 493 244
108 860 108
559 782 559
700 803 803
757 977 244
256 344 244
30 730 730
588 693 244
129 419 419
94 678 94
261 530 244
249 823 823
151 792 244
565 872 244
30 428 428
614 947 244
496 951 244
601 768 244
276 497 244
95 297 244
697 757 244
138 995 244
125 385 125
167 258 244
96 154 244
582 976 244
83 270 244
350 723 723
348 515 515
478 898 244
243 557 244
242 969 244
818 894 244
275 474 244
255 721 721
30 466 466
379 890 890
258 744 244
888 977 244
250 588 250
601 884 884
271 721 721
127 464 244
822 840 244
768 931 244
110 958 110
95 983 244
531 1012 531
580 951 244
422 642 244
356 993 244
87 763 763
383 949 383
399 663 244
75 119 244
204 589 244
467 778 244
119 563 244
862 967 244
90 340 244
201 693 244
376 943 244
568 757 244
112 753 112
391 567 244
95 127 244
295 620 244
48 416 244
490 595 595
201 463 244
649 769 244
431 1000 244
940 943 244
147 345 147
376 782 244
389 644 244
508 571 571
131 589 131
728 756 244
30 712 712
72 399 72
545 827 545
151 901 244
96 629 244
460 888 244
600 870 600
227 767 244
736 761 244
557 596 244
510 931 244
843 860 244
152 775 244
1019 1022 244
616 757 616
284 302 244
22 83 244
292 408 408
354 658 244
294 460 294
556 945 945
716 1018 244
295 737 244
207 715 715
293 664 244
23 846 244
210 768 244
270 666 244
507 895 244
110 894 110
100 107 244
17 969 244
159 242 244
587 716 244
280 593 244
163 978 244
525 746 244
293 569 244
5 289 289
23 847 244
222 561 244
121 467 244
446 980 446
774 855 774
225 549 225
322 694 244
132 227 132
632 681 244
44 119 244
202 498 244
841 905 244
217 569 217
574 976 244
758 924 244
17 594 244
83 560 244
480 758 244
873 910 244
33 983 244
10 33 10
54 563 244
381 669 381
769 935 244
107 564 244
124 319 319
143 802 143
882 952 952
564 703 703
545 1004 1004
601 1010 244
124 890 124
52 361 52
293 692 244
425 864 244
204 514 244
62 193 62
242 493 244
310 425 244
86 1011 1011
36 484 244
476 636 476
163 767 244
544 550 244
86 98 244
111 843 244
693 926 926
23 567 244
145 873 244
254 657 254
150 847 244
199 808 808
155 923 923
577 647 244
698 715 715
91 206 91
154 941 244
210 820 820
297 701 244
14 977 244
297 825 244
201 332 244
670 697 244
257 493 244
303 950 303
354 702 244
582 1017 1017
281 688 688
497 822 244
303 535 303
275 888 244
73 365 73
798 827 244
399 758 244
387 826 826
282 930 930
382 841 244
40 790 790
562 808 808
17 43 244
341 512 341
670 825 244
46 478 244
587 647 244
409 860 244
25 1014 244
439 568 244
243 940 244
655 800 800
98 510 244
238 1000 238
460 759 244
148 743 743
537 584 244
435 722 722
355 412 412
222 694 244
681 909 244
628 710 244
792 931 244
75 686 244
710 1018 244
388 456 456
17 450 450
274 983 244
361 602 602
707 940 244
287 574 244
496 710 244
755 838 755
296 337 296
574 899 244
204 666 244
230 575 575
152 700 244
295 478 244
825 980 244
353 639 353
569 886 244
580 767 244
344 804 804
422 716 244
830 841 244
111 396 244
357 978 244
510 913 913
314 875 314
321 444 321
138 860 244
467 818 244
621 965 244
758 942 244
159 879 244
310 594 244
424 713 713
582 782 244
33 932 244
317 332 244
445 567 244
443 707 244
52 143 52
245 966 245
324 864 244
505 620 244
561 951 244
573 747 244
44 931 244
162 802 162
139 306 139
642 888 244
759 848 244
829 1013 829
275 324 244
563 626 244
694 1019 244
588 937 244
96 496 244
467 478 244
669 718 244
420 990 990
588 617 244
501 518 244
98 889 889
367 611 611
51 559 559
25 268 244
30 513 513
96 567 244
390 709 709
377 1018 244
498 532 244
697 767 244
504 882 244
685 895 244
46 64 244
151 168 168
621 632 244
512 667 667
642 812 244
214 548 548
301 332 244
144 358 358
68 686 244
882 895 244
874 967 874
778 931 244
152 877 244
226 799 799
283 1017 1017
642 944 244
226 692 244
83 589 244
860 905 244
155 1024 244
248 439 244
322 935 244
501 692 244
861 950 244
292 719 244
680 993 680
461 956 244
65 340 244
173 432 432
171 354 244
159 617 244
376 389 244
899 1022 244
747 935 244
121 944 244
210 438 438
573 864 244
507 587 244
25 276 244
248 758 244
378 971 378
692 813 244
636 848 244
935 1014 244
202 862 244
693 737 244
169 699 699
53 557 244
198 861 198
240 405 405
989 1009 989
258 1018 244
329 999 329
19 108 108
484 726 244
95 130 130
559 723 559
301 1018 244
544 1018 244
86 940 244
512 861 244
120 217 120
163 584 244
15 995 15
273 487 273
248 899 244
494 881 244
421 517 421
614 620 244
285 582 285
629 849 244
845 910 845
155 681 244
265 882 265
208 1010 244
297 644 244
187 582 244
563 843 244
309 319 309
185 997 997
518 707 244
757 969 244
644 752 244
272 661 661
310 603 244
46 957 244
685 834 244
115 371 115
401 403 244
161 711 161
425 782 244
573 905 244
204 509 244
422 629 244
377 631 244
896 1002 244
822 969 244
130 1023 130
899 980 244
82 1019 244
141 442 442
221 454 221
424 755 755
882 1002 244
9 295 244
230 670 244
15 546 15
293 897 244
315 345 315
59 619 619
227 962 962
98 702 244
95 270 244
584 953 244
510 827 244
65 83 244
614 965 244
895 940 244
921 1010 244
248 838 244
883 889 883
28 758 28
965 1022 244
637 726 244
691 749 691
678 932 678
561 978 244
435 631 244
614 775 244
600 725 600
309 908 309
678 941 678
512 973 973
86 792 244
445 860 244
520 680 680
580 899 244
17 336 244
847 931 244
114 254 114
714 982 714
44 707 244
625 755 755
140 804 140
485 947 485
649 907 907
376 636 244
375 879 375
717 909 244
75 464 244
255 499 255
208 382 244
610 775 244
359 857 857
376 825 244
447 795 447
30 899 244
283 377 283
373 796 244
122 446 122
280 601 244
456 736 456
707 897 244
516 865 516
145 539 539
744 827 244
439 493 244
643 649 643
14 462 244
589 798 244
877 895 244
467 715 715
671 721 721
155 991 991
134 165 165
184 561 184
6 377 244
128 1002 244
574 769 244
254 286 286
302 792 244
626 655 244
846 921 244
266 711 244
707 975 244
322 956 244
247 901 244
467 798 244
50 596 244
387 668 387
376 663 244
511 736 511
443 601 244
619 667 619
767 782 244
344 840 244
512 812 244
204 773 773
243 711 244
214 393 393
187 462 244
778 895 244
622 676 622
514 550 244
589 983 244
530 901 244
342 677 677
379 614 244
416 882 244
501 1014 244
377 610 244
80 473 473
384 674 674
54 833 244
382 969 244
118 1007 1007
268 645 244
146 995 244
322 324 244
240 374 374
155 483 483
401 718 244
730 835 835
233 953 244
30 842 842
36 951 244
537 666 244
23 1002 244
147 638 147
50 230 244
152 814 244
27 854 854
677 850 677
167 707 244
504 757 244
507 937 244
187 1019 244
403 711 244
550 593 244
537 628 244
367 886 244
480 756 244
84 357 244
111 818 244
302 614 244
416 921 244
24 202 244
562 763 763
551 575 551
3 663 244
161 667 667
163 864 244
344 872 244
44 569 244
276 817 817
559 859 859
107 569 244
167 336 244
371 1000 244
305 529 529
396 827 244
486 848 486
431 564 244
710 840 244
465 970 970
729 956 729
409 894 244
64 208 244
171 805 244
304 637 304
118 522 118
569 953 244
949 1019 949
350 852 350
564 747 244
888 960 960
163 700 244
382 593 244
664 935 244
250 402 402
14 550 244
456 822 456
744 976 244
273 773 273
104 286 286
598 765 765
478 951 244
152 337 337
396 663 244
594 838 244
339 648 648
514 792 244
89 678 678
187 336 244
532 666 244
191 1017 1017
376 585 585
454 656 656
17 314 314
301 559 559
159 805 244
75 152 244
178 539 178
72 310 72
501 841 244
325 965 325
88 639 88
596 879 244
248 768 244
253 689 253
258 872 244
111 775 244
65 518 244
557 822 244
894 943 244
