1024 59324
88 798 88
272 400 272
508 582 70
427 907 395
157 517 5
354 1019 354
314 869 314
531 790 19
484 616 104
231 626 114
65 104 65
53 292 53
490 580 68
8 724 8
723 885 211
414 498 414
270 657 145
920 974 408
331 556 44
362 388 362
729 1008 217
772 903 260
86 930 86
841 877 329
277 618 106
985 993 473
79 92 79
718 1017 206
28 778 28
613 633 101
134 777 134
478 837 325
354 820 308
889 942 377
455 856 344
702 929 190
756 786 244
500 592 80
556 631 44
436 847 335
508 859 347
133 537 25
907 916 395
60 616 60
485 970 458
638 940 126
266 388 266
192 511 192
158 660 148
893 987 381
644 808 132
866 909 354
601 905 89
504 790 278
390 856 344
715 856 203
415 564 52
248 502 248
829 960 317
231 406 231
385 498 385
473 720 208
508 679 167
888 937 376
414 904 392
473 980 468
194 807 194
493 823 311
512 936 424
84 487 84
167 221 167
1018 1023 506
761 909 249
364 719 207
656 923 144
850 939 338
499 867 355
439 552 40
264 802 264
748 873 236
89 691 89
194 788 194
332 892 332
375 834 322
685 869 173
533 874 21
419 425 419
256 273 256
432 548 36
630 693 118
380 836 324
286 637 125
71 717 71
868 999 356
111 414 111
25 552 25
526 715 14
703 775 191
711 835 199
733 889 221
615 696 103
225 787 225
208 503 208
681 765 169
92 104 92
347 756 244
512 1021 509
453 851 339
565 708 53
642 939 130
664 985 152
141 743 141
719 771 207
684 828 172
473 948 436
572 938 60
359 764 252
230 251 230
840 1024 328
429 729 217
333 528 16
172 794 172
547 746 35
617 909 105
373 785 273
445 695 183
275 612 100
142 193 142
109 147 109
244 749 237
102 685 102
630 775 118
931 1009 419
306 760 248
403 745 233
39 787 39
426 912 400
65 408 65
323 636 124
63 774 63
443 901 389
540 757 28
301 702 190
88 833 88
460 964 452
848 868 336
441 927 415
424 484 424
18 635 18
496 974 462
360 864 352
893 896 381
648 822 136
504 999 487
960 1007 448
274 640 128
199 852 199
466 673 161
376 438 376
43 592 43
308 645 133
327 906 327
387 623 111
497 731 219
469 903 391
408 753 241
335 737 225
103 771 103
26 242 26
13 762 13
382 558 46
5 30 5
17 51 17
445 538 26
375 578 66
327 698 186
470 882 370
325 650 138
361 959 361
417 614 102
802 969 290
673 1024 161
791 977 279
291 425 291
347 624 112
248 554 42
16 881 16
39 617 39
460 962 450
226 295 226
869 940 357
719 984 207
4 716 4
322 707 195
983 998 471
249 1010 249
293 656 144
115 815 115
791 998 279
233 622 110
752 885 240
418 1023 418
