64 2016
1 38 1
38 44 38
44 58 44
58 60 58
25 60 60
25 31 25
31 56 31
56 64 56
50 64 64
42 50 50
42 46 42
27 46 46
27 54 27
40 54 54
4 40 40
4 51 4
41 51 51
13 41 41
13 26 13
17 26 26
17 61 17
30 61 61
30 34 30
34 49 34
49 57 49
36 57 57
5 36 36
5 39 5
10 39 39
10 15 10
15 24 15
24 37 24
12 37 37
11 12 12
11 45 11
7 45 45
7 8 7
8 18 8
18 33 18
22 33 33
22 53 22
29 53 53
29 43 29
43 62 43
55 62 62
6 55 55
6 35 6
19 35 35
16 19 19
2 16 16
2 9 2
9 28 9
23 28 28
21 23 23
14 21 21
14 47 14
47 59 47
59 63 59
52 63 63
3 52 52
3 32 3
20 32 32
20 48 20
1 44 1
38 58 38
44 60 44
25 58 58
31 60 60
25 56 25
31 64 31
50 56 56
42 64 64
46 50 50
27 42 42
46 54 46
27 40 27
4 54 54
40 51 40
4 41 4
13 51 51
26 41 41
13 17 13
26 61 26
17 30 17
34 61 61
30 49 30
34 57 34
36 49 49
5 57 57
36 39 36
5 10 5
15 39 39
10 24 10
15 37 15
12 24 24
11 37 37
12 45 12
7 11 11
8 45 45
7 18 7
8 33 8
18 22 18
33 53 33
22 29 22
43 53 53
29 62 29
43 55 43
6 62 62
35 55 55
6 19 6
16 35 35
2 19 19
9 16 16
2 28 2
9 23 9
21 28 28
14 23 23
21 47 21
14 59 14
47 63 47
52 59 59
3 63 63
32 52 52
3 20 3
32 48 32
1 60 1
25 38 38
31 44 44
56 58 58
60 64 60
25 50 25
31 42 31
46 56 56
27 64 64
50 54 50
40 42 42
4 46 46
27 51 27
41 54 54
13 40 40
4 26 4
17 51 51
41 61 41
13 30 13
26 34 26
17 49 17
57 61 61
30 36 30
5 34 34
39 49 49
10 57 57
15 36 36
5 24 5
37 39 39
10 12 10
11 15 15
24 45 24
7 37 37
8 12 12
11 18 11
33 45 45
7 22 7
8 53 8
18 29 18
33 43 33
22 62 22
53 55 53
6 29 29
35 43 43
19 62 62
16 55 55
2 6 6
9 35 35
19 28 19
16 23 16
2 21 2
9 14 9
28 47 28
23 59 23
21 63 21
14 52 14
3 47 47
32 59 59
20 63 63
48 52 52
1 64 1
38 50 38
42 44 44
46 58 58
27 60 60
25 54 25
31 40 31
4 56 56
51 64 64
41 50 50
13 42 42
26 46 46
17 27 27
54 61 54
30 40 40
4 34 4
49 51 51
41 57 41
13 36 13
5 26 26
17 39 17
10 61 61
15 30 30
24 34 34
37 49 49
12 57 57
11 36 36
5 45 5
7 39 39
8 10 10
15 18 15
24 33 24
22 37 37
12 53 12
11 29 11
43 45 45
7 62 7
8 55 8
6 18 18
33 35 33
19 22 22
16 53 53
2 29 29
9 43 43
28 62 62
23 55 55
6 21 6
14 35 35
19 47 19
16 59 16
2 63 2
9 52 9
3 28 28
23 32 23
20 21 21
14 48 14
1 51 1
38 41 38
13 44 44
26 58 58
17 60 60
25 61 25
30 31 31
34 56 56
49 64 64
50 57 50
36 42 42
5 46 46
27 39 27
10 54 54
15 40 40
4 24 4
37 51 51
12 41 41
11 13 13
26 45 26
7 17 17
8 61 61
18 30 30
33 34 34
22 49 49
53 57 57
29 36 36
5 43 5
39 62 39
10 55 10
6 15 15
24 35 24
19 37 37
12 16 12
2 11 11
9 45 45
7 28 7
8 23 8
18 21 18
14 33 33
22 47 22
53 59 53
29 63 29
43 52 43
3 62 62
32 55 55
6 20 6
35 48 35
1 37 1
12 38 38
11 44 44
45 58 58
7 60 60
8 25 25
18 31 31
33 56 56
22 64 64
50 53 50
29 42 42
43 46 46
27 62 27
54 55 54
6 40 40
4 35 4
19 51 51
16 41 41
2 13 13
9 26 26
17 28 17
23 61 61
21 30 30
14 34 34
47 49 49
57 59 57
36 63 36
5 52 5
3 39 39
10 32 10
15 20 15
24 48 24
1 58 1
38 60 38
25 44 44
31 58 58
56 60 60
25 64 25
31 50 31
42 56 56
46 64 64
27 50 50
42 54 42
40 46 46
4 27 27
51 54 54
40 41 40
4 13 4
26 51 51
17 41 41
13 61 13
26 30 26
17 34 17
49 61 61
30 57 30
34 36 34
5 49 49
39 57 57
10 36 36
5 15 5
24 39 39
10 37 10
12 15 15
11 24 24
37 45 37
7 12 12
8 11 11
18 45 45
7 33 7
8 22 8
18 53 18
29 33 33
22 43 22
53 62 53
29 55 29
6 43 43
35 62 62
19 55 55
6 16 6
2 35 35
9 19 19
16 28 16
2 23 2
9 21 9
14 28 28
23 47 23
21 59 21
14 63 14
47 52 47
3 59 59
32 63 63
20 52 52
3 48 3
1 25 1
31 38 38
44 56 44
58 64 58
50 60 60
25 42 25
31 46 31
27 56 56
54 64 64
40 50 50
4 42 42
46 51 46
27 41 27
13 54 54
26 40 40
4 17 4
51 61 51
30 41 41
13 34 13
26 49 26
17 57 17
36 61 61
5 30 30
34 39 34
10 49 49
15 57 57
24 36 36
5 37 5
12 39 39
10 11 10
15 45 15
7 24 24
8 37 37
12 18 12
11 33 11
22 45 45
7 53 7
8 29 8
18 43 18
33 62 33
22 55 22
6 53 53
29 35 29
19 43 43
16 62 62
2 55 55
6 9 6
28 35 35
19 23 19
16 21 16
2 14 2
9 47 9
28 59 28
23 63 23
21 52 21
3 14 14
32 47 47
20 59 59
48 63 63
1 56 1
38 64 38
44 50 44
42 58 58
46 60 60
25 27 25
31 54 31
40 56 56
4 64 64
50 51 50
41 42 42
13 46 46
26 27 27
17 54 54
40 61 40
4 30 4
34 51 51
41 49 41
13 57 13
26 36 26
5 17 17
39 61 61
10 30 30
15 34 34
24 49 49
37 57 57
12 36 36
5 11 5
39 45 39
7 10 10
8 15 15
18 24 24
33 37 37
12 22 12
11 53 11
29 45 45
7 43 7
8 62 8
18 55 18
6 33 33
22 35 22
19 53 53
16 29 29
2 43 43
9 62 62
28 55 55
6 23 6
21 35 35
14 19 19
16 47 16
2 59 2
9 63 9
28 52 28
3 23 23
21 32 21
14 20 14
47 48 47
1 46 1
27 38 38
44 54 44
40 58 58
4 60 60
25 51 25
31 41 31
13 56 56
26 64 64
17 50 50
42 61 42
30 46 46
27 34 27
49 54 54
40 57 40
4 36 4
5 51 51
39 41 41
10 13 13
15 26 26
17 24 17
37 61 61
12 30 30
11 34 34
45 49 49
7 57 57
8 36 36
5 18 5
33 39 39
10 22 10
15 53 15
24 29 24
37 43 37
12 62 12
11 55 11
6 45 45
7 35 7
8 19 8
16 18 18
2 33 33
9 22 22
28 53 53
23 29 29
21 43 43
14 62 62
47 55 55
6 59 6
35 63 35
19 52 19
3 16 16
2 32 2
9 20 9
28 48 28
1 41 1
13 38 38
26 44 44
17 58 58
60 61 60
25 30 25
31 34 31
49 56 56
57 64 64
36 50 50
5 42 42
39 46 46
10 27 27
15 54 54
24 40 40
4 37 4
12 51 51
11 41 41
13 45 13
7 26 26
8 17 17
18 61 61
30 33 30
22 34 34
49 53 49
29 57 57
36 43 36
5 62 5
39 55 39
6 10 10
15 35 15
19 24 24
16 37 37
2 12 12
9 11 11
28 45 45
7 23 7
8 21 8
14 18 18
33 47 33
22 59 22
53 63 53
29 52 29
3 43 43
32 62 62
20 55 55
6 48 6
1 24 1
37 38 38
12 44 44
11 58 58
45 60 60
7 25 25
8 31 31
18 56 56
33 64 64
22 50 50
42 53 42
29 46 46
27 43 27
54 62 54
40 55 40
4 6 4
35 51 51
19 41 41
13 16 13
2 26 26
9 17 17
28 61 61
23 30 30
21 34 34
14 49 49
47 57 57
36 59 36
5 63 5
39 52 39
3 10 10
15 32 15
20 24 24
37 48 37
1 48 1
1 20 1
1 32 1
1 3 1
1 52 1
1 63 1
1 59 1
1 47 1
1 14 1
1 21 1
1 23 1
1 28 1
1 9 1
1 2 1
1 16 1
1 19 1
1 35 1
1 6 1
1 55 1
1 62 1
1 43 1
1 29 1
1 53 1
1 22 1
1 33 1
1 18 1
1 8 1
1 7 1
1 45 1
1 11 1
1 12 1
1 15 1
1 10 1
1 39 1
1 5 1
1 36 1
1 57 1
1 49 1
1 34 1
1 30 1
1 61 1
1 17 1
1 26 1
1 13 1
1 4 1
1 40 1
1 54 1
1 27 1
1 42 1
1 50 1
1 31 1
38 48 38
20 38 38
32 38 38
3 38 38
38 52 38
38 63 38
38 59 38
38 47 38
14 38 38
21 38 38
23 38 38
28 38 38
9 38 38
2 38 38
16 38 38
19 38 38
35 38 38
6 38 38
38 55 38
38 62 38
38 43 38
29 38 38
38 53 38
22 38 38
33 38 38
18 38 38
8 38 38
7 38 38
38 45 38
11 38 38
24 38 38
15 38 38
10 38 38
38 39 38
5 38 38
36 38 38
38 57 38
38 49 38
34 38 38
30 38 38
38 61 38
17 38 38
26 38 38
38 51 38
4 38 38
38 40 38
38 54 38
38 46 38
38 42 38
38 56 38
44 48 44
20 44 44
32 44 44
3 44 44
44 52 44
44 63 44
44 59 44
44 47 44
14 44 44
21 44 44
23 44 44
28 44 44
9 44 44
2 44 44
16 44 44
19 44 44
35 44 44
6 44 44
44 55 44
44 62 44
43 44 44
29 44 44
44 53 44
22 44 44
33 44 44
18 44 44
8 44 44
7 44 44
44 45 44
37 44 44
24 44 44
15 44 44
10 44 44
39 44 44
5 44 44
36 44 44
44 57 44
44 49 44
34 44 44
30 44 44
44 61 44
17 44 44
41 44 44
44 51 44
4 44 44
40 44 44
27 44 44
44 46 44
44 64 44
48 58 58
20 58 58
32 58 58
3 58 58
52 58 58
58 63 58
58 59 58
47 58 58
14 58 58
21 58 58
23 58 58
28 58 58
9 58 58
2 58 58
16 58 58
19 58 58
35 58 58
6 58 58
55 58 58
58 62 58
43 58 58
29 58 58
53 58 58
22 58 58
33 58 58
18 58 58
8 58 58
7 58 58
12 58 58
37 58 58
24 58 58
15 58 58
10 58 58
39 58 58
5 58 58
36 58 58
57 58 58
49 58 58
34 58 58
30 58 58
58 61 58
13 58 58
41 58 58
51 58 58
4 58 58
54 58 58
27 58 58
50 58 58
48 60 60
20 60 60
32 60 60
3 60 60
52 60 60
60 63 60
59 60 60
47 60 60
14 60 60
21 60 60
23 60 60
28 60 60
9 60 60
2 60 60
16 60 60
19 60 60
35 60 60
6 60 60
55 60 60
60 62 60
43 60 60
29 60 60
53 60 60
22 60 60
33 60 60
18 60 60
8 60 60
11 60 60
12 60 60
37 60 60
24 60 60
15 60 60
10 60 60
39 60 60
5 60 60
36 60 60
57 60 60
49 60 60
34 60 60
30 60 60
26 60 60
13 60 60
41 60 60
51 60 60
40 60 60
54 60 60
42 60 60
25 48 25
20 25 25
25 32 25
3 25 25
25 52 25
25 63 25
25 59 25
25 47 25
14 25 25
21 25 25
23 25 25
25 28 25
9 25 25
2 25 25
16 25 25
19 25 25
25 35 25
6 25 25
25 55 25
25 62 25
25 43 25
25 29 25
25 53 25
22 25 25
25 33 25
18 25 25
25 45 25
11 25 25
12 25 25
25 37 25
24 25 25
15 25 25
10 25 25
25 39 25
5 25 25
25 36 25
25 57 25
25 49 25
25 34 25
17 25 25
25 26 25
13 25 25
25 41 25
4 25 25
25 40 25
25 46 25
31 48 31
20 31 31
31 32 31
3 31 31
31 52 31
31 63 31
31 59 31
31 47 31
14 31 31
21 31 31
23 31 31
28 31 31
9 31 31
2 31 31
16 31 31
19 31 31
31 35 31
6 31 31
31 55 31
31 62 31
31 43 31
29 31 31
31 53 31
22 31 31
31 33 31
7 31 31
31 45 31
11 31 31
12 31 31
31 37 31
24 31 31
15 31 31
10 31 31
31 39 31
5 31 31
31 36 31
31 57 31
31 49 31
31 61 31
17 31 31
26 31 31
13 31 31
31 51 31
4 31 31
27 31 31
48 56 56
20 56 56
32 56 56
3 56 56
52 56 56
56 63 56
56 59 56
47 56 56
14 56 56
21 56 56
23 56 56
28 56 56
9 56 56
2 56 56
16 56 56
19 56 56
35 56 56
6 56 56
55 56 56
56 62 56
43 56 56
29 56 56
53 56 56
22 56 56
8 56 56
7 56 56
45 56 56
11 56 56
12 56 56
37 56 56
24 56 56
15 56 56
10 56 56
39 56 56
5 56 56
36 56 56
56 57 56
30 56 56
56 61 56
17 56 56
26 56 56
41 56 56
51 56 56
54 56 56
48 64 64
20 64 64
32 64 64
3 64 64
52 64 64
63 64 64
59 64 64
47 64 64
14 64 64
21 64 64
23 64 64
28 64 64
9 64 64
2 64 64
16 64 64
19 64 64
35 64 64
6 64 64
55 64 64
62 64 64
43 64 64
29 64 64
53 64 64
18 64 64
8 64 64
7 64 64
45 64 64
11 64 64
12 64 64
37 64 64
24 64 64
15 64 64
10 64 64
39 64 64
5 64 64
36 64 64
34 64 64
30 64 64
61 64 64
17 64 64
13 64 64
41 64 64
40 64 64
48 50 50
20 50 50
32 50 50
3 50 50
50 52 50
50 63 50
50 59 50
47 50 50
14 50 50
21 50 50
23 50 50
28 50 50
9 50 50
2 50 50
16 50 50
19 50 50
35 50 50
6 50 50
50 55 50
50 62 50
43 50 50
29 50 50
33 50 50
18 50 50
8 50 50
7 50 50
45 50 50
11 50 50
12 50 50
37 50 50
24 50 50
15 50 50
10 50 50
39 50 50
5 50 50
49 50 50
34 50 50
30 50 50
50 61 50
26 50 50
13 50 50
4 50 50
42 48 42
20 42 42
32 42 42
3 42 42
42 52 42
42 63 42
42 59 42
42 47 42
14 42 42
21 42 42
23 42 42
28 42 42
9 42 42
2 42 42
16 42 42
19 42 42
35 42 42
6 42 42
42 55 42
42 62 42
42 43 42
22 42 42
33 42 42
18 42 42
8 42 42
7 42 42
42 45 42
11 42 42
12 42 42
37 42 42
24 42 42
15 42 42
10 42 42
39 42 42
42 57 42
42 49 42
34 42 42
30 42 42
17 42 42
26 42 42
42 51 42
46 48 46
20 46 46
32 46 46
3 46 46
46 52 46
46 63 46
46 59 46
46 47 46
14 46 46
21 46 46
23 46 46
28 46 46
9 46 46
2 46 46
16 46 46
19 46 46
35 46 46
6 46 46
46 55 46
46 62 46
46 53 46
22 46 46
33 46 46
18 46 46
8 46 46
7 46 46
45 46 46
11 46 46
12 46 46
37 46 46
24 46 46
15 46 46
10 46 46
36 46 46
46 57 46
46 49 46
34 46 46
46 61 46
17 46 46
41 46 46
27 48 27
20 27 27
27 32 27
3 27 27
27 52 27
27 63 27
27 59 27
27 47 27
14 27 27
21 27 27
23 27 27
27 28 27
9 27 27
2 27 27
16 27 27
19 27 27
27 35 27
6 27 27
27 55 27
27 29 27
27 53 27
22 27 27
27 33 27
18 27 27
8 27 27
7 27 27
27 45 27
11 27 27
12 27 27
27 37 27
24 27 27
15 27 27
5 27 27
27 36 27
27 57 27
27 49 27
27 30 27
27 61 27
13 27 27
48 54 54
20 54 54
32 54 54
3 54 54
52 54 54
54 63 54
54 59 54
47 54 54
14 54 54
21 54 54
23 54 54
28 54 54
9 54 54
2 54 54
16 54 54
19 54 54
35 54 54
6 54 54
43 54 54
29 54 54
53 54 54
22 54 54
33 54 54
18 54 54
8 54 54
7 54 54
45 54 54
11 54 54
12 54 54
37 54 54
24 54 54
39 54 54
5 54 54
36 54 54
54 57 54
34 54 54
30 54 54
26 54 54
40 48 40
20 40 40
32 40 40
3 40 40
40 52 40
40 63 40
40 59 40
40 47 40
14 40 40
21 40 40
23 40 40
28 40 40
9 40 40
2 40 40
16 40 40
19 40 40
35 40 40
40 62 40
40 43 40
29 40 40
40 53 40
22 40 40
33 40 40
18 40 40
8 40 40
7 40 40
40 45 40
