256 8385
235 254 1
27 235 1
4 235 1
235 253 1
164 235 1
28 50 235
28 177 235
8 28 235
2 28 235
28 48 235
45 195 28
45 84 28
45 214 28
45 140 28
45 229 28
87 116 45
116 198 45
116 143 45
107 116 45
116 186 45
147 148 116
147 176 116
123 147 116
147 230 116
147 149 116
126 189 147
126 178 147
52 126 147
109 126 147
106 126 147
117 122 126
117 255 126
117 174 126
117 161 126
117 134 126
112 218 117
112 169 117
7 112 117
112 239 117
38 112 117
68 234 112
110 234 112
78 234 112
66 234 112
190 234 112
55 184 234
59 184 234
33 184 234
184 200 234
114 184 234
95 224 184
95 219 184
81 95 184
71 95 184
95 231 184
202 228 95
30 202 95
181 202 95
202 244 95
157 202 95
51 248 202
51 146 202
51 167 202
51 94 202
18 51 202
130 206 51
130 160 51
130 216 51
34 130 51
130 154 51
85 187 130
133 187 130
132 187 130
101 187 130
187 222 130
12 29 187
29 225 187
29 53 187
29 44 187
29 139 187
54 153 29
153 249 29
153 183 29
56 153 29
153 207 29
165 182 153
93 182 153
182 251 153
182 197 153
120 182 153
40 211 182
152 211 182
194 211 182
145 211 182
211 243 182
43 61 211
61 238 211
61 129 211
61 191 211
61 79 211
82 162 61
31 162 61
111 162 61
162 227 61
141 162 61
75 212 162
37 75 162
75 158 162
75 247 162
75 175 162
201 226 75
16 201 75
14 201 75
60 201 75
76 201 75
69 96 201
96 245 201
91 96 201
36 96 201
96 256 201
113 237 96
113 199 96
113 185 96
24 113 96
113 196 96
62 151 113
62 137 113
62 65 113
3 62 113
21 62 113
138 156 62
98 138 62
138 179 62
138 180 62
138 155 62
20 136 138
10 20 138
20 70 138
20 103 138
20 57 138
100 193 20
121 193 20
80 193 20
193 203 20
172 193 20
13 90 193
90 241 193
6 90 193
90 236 193
90 240 193
19 170 90
19 97 90
19 215 90
19 150 90
19 92 90
105 252 19
105 250 19
67 105 19
88 105 19
86 105 19
74 142 105
64 142 105
17 142 105
142 221 105
108 142 105
89 118 142
118 210 142
118 124 142
41 118 142
115 118 142
26 46 118
25 46 118
46 63 118
46 204 118
46 220 118
77 127 46
125 127 46
102 127 46
49 127 46
127 168 46
119 128 127
47 119 127
83 119 127
72 119 127
119 209 127
99 135 119
99 131 119
99 242 119
99 144 119
99 217 119
22 246 99
22 232 99
22 192 99
22 23 99
15 22 99
35 163 22
35 159 22
32 35 22
11 35 22
35 205 22
58 223 35
104 223 35
5 223 35
223 233 35
208 223 35
9 42 223
42 188 223
42 73 223
42 213 223
42 166 223
39 171 42
171 173 42
171 254 1
27 171 1
4 171 1
171 253 1
164 171 1
50 171 235
171 177 235
8 171 235
2 171 235
48 171 235
171 195 28
84 171 28
171 214 28
140 171 28
171 229 28
87 171 45
171 198 45
143 171 45
107 171 45
171 186 45
148 171 116
171 176 116
123 171 116
171 230 116
149 171 116
171 189 147
171 178 147
52 171 147
109 171 147
106 171 147
122 171 126
171 255 126
171 174 126
161 171 126
134 171 126
171 218 117
169 171 117
7 171 117
171 239 117
38 171 117
68 171 112
110 171 112
78 171 112
66 171 112
171 190 112
55 171 234
59 171 234
33 171 234
171 200 234
114 171 234
171 224 184
171 219 184
81 171 184
71 171 184
171 231 184
171 228 95
30 171 95
171 181 95
171 244 95
157 171 95
171 248 202
146 171 202
167 171 202
94 171 202
18 171 202
171 206 51
160 171 51
171 216 51
34 171 51
154 171 51
85 171 130
133 171 130
132 171 130
101 171 130
171 222 130
12 171 187
171 225 187
53 171 187
44 171 187
139 171 187
54 171 29
171 249 29
171 183 29
56 171 29
171 207 29
165 171 153
93 171 153
171 251 153
171 197 153
120 171 153
40 171 182
152 171 182
171 194 182
145 171 182
171 243 182
43 171 211
171 238 211
129 171 211
171 191 211
79 171 211
82 171 61
31 171 61
111 171 61
171 227 61
141 171 61
171 212 162
37 171 162
158 171 162
171 247 162
171 175 162
171 226 75
16 171 75
14 171 75
60 171 75
76 171 75
69 171 201
171 245 201
91 171 201
36 171 201
171 256 201
171 237 96
171 199 96
171 185 96
24 171 96
171 196 96
151 171 113
137 171 113
65 171 113
3 171 113
21 171 113
156 171 62
98 171 62
171 179 62
171 180 62
155 171 62
136 171 138
10 171 138
70 171 138
103 171 138
57 171 138
100 171 20
121 171 20
80 171 20
171 203 20
171 172 20
13 171 193
171 241 193
6 171 193
171 236 193
171 240 193
170 171 90
97 171 90
171 215 90
150 171 90
92 171 90
171 252 19
171 250 19
67 171 19
88 171 19
86 171 19
74 171 105
64 171 105
17 171 105
171 221 105
108 171 105
89 171 142
171 210 142
124 171 142
41 171 142
115 171 142
26 171 118
25 171 118
63 171 118
171 204 118
171 220 118
77 171 46
125 171 46
102 171 46
49 171 46
168 171 46
128 171 127
47 171 127
83 171 127
72 171 127
171 209 127
135 171 119
131 171 119
171 242 119
144 171 119
171 217 119
171 246 99
171 232 99
171 192 99
23 171 99
15 171 99
163 171 22
159 171 22
32 171 22
11 171 22
171 205 22
58 171 35
104 171 35
5 171 35
171 233 35
171 208 35
9 171 223
171 188 223
73 171 223
171 213 223
166 171 223
1 171 1
171 235 235
28 171 28
45 171 45
116 171 116
147 171 147
126 171 126
117 171 117
112 171 112
171 234 234
171 184 184
95 171 95
171 202 202
51 171 51
130 171 130
171 187 187
29 171 29
153 171 153
171 182 182
171 211 211
61 171 61
162 171 162
75 171 75
171 201 201
96 171 96
113 171 113
62 171 62
138 171 138
20 171 20
171 193 193
90 171 90
19 171 19
105 171 105
142 171 142
118 171 118
46 171 46
127 171 127
119 171 119
99 171 99
22 171 22
35 171 35
171 223 223
42 171 42
25 26 118
23 112 112
85 132 130
147 255 147
99 116 116
18 164 1
65 198 45
127 182 182
185 196 96
105 228 95
68 78 112
47 153 153
24 199 96
36 195 28
34 103 51
66 120 112
7 54 117
123 148 116
150 155 62
131 144 119
27 156 1
23 104 99
54 250 29
78 190 112
116 137 116
11 159 22
99 175 162
83 125 46
24 196 96
85 117 117
16 60 75
48 177 235
31 82 61
61 119 61
196 250 96
133 222 130
57 150 138
175 212 162
9 213 223
163 239 117
91 225 187
39 213 223
124 210 142
9 83 127
92 150 90
236 240 193
52 237 147
37 139 187
83 147 147
218 239 117
16 147 147
39 159 22
5 126 126
145 165 153
76 147 147
11 205 22
202 254 1
92 252 90
31 103 61
69 245 201
102 223 46
152 153 153
86 250 19
12 44 187
128 243 182
38 239 117
113 117 117
42 217 119
24 127 96
95 153 95
172 224 184
7 38 117
8 235 235
82 161 126
148 149 116
117 142 117
192 232 99
12 53 187
21 151 113
35 126 126
30 44 95
94 248 202
62 127 62
170 215 90
107 115 45
85 168 130
146 248 202
85 158 130
179 225 187
83 106 147
121 203 20
57 70 138
1 88 1
22 25 118
230 235 235
212 234 234
245 256 201
80 112 112
16 190 112
42 61 61
76 126 126
88 250 19
113 235 235
9 166 223
192 219 184
77 125 46
116 129 116
18 157 95
49 168 46
20 251 153
165 197 153
22 109 147
169 218 117
38 218 117
71 248 184
133 249 130
18 146 202
63 144 118
17 180 62
131 242 119
18 133 202
181 244 95
184 234 234
59 144 234
28 45 28
31 101 130
37 175 162
15 213 99
99 207 29
28 59 28
132 214 28
32 67 19
18 202 202
65 151 113
53 116 116
36 91 201
175 250 162
13 236 193
144 242 119
192 246 99
8 48 235
87 143 45
69 85 130
91 247 162
186 198 45
42 75 75
32 125 46
143 186 45
24 189 147
18 94 202
5 172 20
140 236 28
15 192 99
77 180 62
156 179 62
71 231 184
118 231 184
117 172 117
44 237 187
166 188 223
161 255 126
51 253 1
40 243 182
29 76 29
110 207 112
112 158 112
3 151 113
135 187 187
93 200 234
72 241 193
176 230 116
126 184 126
87 198 45
160 206 51
102 159 46
94 167 202
94 195 28
124 127 142
116 244 116
14 226 75
79 129 211
152 194 182
6 236 193
199 237 96
58 233 35
1 165 1
19 32 19
140 150 28
151 225 187
38 246 117
53 139 187
8 149 235
113 153 153
80 127 20
165 193 153
219 224 184
63 78 112
116 243 116
183 249 29
214 229 28
84 96 28
119 251 153
67 86 19
12 17 187
41 180 62
108 160 51
195 214 28
18 56 202
254 256 1
83 109 147
97 215 90
86 252 19
79 117 117
45 117 45
58 104 35
94 186 45
72 185 96
36 66 112
55 59 234
54 255 126
69 91 201
64 250 19
14 112 112
6 13 193
219 231 184
107 143 45
43 81 184
43 251 153
135 144 119
172 237 96
76 151 75
23 246 99
165 251 153
157 244 95
57 103 138
185 237 96
147 183 147
36 245 201
27 127 1
136 197 153
18 175 202
69 256 201
126 235 235
61 142 61
191 238 211
83 112 112
3 14 75
58 69 201
34 216 51
73 208 35
136 178 147
70 233 138
38 193 117
1 242 1
82 111 61
28 235 235
106 189 147
212 247 162
144 217 119
10 136 138
174 246 126
84 214 28
162 230 116
196 237 96
100 203 20
14 184 184
103 136 138
52 109 147
197 251 153
17 64 105
149 235 235
59 200 234
129 191 211
84 140 28
73 126 126
131 217 119
24 253 1
125 168 46
30 228 95
34 147 147
88 252 19
155 180 62
21 184 184
112 147 147
49 128 46
137 246 113
147 200 147
7 169 117
30 244 95
207 249 29
30 134 126
73 241 193
