128 4075
2 3 1
2 4 1
2 5 1
6 7 2
6 8 2
6 9 2
10 11 6
10 12 6
10 13 6
14 15 10
14 16 10
14 17 10
18 19 14
18 20 14
18 21 14
22 23 18
22 24 18
22 25 18
26 27 22
26 28 22
26 29 22
30 31 26
30 32 26
30 33 26
34 35 30
34 36 30
34 37 30
38 39 34
38 40 34
38 41 34
42 43 38
42 44 38
42 45 38
46 47 42
46 48 42
46 49 42
50 51 46
50 52 46
50 53 46
54 55 50
54 56 50
54 57 50
58 59 54
58 60 54
58 61 54
62 63 58
62 64 58
62 65 58
66 67 62
66 68 62
66 69 62
70 71 66
70 72 66
70 73 66
74 75 70
74 76 70
74 77 70
78 79 74
78 80 74
78 81 74
82 83 78
82 84 78
82 85 78
86 87 82
86 88 82
86 89 82
90 91 86
90 92 86
90 93 86
94 95 90
94 96 90
94 97 90
98 99 94
98 100 94
98 101 94
102 103 98
102 104 98
102 105 98
106 107 102
106 108 102
106 109 102
110 111 106
110 112 106
110 113 106
114 115 110
114 116 110
114 117 110
118 119 114
118 120 114
118 121 114
122 123 118
122 124 118
122 125 118
126 127 122
126 128 122
3 126 1
4 126 1
5 126 1
7 126 2
8 126 2
9 126 2
11 126 6
12 126 6
13 126 6
15 126 10
16 126 10
17 126 10
19 126 14
20 126 14
21 126 14
23 126 18
24 126 18
25 126 18
27 126 22
28 126 22
29 126 22
31 126 26
32 126 26
33 126 26
35 126 30
36 126 30
37 126 30
39 126 34
40 126 34
41 126 34
43 126 38
44 126 38
45 126 38
47 126 42
48 126 42
49 126 42
51 126 46
52 126 46
53 126 46
55 126 50
56 126 50
57 126 50
59 126 54
60 126 54
61 126 54
63 126 58
64 126 58
65 126 58
67 126 62
68 126 62
69 126 62
71 126 66
72 126 66
73 126 66
75 126 70
76 126 70
77 126 70
79 126 74
80 126 74
81 126 74
83 126 78
84 126 78
85 126 78
87 126 82
88 126 82
89 126 82
91 126 86
92 126 86
93 126 86
95 126 90
96 126 90
97 126 90
99 126 94
100 126 94
101 126 94
103 126 98
104 126 98
105 126 98
107 126 102
108 126 102
109 126 102
111 126 106
112 126 106
113 126 106
115 126 110
116 126 110
117 126 110
119 126 114
120 126 114
121 126 114
123 126 118
124 126 118
125 126 118
1 126 1
6 126 6
14 126 14
22 126 22
30 126 30
38 126 38
46 126 46
54 126 54
62 126 62
70 126 70
78 126 78
86 126 86
94 126 94
102 126 102
110 126 110
118 126 118
36 37 30
10 118 10
59 60 54
39 40 34
74 87 74
12 88 6
2 119 2
112 113 106
10 25 10
56 57 50
100 101 94
8 72 2
42 84 42
27 55 22
54 128 54
20 21 14
21 116 14
109 113 102
88 89 82
20 77 14
75 105 70
14 21 14
81 87 74
35 37 30
6 78 6
72 73 66
68 69 62
6 81 6
36 51 30
92 93 86
34 124 34
96 97 90
30 42 30
84 85 78
7 27 2
34 80 34
46 85 46
48 49 42
78 123 78
1 30 1
21 44 14
55 57 50
52 53 46
24 25 18
71 73 66
107 122 102
111 125 106
82 115 82
31 74 26
9 12 2
51 111 46
1 3 1
2 23 2
9 112 2
31 94 26
2 125 2
58 112 58
5 22 1
83 112 78
26 48 26
89 96 82
100 118 94
100 119 94
127 128 122
63 64 58
58 110 58
7 8 2
32 33 26
10 15 10
65 110 58
38 50 38
32 88 26
10 62 10
28 108 22
47 62 42
18 60 18
70 122 70
104 105 98
64 65 58
22 98 22
2 68 2
103 115 98
26 119 26
18 58 18
14 25 14
51 52 46
76 106 70
1 76 1
56 79 50
125 127 118
123 125 118
8 9 2
12 120 6
18 61 18
62 66 62
36 67 30
12 117 6
25 66 18
10 75 10
89 117 82
83 98 78
68 93 62
14 49 14
67 92 62
18 67 18
75 76 70
2 85 2
79 81 74
18 28 18
26 98 26
42 96 42
71 72 66
18 115 18
31 33 26
22 118 22
2 20 2
44 46 38
67 68 62
81 99 74
34 76 34
46 127 46
8 124 2
10 95 10
61 121 54
56 81 50
35 120 30
7 13 2
59 66 54
91 110 86
26 45 26
52 112 46
13 48 6
34 40 34
105 106 98
22 48 22
97 125 90
95 97 90
44 45 38
43 45 38
104 115 98
13 100 6
7 104 2
14 75 14
119 120 114
87 88 82
1 2 1
25 81 18
52 95 46
9 90 2
103 122 98
92 99 86
93 107 86
115 117 110
18 98 18
100 125 94
43 86 38
15 88 10
1 19 1
28 29 22
55 56 50
3 37 1
75 104 70
49 82 42
25 65 18
26 52 26
22 66 22
103 104 98
89 104 82
6 59 6
117 125 110
79 116 74
19 20 14
16 92 10
56 115 50
108 119 102
51 53 46
9 75 2
5 48 1
8 39 2
17 40 10
54 97 54
115 116 110
80 111 74
57 122 50
76 116 70
63 77 58
3 4 1
41 62 34
86 105 86
38 45 38
11 12 6
2 109 2
87 89 82
10 49 10
26 39 26
35 100 30
67 69 62
11 13 6
8 70 2
33 39 26
27 69 22
20 35 14
50 115 50
91 92 86
71 119 66
30 73 30
107 108 102
52 63 46
90 109 90
102 106 102
18 111 18
14 61 14
3 5 1
46 80 46
35 67 30
27 29 22
37 113 30
19 90 14
17 63 10
6 69 6
22 61 22
46 58 46
54 108 54
75 77 70
51 83 46
18 24 18
18 22 18
71 96 66
116 128 110
74 88 74
70 77 70
60 61 54
73 120 66
86 113 86
14 114 14
112 121 106
98 115 98
100 124 94
18 53 18
29 123 22
21 58 14
75 99 70
6 42 6
66 120 66
35 36 30
22 111 22
93 128 86
37 60 30
46 86 46
29 88 22
85 108 78
58 83 58
105 113 98
22 62 22
34 69 34
80 81 74
22 47 22
53 115 46
48 56 42
31 117 26
55 102 50
15 61 10
99 127 94
16 17 10
16 20 10
108 109 102
12 13 6
46 88 46
18 128 18
3 75 1
91 93 86
10 42 10
105 117 98
62 91 62
45 64 38
81 102 74
124 125 118
31 55 26
96 123 90
38 67 38
10 33 10
28 88 22
37 85 30
37 84 30
10 66 10
66 111 66
73 78 66
3 29 1
34 84 34
91 124 86
19 125 14
75 93 70
42 67 42
23 43 18
3 57 1
57 101 50
26 58 26
4 82 1
9 118 2
90 104 90
115 119 110
77 103 70
65 70 58
4 84 1
13 89 6
6 41 6
12 30 6
50 61 50
2 78 2
97 112 90
22 52 22
53 66 46
70 78 70
66 76 66
2 32 2
27 28 22
10 19 10
8 106 2
1 15 1
45 59 38
36 102 30
39 77 34
115 125 110
18 45 18
22 29 22
23 25 18
59 86 54
2 13 2
70 101 70
54 102 54
79 96 74
68 102 62
15 17 10
2 79 2
47 48 42
6 75 6
95 123 90
90 95 90
85 123 78
10 70 10
28 43 22
6 66 6
25 74 18
89 98 82
4 50 1
78 84 78
111 112 106
10 54 10
80 118 74
10 44 10
62 82 62
56 111 50
2 90 2
14 48 14
65 118 58
1 65 1
50 77 50
19 21 14
52 61 46
31 32 26
46 118 46
22 65 22
88 122 82
51 64 46
3 82 1
10 83 10
60 113 54
93 103 86
46 53 46
104 108 98
69 108 62
33 78 26
2 52 2
20 64 14
11 68 6
48 110 42
90 106 90
86 120 86
10 47 10
6 31 6
1 63 1
26 64 26
24 101 18
101 115 94
54 107 54
2 29 2
34 68 34
69 89 62
9 115 2
1 18 1
1 22 1
22 123 22
92 100 86
46 57 46
14 42 14
91 103 86
50 119 50
78 111 78
26 46 26
64 83 58
13 20 6
1 38 1
61 92 54
6 13 6
121 123 114
107 114 102
82 110 82
48 95 42
37 40 30
18 107 18
19 87 14
65 127 58
14 73 14
23 76 18
73 107 66
101 116 94
86 121 86
75 118 70
10 81 10
69 76 62
14 81 14
2 111 2
99 123 94
53 91 46
2 10 2
77 98 70
68 100 62
18 26 18
22 76 22
75 128 70
120 121 114
26 67 26
78 98 78
85 112 78
120 125 114
42 124 42
98 127 98
116 120 110
19 36 14
2 26 2
4 111 1
14 41 14
6 85 6
89 113 82
2 22 2
85 93 78
99 120 94
18 33 18
29 82 22
13 113 6
65 125 58
92 96 86
98 117 98
46 114 46
53 61 46
83 113 78
13 96 6
26 113 26
50 67 50
30 63 30
22 41 22
74 125 74
30 122 30
62 88 62
39 66 34
66 88 66
81 94 74
38 68 38
70 114 70
25 119 18
82 101 82
5 125 1
84 113 78
5 20 1
62 116 62
111 123 106
5 91 1
23 59 18
3 107 1
123 127 118
1 5 1
10 73 10
2 84 2
94 99 94
2 65 2
10 23 10
7 90 2
22 34 22
25 75 18
65 94 58
1 4 1
97 102 90
120 124 114
63 65 58
10 41 10
32 34 26
31 69 26
119 121 114
2 47 2
50 91 50
4 5 1
10 79 10
33 54 26
120 127 114
14 43 14
52 127 46
49 61 42
74 103 74
32 108 26
30 91 30
13 46 6
6 97 6
2 19 2
13 29 6
34 99 34
86 110 86
81 97 74
26 47 26
25 92 18
19 122 14
1 80 1
81 86 74
29 117 22
49 78 42
30 101 30
15 53 10
6 65 6
22 46 22
104 120 98
113 124 106
102 127 102
78 118 78
117 118 110
68 107 62
74 124 74
