256 11919
120 212 1
42 78 212
13 47 42
34 151 13
139 160 34
224 227 160
92 213 224
220 247 213
6 27 247
10 203 27
83 111 10
9 192 111
2 28 192
104 118 28
93 152 104
80 219 93
138 156 80
157 256 138
23 231 157
19 102 231
95 166 19
134 140 95
57 204 140
199 251 57
21 182 199
90 112 182
143 246 112
18 211 143
43 254 211
67 103 43
37 105 67
113 239 37
49 253 239
91 196 253
110 244 196
32 173 110
187 240 173
16 36 240
223 249 16
15 55 223
53 141 55
136 218 53
109 201 218
38 230 109
50 161 38
81 114 50
64 171 81
51 115 64
167 189 115
116 133 189
46 89 116
20 198 89
30 106 198
228 234 106
65 202 234
60 150 65
11 172 150
4 194 172
200 233 4
88 148 200
56 123 88
35 73 123
153 177 73
122 130 177
59 190 130
205 210 59
61 180 210
82 84 180
31 58 84
186 243 58
142 184 186
70 208 142
127 170 70
85 236 127
3 137 236
7 242 137
164 179 242
33 99 164
40 126 33
98 149 40
75 96 149
39 169 96
159 250 39
131 185 159
163 245 185
176 248 163
48 144 176
121 206 48
77 128 121
79 175 128
69 217 79
62 162 217
195 222 62
108 197 222
63 235 197
72 165 235
66 215 165
5 155 66
26 174 155
214 238 26
74 168 214
52 154 74
101 107 154
68 146 101
14 255 146
54 86 14
117 229 86
17 132 117
87 129 132
44 94 87
8 183 44
25 124 183
145 241 25
76 207 145
22 24 76
29 41 24
193 252 41
71 100 193
147 237 71
135 158 147
97 125 135
178 216 97
119 225 178
209 226 119
12 191 209
188 221 12
181 232 188
45 120 1
45 78 212
45 47 42
45 151 13
45 139 34
45 227 160
45 92 224
45 220 213
6 45 247
45 203 27
45 83 10
9 45 111
2 45 192
45 118 28
45 152 104
45 219 93
45 156 80
45 256 138
23 45 157
45 102 231
45 166 19
45 134 95
45 204 140
45 251 57
21 45 199
45 90 182
45 246 112
18 45 143
45 254 211
45 103 43
45 105 67
45 113 37
45 49 239
45 91 253
45 244 196
32 45 110
45 187 173
36 45 240
45 249 16
15 45 223
45 141 55
45 136 53
45 201 218
45 230 109
45 161 38
45 114 50
45 171 81
45 51 64
45 167 115
45 133 189
45 46 116
20 45 89
30 45 198
45 228 106
45 202 234
45 60 65
11 45 150
45 194 172
45 233 4
45 148 200
45 56 88
35 45 123
45 153 73
45 122 177
45 190 130
45 205 59
45 61 210
45 82 180
31 45 84
45 243 58
45 184 186
45 208 142
45 170 70
45 85 127
3 45 236
7 45 137
45 179 242
45 99 164
45 126 33
45 98 40
45 75 149
45 169 96
45 250 39
45 131 159
45 245 185
45 248 163
45 144 176
45 206 48
45 77 121
45 175 128
45 69 79
45 162 217
45 195 62
45 108 222
45 63 197
45 72 235
45 215 165
5 45 66
45 174 155
45 238 26
45 168 214
45 52 74
45 107 154
45 68 101
45 255 146
45 54 14
45 229 86
17 45 117
45 129 132
45 94 87
8 45 44
45 124 183
45 241 25
45 207 145
22 45 76
29 45 24
45 252 41
45 100 193
45 237 71
45 158 147
45 125 135
45 216 97
45 225 178
45 226 119
45 191 209
45 221 12
45 232 188
1 45 1
45 212 212
42 45 42
13 45 13
34 45 34
45 160 160
45 224 224
45 213 213
45 247 247
27 45 27
10 45 10
45 111 111
45 192 192
28 45 28
45 104 104
45 93 93
45 80 80
45 138 138
45 157 157
45 231 231
19 45 19
45 95 95
45 140 140
45 57 57
45 199 199
45 182 182
45 112 112
45 143 143
45 211 211
43 45 43
45 67 67
37 45 37
45 239 239
45 253 253
45 196 196
45 110 110
45 173 173
45 240 240
16 45 16
45 223 223
45 55 55
45 53 53
45 218 218
45 109 109
38 45 38
45 50 50
45 81 81
45 64 64
45 115 115
45 189 189
45 116 116
45 89 89
45 198 198
45 106 106
45 234 234
45 65 65
45 150 150
45 172 172
4 45 4
45 200 200
45 88 88
45 123 123
45 73 73
45 177 177
45 130 130
45 59 59
45 210 210
45 180 180
45 84 84
45 58 58
45 186 186
45 142 142
45 70 70
45 127 127
45 236 236
45 137 137
45 242 242
45 164 164
33 45 33
40 45 40
45 149 149
45 96 96
39 45 39
45 159 159
45 185 185
45 163 163
45 176 176
45 48 48
45 121 121
45 128 128
45 79 79
45 217 217
45 62 62
45 222 222
45 197 197
45 235 235
45 165 165
45 66 66
45 155 155
26 45 26
45 214 214
45 74 74
45 154 154
45 101 101
45 146 146
14 45 14
45 86 86
45 117 117
45 132 132
45 87 87
44 45 44
45 183 183
25 45 25
45 145 145
45 76 76
24 45 24
41 45 41
45 193 193
45 71 71
45 147 147
45 135 135
45 97 97
45 178 178
45 119 119
45 209 209
12 45 12
45 188 188
45 181 181
118 204 28
119 229 86
137 234 234
63 74 197
11 54 150
141 208 55
103 145 43
77 205 59
82 126 180
52 141 55
88 157 157
153 179 73
79 100 79
81 100 81
19 177 19
136 162 53
107 216 154
152 246 104
34 213 34
121 236 236
82 110 110
114 246 112
106 171 81
6 56 247
54 156 80
93 227 160
126 178 33
72 194 172
65 254 211
124 241 183
225 226 178
160 173 160
67 253 67
134 208 95
181 221 12
83 242 10
26 215 165
53 152 104
44 215 165
76 148 200
142 155 142
60 211 211
3 207 236
119 197 197
181 225 178
124 191 183
101 238 26
81 88 81
120 231 1
51 250 64
85 217 127
105 168 67
7 219 93
143 227 160
111 123 111
69 229 79
51 168 64
168 242 242
48 153 73
55 204 140
10 253 10
214 233 4
76 112 112
63 204 140
17 182 182
54 113 37
107 148 200
62 187 173
41 195 62
35 77 123
123 240 240
95 163 95
4 51 64
8 248 163
18 181 143
46 243 116
212 242 212
107 207 154
174 205 59
79 231 231
17 153 73
190 241 130
146 230 109
74 75 149
148 226 200
119 226 119
7 31 84
81 122 81
31 169 84
201 250 218
89 192 192
233 236 4
12 255 146
201 248 218
36 202 240
235 244 196
14 215 165
58 88 88
52 66 66
70 121 70
52 169 96
137 231 231
22 46 116
9 87 111
79 143 143
186 203 27
127 214 127
29 188 24
32 251 57
122 163 177
171 235 81
105 188 67
161 219 93
225 238 26
27 152 27
69 192 192
104 194 104
56 190 88
12 82 180
103 253 43
19 50 19
176 233 4
75 151 13
135 255 146
148 256 138
174 243 58
62 153 73
18 82 143
154 250 39
95 246 95
17 249 16
108 141 55
82 97 180
42 151 42
46 172 116
56 112 112
174 237 155
82 90 182
147 199 199
66 209 66
17 136 53
160 212 212
8 25 44
91 210 253
109 168 109
5 128 128
49 94 239
126 248 33
51 188 64
21 164 199
124 226 183
29 49 239
132 162 217
99 145 164
42 130 42
123 223 223
40 129 40
69 97 79
130 208 130
113 241 37
168 238 26
86 167 115
82 236 180
198 240 240
2 63 192
59 233 4
26 156 80
98 126 33
4 186 4
34 157 34
42 160 42
178 244 196
13 28 13
99 252 164
36 213 213
60 122 65
8 19 19
82 105 67
5 26 66
153 203 27
158 160 160
6 142 247
21 228 199
94 241 87
48 82 180
190 233 4
25 207 25
179 235 242
144 251 57
147 158 147
60 130 65
92 129 224
17 124 117
42 113 42
28 171 28
100 153 73
58 115 115
216 221 97
213 239 213
179 245 242
41 214 214
26 213 213
64 111 111
23 119 157
20 239 239
74 180 180
176 185 185
37 227 160
17 225 117
226 229 86
37 80 80
160 206 160
122 210 177
69 131 159
126 193 33
226 238 26
32 85 110
129 241 132
4 234 234
37 157 157
20 141 55
174 207 155
1 150 1
27 200 27
63 142 142
12 126 33
85 128 127
98 148 200
124 221 183
19 30 19
125 156 80
71 248 163
