stage,mode,n,seed,shuffle_labels,shuffle_queries,gen_ok,solver_rc,timed_out,val_ok,sec,rss_kb,case_dir
correctness_fuzz,comb_rect_dense,64,1,0,0,1,0,0,1,0.219146,3824,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n64/seed1_L0_Q0
correctness_fuzz,comb_rect_dense,64,1,0,1,1,0,0,1,0.231659,3760,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n64/seed1_L0_Q1
correctness_fuzz,comb_rect_dense,64,1,1,0,1,0,0,1,0.218745,4448,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n64/seed1_L1_Q0
correctness_fuzz,comb_rect_dense,64,1,1,1,1,0,0,1,0.225358,4416,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n64/seed1_L1_Q1
correctness_fuzz,comb_rect_dense,64,2,0,0,1,0,0,1,0.222970,3760,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n64/seed2_L0_Q0
correctness_fuzz,comb_rect_dense,64,2,0,1,1,0,0,1,0.218330,3824,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n64/seed2_L0_Q1
correctness_fuzz,comb_rect_dense,64,2,1,0,1,0,0,1,0.222516,4336,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n64/seed2_L1_Q0
correctness_fuzz,comb_rect_dense,64,2,1,1,1,0,0,1,0.218252,4272,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n64/seed2_L1_Q1
correctness_fuzz,comb_rect_dense,64,3,0,0,1,0,0,1,0.217279,3840,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n64/seed3_L0_Q0
correctness_fuzz,comb_rect_dense,64,3,0,1,1,0,0,1,0.221669,3856,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n64/seed3_L0_Q1
correctness_fuzz,comb_rect_dense,64,3,1,0,1,0,0,1,0.231942,4432,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n64/seed3_L1_Q0
correctness_fuzz,comb_rect_dense,64,3,1,1,1,0,0,1,0.235152,4384,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n64/seed3_L1_Q1
correctness_fuzz,comb_rect_dense,64,4,0,0,1,0,0,1,0.224547,3824,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n64/seed4_L0_Q0
correctness_fuzz,comb_rect_dense,64,4,0,1,1,0,0,1,0.230147,3760,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n64/seed4_L0_Q1
correctness_fuzz,comb_rect_dense,64,4,1,0,1,0,0,1,0.240798,4528,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n64/seed4_L1_Q0
correctness_fuzz,comb_rect_dense,64,4,1,1,1,0,0,1,0.235413,4464,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n64/seed4_L1_Q1
correctness_fuzz,comb_rect_dense,64,5,0,0,1,0,0,1,0.234773,3808,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n64/seed5_L0_Q0
correctness_fuzz,comb_rect_dense,64,5,0,1,1,0,0,1,0.237047,3808,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n64/seed5_L0_Q1
correctness_fuzz,comb_rect_dense,64,5,1,0,1,0,0,1,0.232951,4432,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n64/seed5_L1_Q0
correctness_fuzz,comb_rect_dense,64,5,1,1,1,0,0,1,0.231156,4384,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n64/seed5_L1_Q1
correctness_fuzz,comb_rect_dense,128,1,0,0,1,0,0,1,0.264653,8544,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n128/seed1_L0_Q0
correctness_fuzz,comb_rect_dense,128,1,0,1,1,0,0,1,0.262868,8688,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n128/seed1_L0_Q1
correctness_fuzz,comb_rect_dense,128,1,1,0,1,0,0,1,0.296425,10736,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n128/seed1_L1_Q0
correctness_fuzz,comb_rect_dense,128,1,1,1,1,0,0,1,0.295882,10688,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n128/seed1_L1_Q1
correctness_fuzz,comb_rect_dense,128,2,0,0,1,0,0,1,0.268992,8032,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n128/seed2_L0_Q0
correctness_fuzz,comb_rect_dense,128,2,0,1,1,0,0,1,0.265572,8096,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n128/seed2_L0_Q1
correctness_fuzz,comb_rect_dense,128,2,1,0,1,0,0,1,0.268151,8832,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_debug_stagefilter/runs/correctness_fuzz/comb_rect_dense/n128/seed2_L1_Q0
