64 1800
18 52 5
16 18 5
18 25 5
18 41 5
18 49 5
18 30 5
18 59 5
17 18 5
18 33 5
18 48 5
18 35 5
18 51 5
18 60 5
18 34 5
18 61 5
18 54 5
18 19 5
6 18 5
18 31 5
18 44 5
12 18 5
16 52 5
25 52 5
41 52 5
49 52 5
30 52 5
52 59 5
17 52 5
33 52 5
48 52 5
35 52 5
51 52 5
52 60 5
34 52 5
52 61 5
52 54 5
19 52 5
6 52 5
31 52 5
44 52 5
12 52 5
16 25 5
16 41 5
16 49 5
16 30 5
16 59 5
16 17 5
16 33 5
16 48 5
16 35 5
16 51 5
16 60 5
16 34 5
16 61 5
16 54 5
16 19 5
6 16 5
16 31 5
16 44 5
12 16 5
25 41 5
25 49 5
25 30 5
25 59 5
17 25 5
25 33 5
25 48 5
25 35 5
25 51 5
25 60 5
25 34 5
25 61 5
25 54 5
19 25 5
6 25 5
25 31 5
25 44 5
12 25 5
41 49 5
30 41 5
41 59 5
17 41 5
33 41 5
41 48 5
35 41 5
41 51 5
41 60 5
34 41 5
41 61 5
41 54 5
19 41 5
6 41 5
31 41 5
41 44 5
12 41 5
30 49 5
49 59 5
17 49 5
33 49 5
48 49 5
35 49 5
49 51 5
49 60 5
34 49 5
49 61 5
49 54 5
19 49 5
6 49 5
31 49 5
44 49 5
12 49 5
30 59 5
17 30 5
30 33 5
30 48 5
30 35 5
30 51 5
30 60 5
30 34 5
30 61 5
30 54 5
19 30 5
6 30 5
30 31 5
30 44 5
12 30 5
17 59 5
33 59 5
48 59 5
35 59 5
51 59 5
59 60 5
34 59 5
59 61 5
54 59 5
19 59 5
6 59 5
31 59 5
44 59 5
12 59 5
17 33 5
17 48 5
17 35 5
17 51 5
17 60 5
17 34 5
17 61 5
17 54 5
17 19 5
6 17 5
17 31 5
17 44 5
12 17 5
33 48 5
33 35 5
33 51 5
33 60 5
33 34 5
33 61 5
33 54 5
19 33 5
6 33 5
31 33 5
33 44 5
12 33 5
35 48 5
48 51 5
48 60 5
34 48 5
48 61 5
48 54 5
19 48 5
6 48 5
31 48 5
44 48 5
12 48 5
35 51 5
35 60 5
34 35 5
35 61 5
35 54 5
19 35 5
6 35 5
31 35 5
35 44 5
12 35 5
51 60 5
34 51 5
51 61 5
51 54 5
19 51 5
6 51 5
31 51 5
44 51 5
12 51 5
34 60 5
60 61 5
54 60 5
19 60 5
6 60 5
31 60 5
44 60 5
12 60 5
34 61 5
34 54 5
19 34 5
6 34 5
31 34 5
34 44 5
12 34 5
54 61 5
19 61 5
6 61 5
31 61 5
44 61 5
12 61 5
19 54 5
6 54 5
31 54 5
44 54 5
12 54 5
6 19 5
19 31 5
19 44 5
12 19 5
6 31 5
6 44 5
6 12 5
31 44 5
12 31 5
12 44 5
1 18 1
18 32 32
18 36 36
18 37 37
11 18 11
18 39 39
2 18 2
18 22 22
18 62 62
18 46 46
7 18 7
8 18 8
18 45 45
14 18 14
18 42 42
18 64 64
18 43 43
18 29 29
18 58 58
18 38 38
9 18 9
18 55 55
13 18 13
18 56 56
18 53 53
18 47 47
3 18 3
18 40 40
18 28 28
18 27 27
18 57 57
18 26 26
18 24 24
15 18 15
18 63 63
18 50 50
4 18 4
10 18 10
18 23 23
18 21 21
18 20 20
5 18 5
53 64 64
35 50 50
15 29 29
21 53 53
2 7 2
3 51 3
13 23 13
14 39 39
8 10 8
12 39 39
16 53 53
8 57 8
3 14 14
7 54 7
34 62 62
27 31 27
6 8 8
21 62 62
58 63 58
20 38 38
19 45 45
10 29 29
47 49 47
32 56 32
2 39 39
9 45 45
44 57 57
9 62 62
12 55 55
32 44 32
8 21 8
26 56 56
26 36 36
37 39 37
23 62 62
8 46 46
4 13 13
7 41 7
2 49 2
38 47 38
23 36 36
7 38 7
56 61 56
14 53 14
38 54 38
11 48 11
11 14 11
37 63 37
7 25 7
11 32 32
41 42 42
55 58 58
8 55 8
6 47 47
1 61 1
36 62 36
1 45 1
57 59 57
29 64 64
5 38 38
17 37 37
9 55 9
11 37 37
15 22 22
7 52 7
7 53 7
21 51 21
36 37 36
36 40 36
9 17 9
12 62 62
