128 4606
65 128 1
66 128 2
67 128 3
68 128 4
69 128 5
70 128 6
71 128 7
72 128 8
73 128 9
74 128 10
75 128 11
76 128 12
77 128 13
78 128 14
79 128 15
80 128 16
81 128 17
82 128 18
83 128 19
84 128 20
85 128 21
86 128 22
87 128 23
88 128 24
89 128 25
90 128 26
91 128 27
92 128 28
93 128 29
94 128 30
95 128 31
96 128 32
97 128 33
98 128 34
99 128 35
100 128 36
101 128 37
102 128 38
103 128 39
104 128 40
105 128 41
106 128 42
107 128 43
108 128 44
109 128 45
110 128 46
111 128 47
112 128 48
113 128 49
114 128 50
115 128 51
116 128 52
117 128 53
118 128 54
119 128 55
120 128 56
121 128 57
122 128 58
123 128 59
124 128 60
125 128 61
126 128 62
127 128 63
1 128 1
3 128 3
5 128 5
7 128 7
9 128 9
11 128 11
13 128 13
15 128 15
17 128 17
19 128 19
21 128 21
23 128 23
25 128 25
27 128 27
29 128 29
31 128 31
33 128 33
35 128 35
37 128 37
39 128 39
41 128 41
43 128 43
45 128 45
47 128 47
49 128 49
51 128 51
53 128 53
55 128 55
57 128 57
59 128 59
61 128 61
63 128 63
10 96 10
8 120 8
14 64 14
29 96 29
18 80 16
36 54 36
61 120 56
49 58 49
64 127 63
75 81 11
47 53 47
51 99 35
58 88 24
29 84 20
84 111 20
15 76 12
5 108 5
41 102 38
48 124 48
80 109 16
94 125 30
71 88 7
24 80 16
29 41 29
39 80 16
13 42 13
103 106 39
27 107 27
32 91 27
78 98 14
92 111 28
94 100 30
34 83 19
99 102 35
96 115 32
21 86 21
72 94 8
68 76 4
46 88 24
1 3 1
54 81 17
90 92 26
87 112 23
37 86 22
75 120 11
9 94 9
3 23 3
78 108 14
20 101 20
3 5 3
53 93 29
43 58 43
33 73 9
52 67 3
1 11 1
110 121 46
30 105 30
3 72 3
25 78 14
97 107 33
48 91 27
3 74 3
24 35 24
60 122 58
12 80 12
61 121 57
8 40 8
66 72 2
95 105 31
52 115 51
23 82 18
28 62 28
1 79 1
16 17 16
73 77 9
86 126 22
49 112 48
22 89 22
4 49 4
116 125 52
119 123 55
65 75 1
75 113 11
102 108 38
49 70 6
104 125 40
118 119 54
9 19 9
48 58 48
76 101 12
100 109 36
101 116 37
52 70 6
15 96 15
83 102 19
100 103 36
73 125 9
52 110 46
72 125 8
85 102 21
21 74 10
55 126 55
59 104 40
49 104 40
5 47 5
105 114 41
47 56 47
31 71 7
96 106 32
58 74 10
39 121 39
11 16 11
61 74 10
64 122 58
6 117 6
125 126 61
47 108 44
8 75 8
5 81 5
80 94 16
45 88 24
45 54 45
70 111 6
10 68 4
62 118 54
24 126 24
14 63 14
1 65 1
13 66 2
79 115 15
48 114 48
46 50 46
7 83 7
29 79 15
63 123 59
87 103 23
30 94 30
30 58 30
95 110 31
63 71 7
58 109 45
19 26 19
85 88 21
8 34 8
117 126 53
55 116 52
46 73 9
43 99 35
92 112 28
5 60 5
55 73 9
56 102 38
5 20 5
110 112 46
85 95 21
