64 1901
26 54 1
25 31 26
12 52 25
27 62 12
4 36 62
3 22 36
14 45 3
44 58 14
20 28 58
13 48 28
5 51 13
9 23 51
34 43 23
24 41 34
18 32 24
8 11 18
6 21 11
53 55 21
40 47 53
30 37 40
7 16 30
15 59 7
56 57 15
17 63 57
42 61 63
19 38 61
35 50 19
10 33 35
2 46 33
39 49 46
29 60 39
54 64 1
31 64 26
52 64 25
27 64 12
4 64 62
22 64 36
45 64 3
44 64 14
20 64 58
48 64 28
5 64 13
9 64 51
43 64 23
41 64 34
32 64 24
8 64 18
6 64 11
55 64 21
47 64 53
37 64 40
16 64 30
59 64 7
56 64 15
17 64 57
42 64 63
38 64 61
50 64 19
10 64 35
2 64 33
49 64 46
29 64 39
1 64 1
26 64 26
25 64 25
12 64 12
62 64 62
36 64 36
3 64 3
14 64 14
58 64 58
28 64 28
13 64 13
51 64 51
23 64 23
34 64 34
24 64 24
18 64 18
11 64 11
21 64 21
53 64 53
40 64 40
30 64 30
7 64 7
15 64 15
57 64 57
63 64 63
61 64 61
19 64 19
35 64 35
33 64 33
46 64 46
39 64 39
60 64 60
17 23 23
25 39 25
11 52 25
45 63 3
24 28 28
10 39 35
18 23 23
10 60 35
37 40 40
23 43 23
34 61 34
9 33 51
24 48 28
17 48 28
14 22 36
35 54 1
30 47 53
29 63 63
44 56 14
29 32 24
2 52 25
15 53 53
3 30 3
14 48 14
13 30 13
48 52 25
16 37 40
35 53 53
11 41 34
6 45 3
17 41 34
32 55 24
21 48 28
47 55 21
8 38 18
15 30 30
53 56 53
21 40 21
5 15 13
1 26 1
20 35 58
57 59 7
9 17 51
16 20 58
10 22 36
25 63 25
3 26 26
35 47 53
42 62 62
38 54 1
22 62 62
12 23 12
41 51 51
4 11 62
19 31 26
1 12 1
2 56 15
38 45 3
3 55 3
22 47 36
6 16 11
41 63 34
12 40 12
3 28 3
25 37 25
16 33 30
25 48 25
27 54 1
8 37 18
20 51 58
11 23 23
4 37 62
6 33 11
35 58 58
45 54 1
3 14 3
29 38 61
2 10 35
4 54 1
17 22 36
47 59 53
52 63 25
19 29 19
10 50 19
25 36 25
55 56 21
38 47 53
52 61 25
62 63 62
47 48 28
37 55 21
4 49 62
56 61 15
27 29 12
5 47 13
4 13 62
24 29 24
37 46 40
37 63 40
23 26 26
16 42 30
23 24 23
18 27 12
8 16 18
4 33 62
13 49 13
26 27 26
2 60 33
2 54 1
30 44 14
15 40 40
14 39 14
29 48 28
33 56 15
46 60 46
25 41 25
1 39 1
39 50 19
3 29 3
8 12 12
8 52 25
30 46 30
35 46 35
5 9 13
7 58 58
24 44 14
49 60 46
9 47 51
57 63 57
41 45 3
8 56 18
55 61 21
11 53 11
46 56 15
