32768 100000
8939 17774 8939
5599 30510 30242
5599 32586 1689
2850 12550 31586
8575 14469 32459
11395 21981 850
14485 16415 20934
3854 14369 20711
15378 27393 18523
6757 16051 30474
4640 31274 655
14425 17068 4975
7338 26016 20226
5599 11060 27297
24450 32143 32143
5599 31458 31458
5599 7727 1466
12483 25249 28570
4963 7804 11627
9791 30755 353
1017 5599 22009
9895 10790 22566
5088 16756 32061
18723 30085 2980
5599 24517 27040
8238 19272 5083
3171 15412 8716
21650 27439 29938
5599 27905 4036
5599 13686 13686
24729 31188 18751
7924 16335 6549
12574 31816 9870
675 22908 25105
13341 15213 8286
5599 31951 27184
18912 30014 13655
15855 20972 23037
17714 20858 31488
5599 9903 6746
22428 29111 53
21171 32705 6300
4335 11864 22076
11301 17028 4663
284 17968 4043
15701 19237 12669
5599 8111 25735
17743 17788 14202
3183 26151 22291
5599 16945 18775
8821 16680 28893
18234 28157 14329
26371 31990 21347
12196 20448 31243
5599 8136 14737
5599 28238 20152
9743 17492 3748
17196 27587 17196
8409 20419 20419
23194 26119 15586
13702 20887 13358
20102 27995 12355
13986 18922 21426
5599 12801 16751
19294 23434 3828
8969 28790 31963
16558 22696 7925
11972 24394 10222
7334 23915 7334
14502 15918 8853
5599 26325 30990
847 5599 1103
532 5599 5578
435 5599 6901
2083 8800 11036
24445 28515 15266
25392 25617 27707
24728 27327 19819
5599 14609 30809
11238 16172 5715
14017 31094 18177
5599 25340 25283
7107 13377 8147
10576 23603 6369
5599 9699 23138
4191 15238 4267
5599 12415 6180
15713 22626 25162
2650 20286 13629
20032 20172 24070
6519 14677 6519
5599 13718 31725
5599 13973 2039
23009 30651 708
27046 31853 36
630 5599 22141
15921 17319 29985
4195 12557 29276
5599 13448 31579
2490 30790 15650
5599 19400 507
14283 24375 15900
220 12356 25176
5599 15959 6736
18214 18728 8907
5599 19193 11448
27387 28962 6672
21359 23657 14547
25067 32023 13247
15186 20454 4123
5599 14041 21961
8527 28112 6091
5599 20815 21812
11538 15313 27085
22080 30618 25896
5599 23580 16568
14445 18577 22619
5599 14730 15631
19547 24083 32202
18475 31789 15909
5599 29360 5571
20448 21935 31243
3096 5599 21794
2063 12499 32515
4676 29081 7129
12815 31431 1104
5599 23528 28525
2462 21316 16765
15191 26552 9711
27371 27405 27371
5599 17249 1766
4936 5599 24563
2580 17899 19262
40 3165 40
5388 30848 9573
7092 28808 9080
6912 18651 21873
10516 30545 2657
5599 9657 30295
9509 9664 6293
17128 24939 24939
3176 11029 27916
8054 20783 13054
4156 11964 11964
1074 3990 3990
24875 30485 3075
1956 27310 26523
5058 32575 20412
18957 20524 21948
5599 23801 9251
5599 9087 25650
23622 23787 18979
10995 19222 31304
5599 16362 9520
15984 26467 28062
5599 29714 23053
7240 12733 6263
6469 10371 6469
5599 23908 23908
388 18181 22200
5599 26275 21490
2805 30093 24023
14361 26616 9158
20564 28444 28444
5599 19724 26372
7959 17183 4937
5599 22469 22469
5599 27460 17845
3204 23887 13901
11310 22099 16888
10760 15844 6672
8133 14397 8133
17220 26641 22340
5599 24553 24553
24594 25809 25809
21877 22842 22842
1114 5599 3428
7342 32141 19607
5615 21486 19035
4876 9028 19894
5599 21778 24419
11830 25334 25334
7536 16064 7536
17950 31114 14958
28227 28804 13247
22833 25908 15496
10118 21795 28918
1885 23156 7733
13057 23270 23270
2575 5599 121
10791 24006 29619
1289 10148 28744
5599 20836 28472
5599 7067 20030
5599 22520 24159
5599 22197 15846
22295 22507 29792
23389 27544 15143
5599 11105 18880
23667 30793 23667
2849 5599 4405
11626 22407 32245
5599 23649 23649
21196 24457 1905
7458 27908 25675
11496 26047 15786
19944 21479 21479
1159 15167 15167
16325 25301 27091
5599 17999 17999
17607 24975 17607
5599 13910 18275
13449 13633 13633
1815 31023 22275
5599 6315 12158
5599 15977 7197
5599 10568 10568
17449 28291 12077
5599 24105 24105
5821 8450 10245
5599 26549 23652
5214 12514 21622
14394 15054 19435
21826 29616 6674
295 31065 26735
10609 32608 6705
1378 15651 6345
5599 20301 15685
5599 21666 6375
19984 24373 6560
8745 23584 7119
17166 25941 28317
5599 10619 28014
10908 12624 13289
5599 14270 14270
9213 21424 8146
10327 16949 30019
5599 27716 4098
21083 22263 31025
6947 25640 7143
10833 26807 2612
651 10463 2892
