1024 29886
227 757 1
39 553 324
100 673 1
487 553 1
22 172 856
511 776 993
759 938 310
78 945 1
608 765 156
97 678 156
227 645 1
206 319 196
765 825 329
11 651 11
243 766 924
59 222 955
1 903 1
163 217 69
679 907 415
91 557 1
96 429 962
69 432 1
756 853 310
34 1001 324
376 941 1
131 726 1
735 752 310
757 908 310
305 920 993
440 463 463
313 639 466
633 921 993
974 993 993
195 548 1
110 159 829
247 346 1
558 818 310
176 839 245
585 817 427
620 694 1
401 1019 310
283 590 314
4 667 1
174 833 833
90 225 98
291 856 856
18 395 1
160 726 971
146 781 563
340 914 778
202 723 202
217 327 873
13 23 1
8 945 1
159 838 159
727 857 114
152 295 1
564 775 324
497 595 497
417 594 37
754 978 310
248 324 324
398 965 310
94 546 670
147 415 1
25 975 1
36 984 1
168 801 156
795 958 856
19 576 653
858 1024 324
18 42 1
537 587 100
1 317 1
540 553 540
1 186 1
899 981 1
279 722 1
701 886 436
195 351 864
628 732 46
32 558 1
878 923 993
609 952 1
569 632 310
438 872 1
196 858 196
760 770 760
885 1023 856
373 385 1
216 817 737
446 954 185
445 658 678
762 914 156
384 531 993
544 571 324
659 681 675
340 954 185
611 662 1
419 775 775
103 628 1
836 902 1
40 139 1
239 242 1
896 1001 915
161 962 324
307 310 310
682 988 324
435 913 238
35 117 675
130 990 1
97 311 672
59 948 818
121 418 1
712 753 1
831 832 1
310 835 310
197 486 310
630 841 342
151 482 108
873 946 873
698 957 1
781 1023 717
78 803 803
421 690 84
366 753 1
310 873 310
74 1020 199
134 318 324
12 826 999
747 774 1
1 386 1
266 779 1
122 474 156
817 993 993
126 814 1
321 837 1
172 840 310
452 825 1
558 581 883
286 666 807
561 985 310
161 883 1
792 959 98
63 663 663
129 214 542
1 536 1
171 829 156
616 700 164
251 452 324
324 466 324
162 680 202
300 636 324
300 592 676
109 176 676
592 704 98
128 425 1
284 898 284
543 971 1
79 922 993
37 57 37
169 378 1
1 547 1
182 578 1
379 391 1
610 895 610
210 604 162
37 613 37
423 643 643
836 929 772
306 779 1
293 943 293
90 577 233
581 799 1
790 911 1
486 546 310
42 535 42
858 923 196
656 770 324
161 514 132
130 477 324
309 420 1
342 846 342
228 1011 517
671 851 1
153 750 114
686 845 883
156 916 156
47 115 35
12 535 42
275 390 1
67 156 156
712 814 310
207 382 1
39 697 676
1 730 1
415 610 314
211 368 375
564 679 1
334 624 110
245 587 245
387 405 1
728 936 35
484 737 993
156 383 156
1 195 1
49 154 1
98 592 98
123 868 324
245 338 245
14 638 314
444 903 202
385 984 324
531 737 737
669 988 993
589 917 23
389 440 1
494 878 514
455 666 1
473 520 856
147 683 324
515 775 775
388 475 563
289 632 1
375 398 310
227 594 736
335 957 518
252 567 1
228 604 98
125 310 310
143 797 1
678 752 678
563 911 856
180 542 1
579 667 1
144 313 1
8 531 1
97 144 156
571 1006 1
686 833 833
641 708 1
225 426 178
283 638 883
252 907 415
122 397 310
206 1001 915
53 187 310
289 584 1
110 205 310
945 948 1
856 870 310
176 631 1
310 960 310
129 750 1
287 528 856
199 954 310
1 293 1
296 640 489
3 137 3
245 465 245
703 724 1
132 771 132
75 582 556
