1024 91692
537 999 537
866 939 369
37 405 405
17 955 369
483 657 369
310 682 369
364 409 409
100 431 369
113 301 369
468 632 369
46 930 46
324 461 324
109 360 369
351 779 369
278 547 278
332 828 369
130 512 130
677 706 677
452 718 369
32 176 32
339 601 369
457 773 457
555 981 369
113 869 369
500 643 369
808 923 369
615 970 369
176 765 176
348 697 369
244 490 490
54 596 369
411 798 369
435 758 369
872 882 369
371 901 901
196 310 369
448 650 369
808 869 369
454 764 369
4 495 369
525 841 525
841 843 843
503 998 369
634 958 369
487 830 830
602 971 971
38 108 108
315 848 369
416 576 369
39 116 369
174 920 174
968 1019 369
955 987 369
347 569 569
561 676 369
368 675 369
254 643 254
444 612 369
725 809 369
62 814 369
92 281 369
220 646 369
806 871 806
647 872 369
725 820 820
512 579 369
203 442 203
643 756 756
519 818 369
163 724 369
429 675 369
389 993 369
131 912 131
565 844 369
77 368 369
248 336 369
227 242 242
504 783 504
670 887 670
85 631 369
625 854 854
309 828 369
598 733 369
80 383 369
73 882 369
416 704 369
119 701 369
773 1008 369
687 871 369
508 846 369
783 920 783
11 667 369
291 549 369
217 405 405
397 543 543
148 323 323
341 380 369
331 448 369
540 793 793
53 360 369
175 782 369
237 448 237
507 868 369
500 714 369
401 987 369
580 831 580
828 938 369
868 909 909
73 596 369
676 946 369
561 808 369
668 725 369
127 1003 369
368 624 624
466 870 466
67 547 369
101 354 354
871 998 369
159 239 369
780 857 857
31 567 369
287 874 369
729 946 369
39 977 369
832 848 369
133 1019 369
401 1016 1016
62 679 369
79 707 369
565 1001 1001
195 315 369
152 761 761
353 809 369
414 547 369
106 336 369
916 949 949
81 752 369
31 915 369
177 1008 369
400 436 436
332 813 369
339 351 369
175 724 369
555 650 369
100 700 369
601 672 369
658 847 847
446 492 369
97 646 369
390 891 369
128 370 369
4 973 369
325 932 369
4 939 369
85 225 369
729 795 369
681 931 931
26 1018 369
105 108 108
85 232 369
524 841 524
247 935 369
218 705 369
541 764 369
97 435 369
247 255 369
202 509 369
654 662 662
252 576 369
240 509 369
10 318 318
302 671 369
237 467 237
362 734 362
296 547 369
717 768 369
502 1003 502
172 694 694
446 530 369
508 935 369
31 658 369
113 378 378
469 540 369
612 647 369
223 764 369
336 647 369
446 583 583
53 144 369
704 848 369
351 832 369
275 368 275
512 938 369
751 939 369
109 195 369
860 978 369
133 225 369
390 782 369
782 848 369
595 699 699
180 892 892
120 705 120
841 892 892
469 724 369
469 731 369
508 725 369
15 666 15
192 800 800
507 935 369
106 839 839
270 468 369
342 1023 369
704 768 369
443 972 443
300 647 300
82 477 477
704 923 369
129 277 129
127 390 369
687 968 369
348 564 369
31 929 369
779 938 369
795 868 369
519 598 369
344 463 344
203 543 543
226 729 369
446 679 369
897 993 369
166 363 166
301 492 369
320 509 369
102 196 369
38 446 369
603 759 759
341 754 369
344 736 344
13 353 369
11 818 369
186 549 186
327 675 369
339 676 369
19 1024 19
193 775 369
175 845 369
576 914 369
208 969 208
138 725 369
147 669 669
14 728 728
216 939 369
92 768 369
361 692 692
135 848 369
911 971 971
401 420 369
85 155 155
140 183 183
159 564 369
795 987 369
599 798 599
202 752 369
582 647 369
351 919 369
38 87 369
679 923 369
362 971 362
235 913 235
494 724 369
158 532 532
646 979 369
193 416 369
128 442 369
582 788 369
432 493 432
688 872 688
217 798 369
267 414 369
401 899 369
36 269 269
288 841 288
370 509 369
38 899 369
21 634 369
61 410 410
471 919 471
4 1022 369
625 877 877
376 968 369
668 773 369
370 1022 369
252 383 369
420 818 369
252 936 369
673 841 369
153 244 153
6 954 6
218 365 369
375 660 369
270 360 369
365 545 369
561 915 369
315 350 369
434 874 369
313 322 369
248 708 369
969 986 369
657 973 369
827 955 369
577 700 369
520 667 369
244 299 244
41 744 41
189 780 780
935 992 992
142 793 793
77 370 369
88 270 369
252 567 369
85 350 369
405 635 405
390 685 369
6 146 6
633 1022 369
302 376 369
99 763 763
460 851 851
642 668 369
799 973 369
339 700 369
71 1013 1013
453 519 369
301 315 369
375 918 918
722 795 369
555 751 369
54 375 369
66 452 369
69 562 69
587 867 867
11 758 369
773 804 369
312 797 797
291 826 369
128 366 369
442 482 369
540 682 369
232 314 369
803 981 803
314 416 369
172 811 172
138 534 369
709 808 369
646 946 369
