1024 100000
1 335 1
165 335 335
165 477 165
477 529 477
81 529 529
81 803 81
801 803 803
801 871 801
309 871 871
309 418 309
303 418 418
303 809 303
329 809 809
329 436 329
436 740 436
740 820 740
820 1007 820
419 1007 1007
273 419 419
120 273 273
120 859 120
712 859 859
198 712 712
118 198 198
118 131 118
131 954 131
343 954 954
343 687 343
92 687 687
92 760 92
595 760 760
595 1006 595
11 1006 1006
11 237 11
237 362 237
362 690 362
690 715 690
234 715 715
234 522 234
475 522 522
123 475 475
123 559 123
559 823 559
235 823 823
235 333 235
333 646 333
646 1017 646
571 1017 1017
299 571 571
299 481 299
481 930 481
608 930 930
608 770 608
770 826 770
319 826 826
319 900 319
326 900 900
77 326 326
77 793 77
581 793 793
108 581 581
99 108 108
99 916 99
524 916 916
323 524 524
42 323 323
42 259 42
259 819 259
819 906 819
540 906 906
540 750 540
750 989 750
51 989 989
51 807 51
721 807 807
721 878 721
318 878 878
318 648 318
648 722 648
421 722 722
421 438 421
438 613 438
157 613 613
157 634 157
555 634 634
269 555 555
269 808 269
135 808 808
135 548 135
548 765 548
212 765 765
212 1008 212
393 1008 1008
393 466 393
402 466 466
402 656 402
217 656 656
217 232 217
232 727 232
199 727 727
37 199 199
37 398 37
398 516 398
516 1004 516
790 1004 1004
392 790 790
352 392 392
352 771 352
440 771 771
440 703 440
106 703 703
106 288 106
288 806 288
605 806 806
434 605 605
434 774 434
774 866 774
28 866 866
28 62 28
62 513 62
263 513 513
140 263 263
20 140 140
20 948 20
914 948 948
641 914 914
618 641 641
214 618 618
214 688 214
551 688 688
551 990 551
122 990 990
122 743 122
286 743 743
286 680 286
115 680 680
115 675 115
675 773 675
66 773 773
66 485 66
410 485 485
410 824 410
486 824 824
486 599 486
599 837 599
650 837 837
447 650 650
447 543 447
543 902 543
600 902 902
483 600 600
483 912 483
400 912 912
328 400 400
105 328 328
105 420 105
133 420 420
133 946 133
164 946 946
164 387 164
40 387 387
40 598 40
225 598 598
223 225 225
223 397 223
397 723 397
4 723 723
4 911 4
88 911 911
88 314 88
314 709 314
487 709 709
408 487 487
408 1009 408
112 1009 1009
112 1005 112
668 1005 1005
363 668 668
363 575 363
523 575 575
312 523 523
184 312 312
184 531 184
531 1001 531
616 1001 1001
134 616 616
134 255 134
255 612 255
76 612 612
76 458 76
458 903 458
166 903 903
166 203 166
203 845 203
519 845 845
519 520 519
85 520 520
85 797 85
52 797 797
52 378 52
378 816 378
194 816 816
16 194 194
16 920 16
346 920 920
346 576 346
455 576 576
74 455 455
74 132 74
132 970 132
229 970 970
229 904 229
15 904 904
15 296 15
296 368 296
368 815 368
815 917 815
472 917 917
251 472 472
251 369 251
369 619 369
619 925 619
130 925 925
130 936 130
271 936 936
271 448 271
321 448 448
321 891 321
262 891 891
162 262 262
162 742 162
347 742 742
91 347 347
91 178 91
178 996 178
219 996 996
174 219 219
174 831 174
450 831 831
147 450 450
124 147 147
114 124 124
94 114 114
94 315 94
315 386 315
386 934 386
515 934 934
515 660 515
370 660 660
370 473 370
473 611 473
394 611 611
349 394 394
349 870 349
755 870 870
679 755 755
414 679 679
414 546 414
546 678 546
678 791 678
549 791 791
279 549 549
279 821 279
97 821 821
97 738 97
405 738 738
405 869 405
188 869 869
80 188 188
80 835 80
282 835 835
282 997 282
451 997 997
451 592 451
592 968 592
763 968 968
562 763 763
562 732 562
383 732 732
316 383 383
102 316 316
102 854 102
854 985 854
714 985 985
113 714 714
113 249 113
249 804 249
72 804 804
72 652 72
622 652 652
622 781 622
781 962 781
407 962 962
407 479 407
479 607 479
437 607 607
153 437 437
61 153 153
61 972 61
350 972 972
350 1020 350
218 1020 1020
218 751 218
751 992 751
741 992 992
73 741 741
73 221 73
221 283 221
109 283 283
109 949 109
78 949 949
78 856 78
429 856 856
429 986 429
795 986 986
442 795 795
224 442 442
224 585 224
449 585 585
449 863 449
863 974 863
883 974 974
137 883 883
137 183 137
19 183 183
19 59 19
59 552 59
552 699 552
139 699 699
139 428 139
186 428 428
71 186 186
71 553 71
553 731 553
334 731 731
334 789 334
289 789 789
207 289 289
207 867 207
867 889 867
602 889 889
602 984 602
800 984 984
104 800 800
104 754 104
189 754 754
189 586 189
586 981 586
677 981 981
677 684 677
238 684 684
142 238 238
110 142 142
110 865 110
865 1011 865
489 1011 1011
205 489 489
32 205 205
32 971 32
615 971 971
341 615 615
341 604 341
604 764 604
764 918 764
533 918 918
290 533 533
290 413 290
413 432 413
136 432 432
136 265 136
265 330 265
197 330 330
197 375 197
375 748 375
638 748 748
129 638 638
129 306 129
27 306 306
27 417 27
26 417 417
26 913 26
913 1012 913
87 1012 1012
87 725 87
381 725 725
381 534 381
482 534 534
482 643 482
643 955 643
277 955 955
277 606 277
606 630 606
625 630 630
337 625 625
39 337 337
39 842 39
446 842 842
446 511 446
374 511 511
191 374 374
191 829 191
667 829 829
264 667 667
264 720 264
627 720 720
206 627 627
116 206 206
116 772 116
772 810 772
253 810 810
253 672 253
672 724 672
307 724 724
307 876 307
215 876 876
215 583 215
583 850 583
63 850 850
63 623 63
423 623 623
168 423 423
13 168 168
13 713 13
457 713 713
143 457 457
143 1015 143
545 1015 1015
545 938 545
783 938 938
18 783 783
18 35 18
35 406 35
406 426 406
426 991 426
536 991 991
57 536 536
12 57 57
12 358 12
358 858 358
490 858 858
49 490 490
49 994 49
994 1013 994
372 1013 1013
372 786 372
691 786 786
79 691 691
79 832 79
832 945 832
928 945 945
411 928 928
411 566 411
415 566 566
209 415 415
125 209 209
125 999 125
852 999 999
236 852 852
236 526 236
117 526 526
117 404 117
254 404 404
254 538 254
245 538 538
245 503 245
7 503 503
7 558 7
558 657 558
579 657 657
320 579 579
320 927 320
156 927 927
156 689 156
689 733 689
733 907 733
144 907 907
144 339 144
339 698 339
698 908 698
556 908 908
556 1016 556
734 1016 1016
239 734 734
239 385 239
60 385 385
58 60 60
58 708 58
708 1023 708
753 1023 1023
753 811 753
651 811 811
228 651 651
228 890 228
342 890 890
158 342 342
158 988 158
471 988 988
471 802 471
661 802 802
661 982 661
459 982 982
459 851 459
851 915 851
527 915 915
444 527 527
444 964 444
331 964 964
285 331 331
161 285 285
161 452 161
452 508 452
508 633 508
200 633 633
200 539 200
539 839 539
799 839 839
196 799 799
196 919 196
175 919 919
175 499 175
499 853 499
476 853 853
160 476 476
160 662 160
278 662 662
278 454 278
454 597 454
597 887 597
193 887 887
193 696 193
366 696 696
34 366 366
34 785 34
55 785 785
55 395 55
395 695 395
468 695 695
70 468 468
70 465 70
101 465 465
101 211 101
148 211 211
56 148 148
56 89 56
89 172 89
69 172 172
69 345 69
345 495 345
93 495 495
93 922 93
430 922 922
177 430 430
177 794 177
353 794 794
353 572 353
572 730 572
149 730 730
149 325 149
170 325 325
170 960 170
338 960 960
252 338 338
252 952 252
502 952 952
502 640 502
640 788 640
250 788 788
250 361 250
305 361 361
305 926 305
844 926 926
31 844 844
31 749 31
348 749 749
348 884 348
390 884 884
390 488 390
180 488 488
180 923 180
735 923 923
308 735 735
126 308 308
126 141 126
141 973 141
828 973 973
784 828 828
181 784 784
181 665 181
441 665 665
412 441 441
351 412 412
351 364 351
364 673 364
500 673 673
327 500 500
246 327 327
246 892 246
220 892 892
220 705 220
705 739 705
739 929 739
929 958 929
433 958 958
433 624 433
216 624 624
216 291 216
45 291 291
2 45 45
2 776 2
424 776 776
424 492 424
456 492 492
304 456 456
179 304 304
21 179 179
21 267 21
267 966 267
857 966 966
67 857 857
67 570 67
192 570 570
192 213 192
213 311 213
182 311 311
182 683 182
683 961 683
541 961 961
541 590 541
590 855 590
169 855 855
169 654 169
359 654 654
359 653 359
554 653 653
554 1021 554
506 1021 1021
195 506 506
10 195 195
10 294 10
241 294 294
190 241 241
190 987 190
388 987 987
388 874 388
874 963 874
360 963 963
360 893 360
453 893 893
453 817 453
682 817 817
682 780 682
780 880 780
535 880 880
298 535 535
298 762 298
469 762 762
355 469 469
355 517 355
47 517 517
47 787 47
173 787 787
173 674 173
674 729 674
706 729 729
659 706 706
659 766 659
542 766 766
491 542 542
38 491 491
38 528 38
528 704 528
704 745 704
41 745 745
41 676 41
676 979 676
885 979 979
8 885 885
8 384 8
300 384 384
300 591 300
244 591 591
30 244 244
30 403 30
403 621 403
150 621 621
150 995 150
614 995 995
614 686 614
356 686 686
3 356 356
3 54 3
54 895 54
494 895 895
46 494 494
46 373 46
373 445 373
445 563 445
377 563 563
377 620 377
620 873 620
642 873 873
138 642 642
138 836 138
752 836 836
719 752 752
631 719 719
631 681 631
681 716 681
5 716 716
5 23 5
23 636 23
365 636 636
365 736 365
701 736 736
461 701 701
461 757 461
167 757 757
83 167 167
83 1024 83
969 1024 1024
227 969 969
227 639 227
509 639 639
155 509 509
155 744 155
693 744 744
574 693 693
574 609 574
463 609 609
260 463 463
260 376 260
145 376 376
145 868 145
846 868 868
33 846 846
33 977 33
587 977 977
587 872 587
649 872 872
310 649 649
310 843 310
103 843 843
103 127 103
127 247 127
6 247 247
6 68 6
68 862 68
637 862 862
357 637 637
357 942 357
501 942 942
163 501 501
82 163 163
82 324 82
324 978 324
287 978 978
287 670 287
367 670 670
208 367 367
208 256 208
256 941 256
702 941 941
95 702 702
95 956 95
603 956 956
603 894 603
894 939 894
257 939 939
257 317 257
317 834 317
443 834 834
443 626 443
261 626 626
261 663 261
663 756 663
756 875 756
875 1022 875
568 1022 1022
568 921 568
36 921 921
36 1014 36
886 1014 1014
550 886 886
380 550 550
276 380 380
276 838 276
737 838 838
532 737 737
532 932 532
910 932 932
464 910 910
464 530 464
530 937 530
474 937 937
233 474 474
121 233 233
121 275 121
50 275 275
50 1018 50
431 1018 1018
431 685 431
671 685 685
107 671 671
107 416 107
416 669 416
266 669 669
266 588 266
588 658 588
596 658 658
596 711 596
589 711 711
293 589 589
185 293 293
185 967 185
565 967 967
565 761 565
635 761 761
635 899 635
557 899 899
557 905 557
100 905 905
100 841 100
841 931 841
567 931 931
86 567 567
22 86 86
22 409 22
409 864 409
354 864 864
201 354 354
146 201 201
146 230 146
230 569 230
569 601 569
512 601 601
512 580 512
580 943 580
467 943 943
467 561 467
75 561 561
24 75 75
24 514 24
222 514 514
222 694 222
560 694 694
439 560 560
435 439 439
435 993 435
272 993 993
272 798 272
48 798 798
48 460 48
460 484 460
231 484 484
231 664 231
664 777 664
777 998 777
976 998 998
202 976 976
202 935 202
594 935 935
594 965 594
700 965 965
240 700 700
240 792 240
332 792 792
322 332 332
322 547 322
226 547 547
119 226 226
119 940 119
779 940 940
497 779 779
497 758 497
564 758 758
243 564 564
243 710 243
274 710 710
274 504 274
504 814 504
778 814 814
775 778 778
775 805 775
805 833 805
505 833 833
295 505 505
280 295 295
280 336 280
336 544 336
9 544 544
9 1010 9
769 1010 1010
769 950 769
25 950 950
25 152 25
152 953 152
827 953 953
767 827 827
767 882 767
840 882 882
128 840 840
128 391 128
154 391 391
154 498 154
498 593 498
593 860 593
860 888 860
389 888 888
389 818 389
379 818 818
379 1002 379
297 1002 1002
151 297 297
151 812 151
518 812 812
518 632 518
43 632 632
43 645 43
521 645 645
521 813 521
647 813 813
647 717 647
717 983 717
478 983 983
478 796 478
796 975 796
187 975 975
187 573 187
480 573 573
399 480 480
399 507 399
302 507 507
302 847 302
313 847 847
313 697 313
697 877 697
65 877 877
65 897 65
270 897 897
270 901 270
242 901 901
242 644 242
644 728 644
728 957 728
14 957 957
14 1019 14
427 1019 1019
427 782 427
782 1003 782
248 1003 1003
248 849 248
849 933 849
655 933 933
284 655 655
258 284 284
258 425 258
425 617 425
17 617 617
17 98 17
98 692 98
692 980 692
584 980 980
292 584 584
292 848 292
666 848 848
666 909 666
610 909 909
610 879 610
204 879 879
204 401 204
401 947 401
422 947 947
422 578 422
268 578 578
53 268 268
53 1000 53
340 1000 1000
210 340 340
210 462 210
462 951 462
822 951 951
525 822 822
64 525 525
64 344 64
344 510 344
171 510 510
171 371 171
371 726 371
29 726 726
29 96 29
96 493 96
493 577 493
577 629 577
301 629 629
301 825 301
90 825 825
90 959 90
84 959 959
84 159 84
111 159 159
111 768 111
747 768 768
281 747 747
281 396 281
396 582 396
582 944 582
537 944 944
537 628 537
382 628 628
382 496 382
496 707 496
707 861 707
470 861 861
470 896 470
830 896 896
830 898 830
44 898 898
44 759 44
746 759 759
746 881 746
718 881 881
718 924 718
176 924 924
1 165 1
