128 3540
97 104 1
88 104 1
104 123 1
53 104 1
42 104 1
5 25 104
5 55 104
5 39 104
5 18 104
5 62 104
27 111 5
27 41 5
27 125 5
27 59 5
2 27 5
85 89 27
89 112 27
74 89 27
37 89 27
4 89 27
3 99 89
99 126 89
17 99 89
99 114 89
98 99 89
16 46 99
46 67 99
46 52 99
46 79 99
46 75 99
12 72 46
12 54 46
12 121 46
12 83 46
12 86 46
61 63 12
20 61 12
61 103 12
32 61 12
61 101 12
15 128 61
23 128 61
110 128 61
120 128 61
14 128 61
51 90 128
76 90 128
9 90 128
90 102 128
80 90 128
24 71 90
29 71 90
71 73 90
43 71 90
26 71 90
44 119 71
56 119 71
92 119 71
105 119 71
50 119 71
13 127 119
13 82 119
13 122 119
13 49 119
13 94 119
30 96 13
96 109 13
21 96 13
93 96 13
35 96 13
108 115 96
115 117 96
70 115 96
106 115 96
77 115 96
7 78 115
7 57 115
7 47 115
7 28 115
7 84 115
68 116 7
6 116 7
19 116 7
45 116 7
40 116 7
38 91 116
8 38 116
34 38 116
38 65 116
31 38 116
48 81 38
48 113 38
48 58 38
48 118 38
33 48 38
64 95 48
64 69 48
64 100 48
64 124 48
64 66 48
10 107 64
10 36 64
10 11 64
10 60 64
10 87 64
22 97 1
22 88 1
22 123 1
22 53 1
22 42 1
22 25 104
22 55 104
22 39 104
18 22 104
22 62 104
22 111 5
22 41 5
22 125 5
22 59 5
2 22 5
22 85 27
22 112 27
22 74 27
22 37 27
4 22 27
3 22 89
22 126 89
17 22 89
22 114 89
22 98 89
16 22 99
22 67 99
22 52 99
22 79 99
22 75 99
22 72 46
22 54 46
22 121 46
22 83 46
22 86 46
22 63 12
20 22 12
22 103 12
22 32 12
22 101 12
15 22 61
22 23 61
22 110 61
22 120 61
14 22 61
22 51 128
22 76 128
9 22 128
22 102 128
22 80 128
22 24 90
22 29 90
22 73 90
22 43 90
22 26 90
22 44 71
22 56 71
22 92 71
22 105 71
22 50 71
22 127 119
22 82 119
22 122 119
22 49 119
22 94 119
22 30 13
22 109 13
21 22 13
22 93 13
22 35 13
22 108 96
22 117 96
22 70 96
22 106 96
22 77 96
22 78 115
22 57 115
22 47 115
22 28 115
22 84 115
22 68 7
6 22 7
19 22 7
22 45 7
22 40 7
22 91 116
8 22 116
22 34 116
22 65 116
22 31 116
22 81 38
22 113 38
22 58 38
22 118 38
22 33 38
22 95 48
22 69 48
22 100 48
22 124 48
22 66 48
22 107 64
22 36 64
11 22 64
22 60 64
22 87 64
1 22 1
22 104 104
5 22 5
22 27 27
22 89 89
22 99 99
22 46 46
12 22 12
22 61 61
22 128 128
22 90 90
22 71 71
22 119 119
13 22 13
22 96 96
22 115 115
7 22 7
22 116 116
22 38 38
22 48 48
22 64 64
10 22 10
4 74 27
53 123 1
8 31 116
42 88 1
76 80 128
12 43 12
96 128 128
69 100 48
14 96 61
75 104 104
57 84 115
86 121 46
113 118 38
25 62 104
52 67 99
2 41 5
17 98 89
64 99 99
110 120 61
27 32 27
70 108 96
81 113 38
91 127 119
3 104 104
70 77 96
101 103 12
55 62 104
14 89 89
18 55 104
39 87 104
30 93 13
5 70 5
108 122 119
1 42 1
16 44 99
25 104 104
1 80 1
122 127 119
43 88 1
49 127 119
69 124 48
18 62 104
15 120 61
6 95 7
31 34 116
47 107 115
57 113 115
108 113 96
8 91 116
27 86 27
26 104 104
1 104 1
37 74 27
35 109 13
1 27 1
5 83 5
94 124 119
58 118 38
23 120 61
95 124 48
15 28 61
50 105 71
67 75 99
3 53 1
4 85 27
11 116 116
78 84 115
60 80 128
89 121 89
26 43 90
29 73 90
34 65 116
5 54 5
77 117 96
12 24 12
24 104 104
5 85 5
3 70 89
63 119 12
46 85 27
36 60 64
7 107 7
57 85 27
57 71 71
3 126 89
67 79 99
35 61 61
77 109 13
3 48 89
34 58 116
64 116 116
75 79 99
56 92 71
58 113 38
3 30 89
77 96 96
44 89 89
77 85 27
18 39 104
41 59 5
36 40 7
1 88 1
6 122 119
61 110 61
28 58 115
5 7 5
35 121 46
21 35 13
40 69 7
1 117 1
96 104 104
79 91 99
27 33 27
61 93 61
33 81 38
65 112 27
20 89 89
42 103 1
52 99 99
86 87 46
1 52 1
3 87 89
19 79 99
36 94 119
51 76 128
31 36 116
14 32 12
85 112 27
19 94 119
49 122 119
17 66 89
80 102 128
68 118 7
49 119 119
81 118 38
9 51 128
15 121 46
114 115 89
5 104 104
56 120 61
105 120 61
12 68 12
25 55 104
6 45 7
95 125 5
15 63 12
19 81 7
108 119 119
5 26 5
25 77 104
93 108 13
1 2 1
33 118 38
54 78 46
32 103 12
42 128 1
66 69 48
20 63 12
1 20 1
20 103 12
12 107 12
41 60 5
97 123 1
56 105 71
78 92 71
70 106 96
27 68 27
9 30 128
11 89 89
44 105 71
43 47 90
28 78 115
7 81 7
14 15 61
31 65 116
68 107 7
11 19 7
20 123 1
54 117 46
43 73 90
13 108 13
55 104 104
53 97 1
36 93 13
13 77 13
26 115 90
77 103 12
90 104 104
61 126 89
52 75 99
58 81 38
7 119 119
72 121 46
1 99 1
2 94 5
72 102 46
6 69 7
24 60 90
67 100 99
80 104 104
69 95 48
2 125 5
14 110 61
1 112 1
63 101 12
70 117 96
7 31 7
29 113 90
82 122 119
21 49 119
47 57 115
10 105 71
40 68 7
1 34 1
36 78 115
64 92 71
2 93 5
108 124 96
34 82 119
80 99 99
6 46 46
5 49 5
1 44 1
