512 22172
81 271 1
81 228 1
81 435 1
67 123 81
67 172 81
67 161 81
28 206 67
194 206 67
158 206 67
99 327 206
99 379 206
34 99 206
146 367 99
311 367 99
41 367 99
72 229 367
72 460 367
58 72 367
403 417 72
10 417 72
16 417 72
235 459 417
235 237 417
100 235 417
66 493 235
175 493 235
96 493 235
193 361 493
57 193 493
193 411 493
31 340 193
340 373 193
113 340 193
87 207 340
104 207 340
207 437 340
145 458 207
410 458 207
119 458 207
341 362 458
329 362 458
335 362 458
223 369 362
120 369 362
230 369 362
69 494 369
377 494 369
226 494 369
85 187 494
132 187 494
182 187 494
242 245 187
88 245 187
244 245 187
20 288 245
20 330 245
14 20 245
346 389 20
227 389 20
314 389 20
21 456 389
456 501 389
183 456 389
30 215 456
215 363 456
215 391 456
111 174 215
110 174 215
83 174 215
164 177 174
164 468 174
37 164 174
40 71 164
71 270 164
71 282 164
217 302 71
275 302 71
70 302 71
24 322 302
24 489 302
24 108 302
45 53 24
53 483 24
53 154 24
170 259 53
170 451 53
170 239 53
307 375 170
375 400 170
372 375 170
32 387 375
32 418 375
29 32 375
264 331 32
264 474 32
264 310 32
109 150 264
55 109 264
109 280 264
221 338 109
338 475 109
107 338 109
115 197 338
197 396 338
197 485 338
6 68 197
6 476 197
6 405 197
18 423 6
18 168 6
18 211 6
79 357 18
79 332 18
79 370 18
272 321 79
272 339 79
272 487 79
262 358 272
180 262 272
140 262 272
47 128 262
47 505 262
47 278 262
75 482 47
75 479 47
75 308 47
98 419 75
98 345 75
91 98 75
304 414 98
304 420 98
210 304 98
165 342 304
127 165 304
165 421 304
208 388 165
118 208 165
208 219 165
248 453 208
430 453 208
337 453 208
153 198 453
198 428 453
166 198 453
188 294 198
294 510 198
277 294 198
133 202 294
202 313 294
63 202 294
11 303 202
11 320 202
11 59 202
3 97 11
3 319 11
3 409 11
62 203 3
62 252 3
62 368 3
39 265 62
265 408 62
155 265 62
90 495 265
444 495 265
246 495 265
478 486 495
442 478 495
352 478 495
422 461 478
461 500 478
436 461 478
95 142 461
142 390 461
142 445 461
185 496 142
204 496 142
36 496 142
126 511 496
