512 13148
78 507 2
253 336 1
320 494 84
41 313 1
13 378 1
192 337 11
363 381 1
78 166 2
260 469 1
170 310 136
138 380 2
116 318 1
57 506 57
180 418 1
85 434 1
269 331 1
8 60 8
122 151 30
89 197 67
79 118 20
55 375 33
381 484 26
338 463 2
11 424 11
299 330 1
5 148 1
239 246 1
262 417 2
136 166 1
306 420 2
298 336 2
17 508 17
365 438 1
145 485 1
1 41 1
411 508 19
128 439 1
134 294 1
124 194 1
12 91 12
32 482 2
23 389 4
78 88 9
448 491 7
57 114 2
1 352 1
209 322 1
262 434 2
197 346 1
487 510 1
7 158 1
78 470 9
87 221 1
120 492 84
162 281 1
21 448 2
280 364 18
91 321 91
227 393 90
273 324 1
278 327 278
128 504 1
313 374 1
382 501 1
27 445 27
25 146 25
119 309 100
21 264 21
14 227 1
14 442 1
329 451 1
89 479 4
151 186 1
7 25 7
302 319 7
284 321 1
126 228 1
84 442 1
165 310 1
1 425 1
265 344 7
144 344 1
205 407 39
128 465 1
380 392 168
280 333 280
140 318 1
114 121 2
296 400 46
243 303 49
100 168 1
296 492 46
416 510 8
386 456 1
111 356 1
213 406 16
9 406 1
1 130 1
133 238 1
257 283 9
176 461 4
280 411 18
12 121 12
262 305 2
69 397 1
476 478 476
424 478 2
264 393 1
230 365 9
1 145 1
80 478 1
16 218 16
311 469 1
175 425 1
171 459 46
1 36 1
240 438 72
74 439 1
30 157 1
209 272 1
69 289 6
216 243 49
31 408 1
7 124 2
194 457 49
7 146 7
179 280 1
165 496 1
206 329 9
19 86 19
137 260 13
114 428 114
179 343 1
191 448 7
250 339 7
74 177 1
214 476 2
415 492 1
50 70 19
111 425 111
97 506 9
164 403 24
239 342 1
13 490 1
51 393 1
32 125 1
311 415 8
68 152 1
218 433 1
20 242 20
285 379 4
67 292 1
140 425 1
39 301 7
207 282 1
135 319 2
272 388 1
155 206 44
3 138 3
100 119 100
178 230 1
435 510 1
245 440 4
273 367 2
10 282 1
40 287 1
49 306 1
31 510 1
185 195 1
135 147 12
211 403 2
278 357 14
430 471 10
277 500 6
1 347 1
246 280 1
63 246 2
6 69 6
3 123 2
44 108 1
138 224 1
136 353 41
214 299 1
354 412 72
102 163 4
45 280 18
439 444 25
140 362 9
14 461 13
25 258 2
147 261 42
25 463 2
197 491 1
131 423 1
367 478 2
117 260 1
191 463 2
231 428 2
3 235 2
105 457 1
68 510 1
75 285 1
340 508 19
6 240 6
339 491 25
29 394 1
1 411 1
33 60 1
300 317 1
23 379 23
99 230 31
355 432 1
67 341 1
12 495 12
378 397 11
233 349 9
11 210 11
182 256 1
365 496 9
336 361 1
182 327 13
111 223 1
1 154 1
7 406 1
138 258 2
198 301 1
307 417 2
356 497 1
300 404 1
462 487 1
37 401 37
36 88 36
77 500 1
22 61 1
250 284 1
275 306 9
68 446 11
275 502 53
407 439 39
183 503 1
390 475 248
369 398 6
333 408 1
99 295 31
301 357 1
9 118 9
6 354 6
25 325 2
238 426 1
9 486 9
314 458 168
158 406 16
2 164 2
122 423 30
61 151 26
402 488 4
135 258 53
153 404 1
153 175 1
259 433 168
16 101 16
4 231 1
331 473 331
417 501 114
39 180 1
18 399 1
39 272 39
1 139 1
279 289 1
407 493 25
12 223 2
2 3 2
59 298 2
117 254 1
354 492 6
2 87 2
1 412 1
59 389 1
9 99 9
7 272 7
212 253 1
49 162 49
158 332 1
41 167 41
327 440 14
262 428 2
140 276 2
1 143 1
61 426 1
379 405 4
144 229 1
178 469 1
216 478 1
476 477 3
277 294 1
238 504 1
311 420 1
24 268 1
288 394 1
154 260 13
64 194 1
4 74 1
8 364 8
408 473 1
53 490 53
26 40 1
8 250 1
4 357 4
344 359 2
368 412 1
319 483 2
9 139 9
48 122 1
232 297 106
42 235 42
41 399 1
24 203 1
340 365 1
217 311 1
63 360 1
321 365 9
44 226 1
220 458 1
96 352 36
98 242 53
173 456 1
4 64 4
103 252 6
38 78 1
56 164 1
36 169 1
51 110 37
2 248 2
226 318 1
33 210 33
378 450 1
270 501 270
11 453 1
152 294 16
176 249 6
353 468 41
124 478 2
24 279 1
248 250 248
222 246 9
19 485 19
80 172 1
201 403 9
82 384 9
9 495 9
79 122 1
78 468 1
136 274 136
7 191 7
109 263 109
92 321 1
347 376 91
1 470 1
115 261 42
116 454 1
115 258 12
37 38 6
69 311 1
408 508 1
269 424 1
13 62 1
15 389 4
102 386 1
458 466 168
25 412 1
208 432 1
84 492 84
201 362 201
86 133 19
175 368 175
279 417 1
180 301 1
5 379 4
374 382 346
321 435 321
14 232 4
35 496 1
105 289 4
25 444 25
3 434 3
143 297 1
8 129 8
346 425 1
297 412 6
6 234 6
73 434 1
156 169 1
223 302 205
379 479 102
115 499 1
349 387 12
117 182 1
272 439 104
168 358 1
192 232 1
20 345 20
20 79 20
59 204 25
131 406 1
44 193 9
6 39 1
239 412 1
112 171 1
76 141 1
1 493 1
2 34 2
138 360 1
254 472 1
171 252 171
1 348 1
26 240 1
151 477 1
1 65 1
131 410 2
422 469 279
248 482 2
88 126 88
76 508 19
131 273 2
81 264 81
339 400 1
91 235 42
218 391 1
128 503 10
158 352 1
221 224 1
14 362 1
67 278 4
114 338 114
115 356 2
