8192 100000
2803 6733 6931
178 4919 3991
3876 3990 443
274 4424 4424
3384 4030 2188
3390 4975 2034
2460 5751 2022
369 2108 2108
5389 7181 5389
3643 8035 3643
5328 5772 460
2741 3179 1462
3556 4993 4806
3999 5085 5290
3241 3900 3900
1578 4870 1578
3819 6055 3765
5319 6891 218
7532 7858 2482
3888 6947 1312
3245 5248 3484
1619 4434 4317
3917 7627 4651
6011 6054 2006
5511 7447 5511
1315 7236 8130
4248 7952 4248
3868 5325 5325
2265 5488 5488
4281 6619 1123
1770 5576 3095
7199 7805 7199
2907 4137 2907
3566 5580 5522
929 1506 929
538 7201 2138
5320 6074 5320
2919 5366 473
1328 6432 2498
3032 5768 5768
4838 5104 5104
6073 7172 6622
4397 4971 6161
6785 7695 4261
7 875 875
1811 2012 5606
3876 7751 4719
2415 6155 2415
4439 4441 5574
2152 6812 2152
632 3876 6447
3876 7866 6967
1507 6195 4010
3156 7270 1306
2998 3465 6616
539 5751 2022
2695 5125 7651
6397 6949 6949
4488 5728 439
4017 7682 2039
819 3876 2904
315 1756 1031
5242 7276 4278
5944 7095 7786
1533 4988 4547
5365 6680 4539
1655 2470 5424
1684 2691 4460
6779 7906 7906
2457 5849 6600
4699 5437 276
2147 7299 134
5982 8186 8186
442 3645 3645
717 6721 7092
2229 6529 7040
327 4881 2522
402 5716 2252
7046 8017 8017
7223 8033 2398
3566 5617 5617
1823 4958 4958
353 6451 6673
204 3292 204
1352 5616 6038
2898 8138 2898
1662 5106 7362
3555 3876 4111
3876 5142 5142
3349 6873 3349
2402 3355 2402
2030 4804 5637
166 2173 1335
1457 3894 5475
1379 6972 6972
3911 7314 2489
6821 6990 6990
1647 2946 1647
2128 6048 1007
3126 4647 4647
4328 8010 4328
2503 7903 2503
4193 7549 4193
65 7998 6388
3607 6410 3607
1782 7451 7704
4585 6210 5185
1216 4725 2165
833 7983 4353
1991 2885 3068
2229 4406 7040
167 3876 167
7380 8097 8097
655 5097 6552
2744 5906 753
3876 6213 7109
1243 1402 4268
675 4450 3853
1303 3876 7196
492 5517 1751
178 2822 1974
