8192 7167
3876 7566 7566
5422 6798 6965
6359 7804 1185
1750 5002 1468
874 3360 7285
3876 7945 7945
4472 7854 2446
3876 5700 5700
3122 3876 3122
2759 3876 2759
2928 3474 2625
4173 7987 2891
1007 5250 6992
984 6537 4659
1578 4288 8152
1970 7147 454
31 3876 31
367 3353 1764
1240 7583 771
2746 2952 6945
2865 3658 6705
4492 7855 6712
2573 4932 2795
3881 5029 4477
2675 4465 3770
3764 5005 5313
2339 3876 2339
2658 3876 2658
6344 8035 3595
2887 2957 4719
1779 6920 2168
2466 4985 2875
3725 5483 7394
3876 4078 4078
2958 6621 7944
4472 6960 2446
3876 4059 4059
1375 5669 1709
631 7356 5986
1873 3158 5598
6824 7927 2274
1585 4165 3486
5240 5937 2002
5588 7784 724
3921 6081 5380
289 6598 545
821 7963 4277
352 4526 3109
1276 3683 4217
6924 7767 3439
4001 7387 8070
2001 4190 8101
3876 5719 5719
2089 5982 3364
698 3876 698
2390 7466 5646
4277 7030 3669
5870 6365 7110
1252 6659 5438
2799 7218 374
1053 5763 4698
2911 3876 2911
3876 7689 7689
3522 5948 269
3715 3791 1767
1683 2355 4676
4934 5336 6206
1088 3876 1088
5368 7199 5919
5245 5533 1835
3876 7997 7997
4810 7496 3838
705 773 2873
957 7473 6374
2300 6494 1588
815 858 8017
5316 7791 3045
2765 7463 5460
4410 6636 4666
230 3735 6469
4887 8007 2693
945 3876 945
2403 4162 7329
3461 7345 3645
2398 3733 5636
6131 7453 1128
2145 4218 5294
191 4613 7385
4779 7473 6374
305 824 5429
921 2040 2196
3737 7096 1765
2727 3909 7633
5479 6545 8153
1528 2063 3569
1418 3468 1973
820 5322 5905
1244 6758 4472
6444 7660 4844
3569 6913 1211
3599 7915 3107
2694 4026 2022
3876 5989 5989
600 4034 4794
540 6951 6701
2283 7529 1169
1018 1673 6097
1795 7967 277
5315 6801 2214
5647 6455 5241
1954 2167 5840
4375 7300 812
6209 6310 4037
144 1643 2386
5463 6830 565
1213 7720 8102
3876 4651 4651
1036 7078 3588
2304 3159 4508
5290 6057 1184
3876 5297 5297
2189 2220 353
2963 3573 3211
109 1355 7269
644 8144 263
3876 4570 4570
2486 4185 576
3555 5411 4111
4327 7058 445
666 1562 6131
532 2697 5137
979 7776 3795
3495 3722 7768
3704 6965 5655
732 8088 1585
3876 5768 5768
1662 1816 7395
4045 6813 2911
144 3906 2386
2157 6505 678
3991 5147 4050
3876 4365 4365
3736 5574 2166
931 2180 6051
3876 4676 4676
4135 4348 8125
4362 5305 1158
3715 6581 1767
3316 3876 3316
777 5228 7271
914 1881 7227
180 699 3643
6014 6793 4636
3799 5031 3711
1900 7375 1674
5795 7256 6235
3 3876 3
2697 3376 5137
5935 7738 6938
4189 5112 1227
580 1315 3
4105 4265 7108
167 3876 167
1256 4698 1200
3510 5278 5844
346 3876 346
3293 3876 3293
2559 3005 5449
178 3876 178
4171 5984 1911
202 425 4365
5165 7695 4261
193 2473 2633
331 609 6180
2121 2296 6713
3876 7435 7435
6313 7362 6680
2329 5743 1587
559 3417 6218
782 3021 3074
4132 6808 8094
1764 2250 5885
3876 6993 6993
948 7994 307
6034 6972 6008
4504 6762 7583
2276 3647 4753
2292 6498 6808
4324 5607 3461
5081 7273 57
3876 7613 7613
4206 7566 4832
416 4965 4379
6218 6219 6528
844 1169 2931
2003 3121 7801
2038 4903 7530
2793 4025 6196
6849 7083 605
481 857 6920
2333 3876 2333
5794 5923 1663
707 6040 7117
2806 7960 5908
6275 6296 5653
4729 5031 3711
3876 6867 6867
989 2896 3702
1058 6835 4253
3071 5006 7652
3089 7371 901
4739 5016 6194
1291 5260 5673
680 1895 7598
1360 4661 4072
7054 7777 3933
5481 5772 2651
3876 5527 5527
2383 4821 2464
3876 5604 5604
118 2608 1198
5327 6760 2561
3301 6927 6039
3876 4603 4603
3876 6969 6969
5297 7743 153
2952 6548 6945
333 2537 2555
5137 7328 1599
1964 2924 4570
2008 7693 6896
291 3338 3863
7125 7878 7640
6456 7290 4702
1028 3824 5826
3171 7076 5728
3876 5241 5241
327 3208 2522
4255 8072 6337
2901 3819 6426
1764 3876 1764
1866 5508 631
1557 3912 2501
6892 7201 2138
3876 5422 5422
282 7121 1302
3543 5614 6993
3374 7464 6908
3765 3876 3765
2780 4329 3690
1844 5037 222
1831 4775 2834
3372 7088 410
4930 7134 5132
2854 5841 4598
1005 1300 5433
2573 5492 2795
3876 6071 6071
2639 5715 3873
327 4881 2522
1672 4059 3416
1481 3876 1481
1589 7295 4080
1921 4759 7151
2505 4228 7613
2645 7824 2366
349 1700 4921
3876 8153 8153
7027 7272 1582
3034 7506 3852
228 5591 2521
3309 8035 3595
413 1795 277
10 7627 4651
1106 2950 6387
3847 4844 4210
233 5955 5719
499 6145 3915
1973 2853 6371
5731 6361 3911
4999 5862 5139
7167 7456 6766
5326 5513 7727
109 7901 7269
3305 7568 3191
1854 3393 1258
493 1932 2244
3876 7086 7086
1045 4162 7329
3876 7304 7304
2949 3616 3496
2792 3876 2792
3876 6231 6231
454 4482 6391
1735 3876 1735
2534 6054 4904
661 1246 3345
4278 7203 6165
987 1393 2295
6180 7398 3722
204 7859 3055
2114 4128 5299
1523 4162 7329
699 3876 699
2088 3986 2355
3492 3876 3492
3687 4050 1385
317 1740 4914
4303 6896 7144
3043 7193 4539
5027 7073 5931
3244 5422 6965
887 2765 5460
3293 5656 2429
325 3876 325
5748 6398 5358
3414 4309 3048
2601 5670 5333
539 6738 2777
982 4364 418
3900 6240 5040
804 5207 329
3876 7762 7762
4457 6552 3429
3876 6603 6603
3019 7083 605
3909 7798 7633
2016 6503 7738
2443 5809 4563
1680 6992 821
2158 3042 4907
1943 2220 353
3213 5141 7699
2637 3876 2637
1904 2316 2592
1223 2294 2784
2855 6207 6049
228 906 2521
1555 4178 2281
681 972 337
3992 6361 3911
3678 7962 4410
2435 4649 2981
6011 7973 2006
2460 3803 1857
3876 6515 6515
685 5082 4657
4263 5712 6739
2009 4394 7406
1464 2871 5809
575 6998 6556
1784 6266 4574
5458 7015 3165
4249 6908 7997
2306 3496 6388
3795 6336 7989
5 5673 6502
3876 6616 6616
1806 3351 3042
5119 6890 944
6970 8141 3497
3893 5124 4824
2712 6892 2138
2654 4603 4230
681 6570 337
252 4795 3853
2891 5270 7391
4543 6535 6197
4164 6451 6673
3294 6691 1774
1654 5301 1544
96 6874 3577
3353 4710 1764
1245 4531 6828
362 4365 206
8 6244 5777
7801 7834 5223
5600 8181 3256
821 2760 4277
3815 7490 4228
79 4258 2152
4597 7100 1530
2736 5142 192
361 6901 7546
2606 6392 6652
3080 3154 167
5598 7615 2206
437 6007 989
3876 5702 5702
1249 4867 5745
76 3379 2186
5016 6804 6194
3076 5763 4698
3444 8186 797
371 3876 371
2925 7000 6040
353 1725 6928
1043 2257 2876
1236 7424 2487
1594 3876 1594
3876 4698 4698
953 3876 953
6107 7640 266
3344 4937 5602
78 3482 7283
277 3876 277
2078 5202 7482
1494 5815 4915
299 4363 6161
5969 8123 7692
4431 5107 4362
3303 4279 2717
5124 8067 4824
373 5110 2636
7899 7973 2006
6631 8011 130
182 7242 4418
1002 7796 6707
877 6649 3560
1928 4509 4171
3274 5642 1236
5517 6158 6768
4290 5732 1271
2317 2496 2559
1740 6799 4914
2262 6207 6049
5249 5858 2967
8017 8058 271
3690 4361 3579
3475 3876 3475
5978 7069 4765
2415 7470 5552
2400 3441 7643
74 3876 74
5865 6600 2077
5502 6108 4997
2413 4102 6070
5143 6600 2077
6823 7938 7865
2981 6016 4157
1541 7116 7799
1745 6085 31
2740 3876 2740
4445 5709 6989
3876 6131 6131
2039 5773 6976
2444 5728 7933
3541 5764 1974
2625 5592 2612
36 5477 4670
2656 6853 6674
699 8092 3643
1007 3876 1007
2071 3806 5031
3876 6829 6829
1531 7145 2115
3258 3362 3511
1958 5198 3568
2603 3597 228
2425 3876 2425
670 1752 3399
530 2498 3405
1749 7008 3273
5095 7234 690
3437 7082 3126
2102 3526 1181
405 8080 3865
745 8063 3026
730 6280 29
558 6013 5677
2800 7103 7266
1112 6750 5933
2708 3876 2708
5907 7304 7289
4976 7092 1654
2921 5133 5599
1443 3442 716
3357 3876 3357
3397 3876 3397
5356 6351 3573
721 1123 666
2419 3548 3881
4146 5257 1374
2294 7926 2784
4230 6637 1822
5263 7166 1449
5505 8137 1036
252 7991 3853
4626 6863 6494
337 3876 337
37 363 5804
6292 6354 6135
3919 8032 4194
3355 7445 4427
1761 3953 5511
832 3571 2287
4379 7840 4278
908 7497 7873
670 5543 3399
3876 5875 5875
1328 1974 2498
1956 2631 5225
4792 7903 1139
3137 6972 6008
5636 7774 7166
1062 5952 415
1022 6437 3374
83 3965 4593
1499 7301 7242
3984 7670 7072
4914 8046 1750
4705 6282 1954
698 1996 7764
3423 6837 4959
1679 5909 4424
3613 6665 4010
756 7642 3227
4523 4590 5539
2739 3876 2739
3313 7618 3394
2354 2536 7218
1181 3239 8186
256 3876 256
539 1208 2777
627 3577 2076
52 7715 104
1142 7877 1191
1388 3904 5873
3701 4021 3912
1635 3876 1635
738 5660 3941
285 3873 319
1015 6294 7566
3876 4526 4526
4704 5683 4655
3876 6850 6850
7630 7829 4220
1962 4393 5575
293 3373 4173
3876 5438 5438
2386 3876 2386
3290 4634 4653
4639 6273 3715
431 7240 7316
4142 4777 5638
2857 6996 1806
2199 8040 325
1909 7904 1962
3454 7780 1958
702 2184 3940
746 3595 5715
1588 6445 3207
85 2647 4229
3876 5196 5196
64 3876 64
3462 4204 4203
7309 7596 3145
2390 3876 2390
3097 6469 3018
4978 6493 4190
353 1498 6928
3826 5234 6499
3533 5922 2690
1594 3013 695
934 3134 6863
169 933 5823
4157 5980 5095
2934 4895 1074
1897 3613 4010
2014 3083 702
3416 5392 2364
323 3876 323
3876 5567 5567
3408 4683 478
2978 5104 709
2933 5602 4363
1599 6328 7662
1575 5760 3252
228 6239 2521
422 2646 4008
799 2820 6835
4446 6800 6845
1705 5398 7163
1786 3876 1786
1957 2803 6931
1063 7341 2719
3178 6194 2294
595 7884 4978
930 7392 5101
4036 4597 1530
422 7238 4008
2095 7732 405
3230 6863 6494
143 7181 3803
5575 6147 7199
5427 5823 8155
599 1706 651
7389 8097 5749
2060 5290 1184
6095 6792 3068
563 5303 1224
3406 6718 4688
737 4379 4278
4659 7141 2530
337 2701 1226
