stage,mode,n,seed,shuffle_labels,shuffle_queries,gen_ok,solver_rc,timed_out,val_ok,sec,rss_kb,case_dir
hard_scaling,comb_core,4096,1,1,1,1,0,0,1,0.020909,2640,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_core/n4096/seed1_L1_Q1
hard_scaling,comb_core,4096,2,1,1,1,0,0,1,0.012680,2640,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_core/n4096/seed2_L1_Q1
hard_scaling,comb_core,4096,3,1,1,1,0,0,1,0.024572,2640,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_core/n4096/seed3_L1_Q1
hard_scaling,comb_core,8192,1,1,1,1,0,0,1,0.012730,3296,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_core/n8192/seed1_L1_Q1
hard_scaling,comb_core,8192,2,1,1,1,0,0,1,0.012591,3296,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_core/n8192/seed2_L1_Q1
hard_scaling,comb_core,8192,3,1,1,1,0,0,1,0.012644,3312,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_core/n8192/seed3_L1_Q1
hard_scaling,comb_core,16384,1,1,1,1,0,0,1,0.038261,4656,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_core/n16384/seed1_L1_Q1
hard_scaling,comb_core,16384,2,1,1,1,0,0,1,0.022300,4656,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_core/n16384/seed2_L1_Q1
hard_scaling,comb_core,16384,3,1,1,1,0,0,1,0.025478,4656,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_core/n16384/seed3_L1_Q1
hard_scaling,comb_core,32768,1,1,1,1,0,0,1,0.025213,7408,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_core/n32768/seed1_L1_Q1
hard_scaling,comb_core,32768,2,1,1,1,0,0,1,0.025306,7392,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_core/n32768/seed2_L1_Q1
hard_scaling,comb_core,32768,3,1,1,1,0,0,1,0.025438,7392,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_core/n32768/seed3_L1_Q1
hard_scaling,comb_plus_unary,4096,1,1,1,1,0,0,1,0.015251,2848,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_plus_unary/n4096/seed1_L1_Q1
hard_scaling,comb_plus_unary,4096,2,1,1,1,0,0,1,0.011702,2848,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_plus_unary/n4096/seed2_L1_Q1
hard_scaling,comb_plus_unary,4096,3,1,1,1,0,0,1,0.012595,2848,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_plus_unary/n4096/seed3_L1_Q1
hard_scaling,comb_plus_unary,8192,1,1,1,1,0,0,1,0.010255,3696,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_plus_unary/n8192/seed1_L1_Q1
hard_scaling,comb_plus_unary,8192,2,1,1,1,0,0,1,0.012289,3696,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_plus_unary/n8192/seed2_L1_Q1
hard_scaling,comb_plus_unary,8192,3,1,1,1,0,0,1,0.011517,3712,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_plus_unary/n8192/seed3_L1_Q1
hard_scaling,comb_plus_unary,16384,1,1,1,1,0,0,1,0.026004,5424,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_plus_unary/n16384/seed1_L1_Q1
hard_scaling,comb_plus_unary,16384,2,1,1,1,0,0,1,0.025127,5408,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_plus_unary/n16384/seed2_L1_Q1
hard_scaling,comb_plus_unary,16384,3,1,1,1,0,0,1,0.024239,5424,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_plus_unary/n16384/seed3_L1_Q1
hard_scaling,comb_plus_unary,32768,1,1,1,1,0,0,1,0.035919,8880,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_plus_unary/n32768/seed1_L1_Q1
hard_scaling,comb_plus_unary,32768,2,1,1,1,0,0,1,0.036391,8864,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_plus_unary/n32768/seed2_L1_Q1
hard_scaling,comb_plus_unary,32768,3,1,1,1,0,0,1,0.063324,8880,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_plus_unary/n32768/seed3_L1_Q1
hard_scaling,comb_dense,4096,1,1,1,1,0,0,1,0.045794,9120,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate_hard_scaling_probe_v3/runs/hard_scaling/comb_dense/n4096/seed1_L1_Q1
