32768 16383
5080 22004 1512
8020 26468 23115
14228 20252 10123
344 27011 25394
14926 29854 21958
13986 31472 3492
19180 24932 455
1883 9548 10047
18706 27240 2711
8632 29187 20707
26780 27930 20288
233 20800 8187
28916 31128 3806
12623 32674 10673
3297 16122 3306
18761 21148 26818
23512 25654 615
11615 30249 10748
10929 26646 31920
16777 30135 15546
9165 26276 28865
15619 23478 23614
204 10121 19242
15825 21185 23004
779 3170 23742
10610 28313 25226
16054 28002 13098
10741 19426 6026
9208 17790 16534
1506 27243 2886
18260 22560 4739
172 23011 11089
11223 26759 32062
7167 27941 551
2248 28323 28496
12387 13284 23294
6120 24293 8427
211 26918 29358
2886 17663 32113
8258 28732 29115
10464 27321 16704
23714 29441 19634
1940 21690 24168
2307 24392 4630
30270 31432 11643
5575 21292 7849
4015 19335 13679
20806 28612 32452
12114 13158 12141
10982 26202 29714
14545 23925 32127
20933 32275 10453
4077 7061 28741
5987 13820 12038
12186 27495 7022
23117 29150 27684
3172 22983 14789
11537 29171 26910
1922 25646 9906
16668 28375 15131
6219 23769 16472
10014 26766 27296
3373 13847 3219
14165 26436 20337
25501 27385 7682
5465 7238 26810
12256 23204 32050
5188 20035 5337
27017 28973 4370
13731 15360 1458
7030 8690 23970
501 18067 7702
6546 8872 20485
2535 11174 19854
4118 25076 23221
15463 21291 1164
8499 16499 8734
4002 22477 30611
19084 24509 22788
2625 29493 30416
17439 24369 32720
3383 21412 13756
5933 30852 23894
13181 24125 15112
24123 28818 32037
9396 21057 8473
17918 24588 25687
8763 10424 7518
6940 18582 21105
18632 24212 4809
12104 31825 1202
6650 29514 14452
16969 23730 32519
16331 31966 3893
3821 15157 17092
974 14175 10855
581 32057 25789
14813 17026 25940
17303 19390 4770
6492 18576 19008
20909 26943 14668
12991 25994 22173
9317 25699 16382
20782 20988 24948
21948 22361 4475
4615 28025 14064
11827 12027 15918
7810 26035 8668
7078 26067 30341
4715 4826 8013
9878 10055 4472
16288 30752 1110
10787 19753 20135
19824 22639 14293
28711 31806 6481
7284 26607 12509
3124 10180 18567
3871 32021 25492
19946 26863 32351
16215 27747 24464
188 31904 18278
2040 28648 22245
7471 13207 25275
12458 19775 6838
719 25671 21882
22584 24009 9806
3507 5025 5117
4761 22591 30304
6639 21481 7677
20419 28187 26553
1624 3181 4821
22274 31114 3578
27095 27604 9981
2138 11432 13435
2330 28295 12688
6288 15280 30691
473 2537 27487
6342 17247 15432
278 7573 28251
22373 30422 10341
9033 32468 21099
485 28250 8310
3365 11021 16101
18658 24430 10053
5728 26628 20241
17180 31142 12471
8056 21483 24987
7214 29712 1853
4173 27391 26962
6547 30973 14719
6851 29978 12851
19675 29186 21938
13900 15433 19881
9241 31486 24136
14758 19266 21013
25746 28397 7332
7913 17044 11508
20557 23419 30930
10980 23743 5443
2144 19613 9782
4633 9728 21163
2078 12359 30417
7335 27279 3945
4666 30458 7138
9770 12722 13487
7618 29787 25219
1629 15730 10444
1688 22315 4417
12878 17775 20520
10449 13656 28456
9325 30539 13635
12949 27719 21127
9999 11619 11392
31264 31779 18837
