16384 100000
9098 11542 11542
12279 13372 12279
8468 9433 8004
3562 15311 5134
8778 9615 9615
5 6194 5351
5148 12208 12208
3988 6021 3988
6458 11330 11161
7632 10987 4876
4033 13709 7308
11526 14920 2013
9738 14670 9738
1792 12588 124
3657 9856 15678
12401 15089 1867
13739 14210 14210
5816 9891 9891
1102 14905 7159
8632 12638 12169
876 11753 931
6720 10542 5269
8156 14557 1411
1172 12187 1172
8504 10794 13435
10228 11442 10228
2140 5581 11056
7645 11343 9551
3520 6604 9362
6524 10987 4579
4021 7527 15814
2770 10229 2770
2504 9660 6520
2271 9088 12935
4612 9762 4927
3406 6373 3555
6873 10987 7058
3695 8343 16182
859 9394 9394
5555 11336 6380
1735 3445 12147
2012 10987 2012
6875 7463 11210
7819 8939 8053
6970 12722 12722
1583 10566 12452
878 2112 2112
9030 12073 12971
14057 16133 16133
5815 5904 5815
3544 9932 9932
8472 10277 7536
2791 5270 10604
13643 14781 1226
10927 10987 12940
2864 9053 2864
4548 4652 2266
4213 6205 14914
581 1023 581
4716 13669 4716
6703 13596 304
4760 12653 1479
1133 11303 1241
6179 10561 1899
3853 10987 3853
1064 8057 8014
7488 10994 7488
1079 7980 8950
488 2519 2519
247 8996 10903
1614 12962 12962
13566 16049 16049
4713 10244 2125
2455 10987 11746
4964 14542 8060
2365 11454 15483
11561 12997 7545
779 8333 9598
5875 10349 10349
911 9702 4314
14266 16237 3658
9731 15331 79
1630 9169 1630
7618 8860 7618
1443 2187 14460
5877 7816 6941
12727 14165 14165
781 15418 7391
6006 9020 9020
8201 8911 8911
13600 16139 8698
5793 11652 5793
214 4807 15597
5580 9004 5580
8945 11789 8945
1826 11301 2468
6466 14976 105
4179 10987 13190
947 15088 5782
8389 10839 13396
4265 15060 4119
3045 10987 3045
10987 16085 16137
10987 11130 9136
10955 10987 9474
300 3714 300
6411 9191 1399
4783 12278 12278
5567 14899 8852
1532 13281 13281
5548 11673 5548
849 14098 11907
1594 11385 6005
4459 11079 9832
5967 16068 12096
3526 4030 3526
11630 13501 6304
1590 2065 13869
42 6684 9211
14527 14952 2963
491 16332 491
6066 15086 6988
7968 12189 15133
337 6442 935
10987 11961 3737
10698 10987 11233
4693 14936 10558
860 10987 1276
3546 4584 4771
1319 16194 9729
11941 15686 15686
2042 10097 11989
12300 14020 12300
8927 13977 12315
6538 10654 14506
257 11015 13153
2228 12435 13038
4600 12148 4600
12836 14962 12836
4471 8060 4471
7447 10432 6275
6718 12072 14561
3869 13274 13274
907 2578 14963
296 2182 296
4509 5131 10621
1347 10177 6366
1990 2936 15988
6878 8700 6878
7174 7888 7887
1556 11591 1766
102 8834 8834
4984 16148 16148
10409 15788 12110
448 6269 16357
7240 7247 7247
8008 12905 2831
14440 15179 15179
8990 10987 8990
638 9791 638
7093 14073 2321
2899 12228 2184
296 11396 11396
5547 14372 14372
1468 11259 15440
14967 15793 15793
4497 6364 15037
10987 13065 11483
1927 6965 6965
2666 10987 5728
1761 1985 6664
6706 10470 6706
6770 12420 12235
8025 12789 8025
480 1806 8226
862 1003 862
10319 12968 10319
9849 9928 13297
13239 13265 11015
10064 12368 12368
488 5131 15324
10987 16040 920
2542 11425 11425
2266 14214 2266
5361 11303 5361
8021 10543 10543
1073 2356 12848
8186 10987 582
9402 13365 4101
10987 12379 3092
2653 6791 2653
4104 15557 5477
9574 16257 7772
7919 11665 11665
13616 15576 7768
1216 7866 11833
3640 5246 6464
14063 14509 14509
4764 13666 7172
1542 5003 4563
4610 15583 15583
2125 6797 2125
45 11456 7796
3485 10987 3485
369 15970 369
5951 16268 5951
6161 11802 1862
5469 14119 7344
4404 10987 4404
6087 15656 15656
1108 3183 3183
2103 7442 5316
11242 13904 12157
235 10987 2845
10658 10987 10658
776 10987 776
4316 5149 4316
3796 13758 13758
12187 15333 14757
5675 15919 5675
10493 10987 7206
5533 7448 5533
7049 11621 9202
6312 16282 6312
5992 12306 16309
4947 6301 3721
11056 14293 10232
5992 7600 5992
8258 10987 8258
5055 12891 15030
123 5448 5448
906 8621 8892
8345 13994 2663
1005 2169 2169
5452 14649 11232
10139 11724 28
10987 14519 14519
1693 3662 14629
1726 7304 7304
1242 6433 6433
10987 16302 1415
644 11474 5407
1846 9358 9358
3075 8765 5582
1304 6705 511
3163 6995 3163
6878 11221 6878
10088 13192 10446
8840 8911 8840
12344 13664 11708
712 2481 2481
10987 12492 12492
613 13705 15385
7593 11609 11609
648 13134 10325
8338 13549 4379
10987 11470 11470
1925 8939 15782
9634 15680 9634
290 1455 6415
4403 14437 13520
3155 6112 6112
1663 16114 1663
4693 14618 5399
9683 12646 9717
880 4797 396
1241 9683 9717
3298 8579 3298
2240 14908 2240
104 10657 15698
6898 9972 15180
2408 10963 10963
3615 5930 7648
6109 11893 8823
8589 12888 12888
6861 10987 6861
10987 13022 14926
6230 10987 13652
1191 13423 10281
3226 13523 9350
1747 4851 1747
7695 11541 11541
4909 12605 5099
633 4093 7121
5142 12624 12624
154 13948 13948
3054 13464 3675
8681 10478 7824
4300 10987 13128
7014 10621 7014
4790 12991 7423
5511 14409 12171
3598 4727 4727
6472 12030 2135
10987 12449 10968
5846 14051 14051
9737 11003 16282
3419 6291 8997
3064 7576 8261
14297 14883 14883
9438 14512 14512
9678 12062 15825
6705 8053 511
4636 7914 4933
5649 10826 5649
11925 12191 9991
7527 11321 4905
9949 10987 9949
4664 9769 195
9824 10987 9824
3834 10987 3834
7114 7391 13209
3492 8333 9598
6357 11309 159
10987 15312 14726
3020 8044 8044
2252 7841 6273
3474 5566 14406
13931 14442 14442
3443 3693 1748
7556 10930 1949
908 6843 5378
10987 11810 8944
2007 8080 7472
339 2672 339
7438 11927 13669
454 12854 3015
6097 10987 2451
8629 9376 2100
3914 12708 8893
15595 16153 8266
11916 15377 8282
5140 7584 5527
609 7734 7265
1977 3510 1682
2216 3847 10371
7055 9744 9744
10987 11571 11571
3975 7372 3975
1503 8573 11508
5518 11311 11122
3644 5878 457
819 12570 12570
2379 10987 8172
6186 11382 4471
1827 4970 4036
10987 11157 11157
2063 7838 9734
8681 12166 5314
10584 13263 10584
570 10987 5122
11270 12363 2875
13973 14086 14086
8561 9295 9295
5090 10987 5090
2782 10987 232
6130 6422 15454
1474 1676 9756
6241 12638 12169
2704 13172 16160
1470 7551 15482
3451 10987 12236
8452 8527 11425
10987 14958 7910
5714 9292 9292
4713 10510 2125
9547 9702 4314
6607 9056 13690
2301 6514 12513
599 10941 10941
9457 10271 12340
4448 15920 14492
1647 5953 5371
2962 10987 4141
14568 16074 14282
7714 10558 1738
2232 12205 3642
8281 12068 15521
1802 9371 1802
9298 14629 9298
6737 14468 12406
4672 7655 7655
1872 9247 2583
3103 3182 3103
7488 8523 8523
6904 10987 506
135 10987 135
2693 7544 7544
1214 10987 7827
7581 15729 12049
4744 15733 4055
6082 6338 1714
801 10987 801
4458 12115 4458
1069 9412 1069
6129 14935 12469
1164 3002 3848
11268 11347 11268
4130 4483 4483
6273 11707 5356
4481 15217 7675
47 7979 13415
10926 13727 13727
7411 13879 7411
4482 15630 15630
4704 6832 4704
8201 10987 8201
10010 15923 10010
9001 13742 11527
11426 13884 10328
11157 12942 12942
380 8608 8608
4640 5492 5492
7330 7391 7391
3212 12798 10302
5440 10415 4297
7870 11776 6253
987 12253 12253
9279 14572 4747
3657 9216 9216
9785 14323 16346
8768 14061 52
1209 14261 7841
2094 15247 2094
10897 16060 16060
6572 9129 3222
13233 13467 10662
4093 6173 7121
1650 3357 6842
11183 15837 15837
10987 15297 8564
6818 7344 6818
8783 12973 8783
463 6400 10626
3782 4341 3782
6604 15312 14726
696 1849 1849
3611 10987 3611
2322 11032 11032
8874 10300 15919
12148 15923 15923
9891 13770 9891
9393 13223 9393
2809 14879 2809
11894 13831 10851
3285 5974 5974
3095 5921 3095
1351 12955 3199
7059 12009 15365
10987 14211 7228
3318 10566 12452
12657 14830 3967
725 10987 11380
9843 15243 10234
10491 13792 3657
4076 12329 598
2029 8806 9961
1393 6598 12159
5017 9595 2545
6269 10388 10388
8646 13935 6661
918 14166 2864
7124 8002 10421
7569 11671 4482
13550 14450 5277
15357 15886 15094
1269 11670 1269
15284 16310 15284
6904 6975 506
8298 11881 11524
2286 6410 9950
5420 10987 5420
1593 11026 11026
5560 5602 12240
6783 9413 9413
1299 4588 9100
2681 13553 1756
7421 9828 7421
6684 11036 7702
13871 14001 1986
10704 12814 10704
5129 16188 5129
9331 10987 9331
7817 15473 11328
3976 9611 7795
3640 7406 16000
8990 11367 144
13007 13425 10142
4951 14865 4951
13499 13748 15763
11557 12984 15960
6407 7399 14039
3568 11295 3568
2512 8955 8257
174 4368 4368
5211 15737 10838
8431 10987 8431
2646 12642 10013
895 10987 6490
11380 15320 11380
10017 11298 10559
7661 8370 3501
6072 7855 7855
2266 8900 2266
1191 6128 4906
3485 6011 6011
9936 11182 6263
5947 10122 11465
3443 12015 1748
9452 10197 13575
4225 13863 14547
3008 10987 3008
5106 10987 7395
458 15804 8678
2538 3038 15631
380 15213 380
829 10630 829
10987 11714 11714
6113 10987 6113
4004 14736 6088
478 7493 4582
9390 10987 14682
1072 1250 1250
10987 16223 16223
9609 11332 10536
2383 10987 14264
4096 8995 8995
1068 16153 8266
3231 9723 13996
256 5958 6698
1062 15454 1062
5992 12274 12274
68 10987 12128
5871 10163 10163
460 11180 11180
7219 9890 2094
3645 4615 4615
10157 10987 6763
2242 7976 15712
7546 13993 4071
5694 15584 2801
2676 15055 15055
4481 5693 7675
1651 13541 1651
9399 12341 12341
1458 9814 9814
2235 7253 9690
10092 11015 13778
30 10987 30
5396 14552 5396
4964 10743 10743
10987 12269 12269
10987 12487 12487
5675 8149 5675
5092 5481 1381
1066 7967 7967
295 2574 4911
5893 7512 5893
8096 10160 3036
9441 14559 14559
4022 10380 9398
12382 14835 12382
4135 14363 6365
628 14156 2803
10333 12581 15573
1350 4669 15494
1120 12526 9899
10987 13236 13236
291 8455 7339
3323 16141 13514
6796 11398 6796
1712 8206 8206
5253 9882 9882
1659 7927 7927
5463 14278 14278
12073 16077 11037
2730 6113 5552
5048 9841 5048
5215 12297 9713
1 13240 1
773 12072 1030
11639 14212 7939
6579 6859 9180
10067 14665 12281
4214 10987 4214
2365 12593 6288
147 5882 7932
4054 16078 347
2140 10987 743
4651 16214 10353
1187 16119 16119
1054 16065 12254
2240 10751 2805
9933 10987 8891
8212 11842 13844
2856 3252 15918
2481 8489 957
7607 11948 1301
3964 13602 1401
525 15412 525
375 15213 5878
5591 6123 6123
606 12849 16253
13363 14222 8824
8722 15781 6080
7708 9384 4239
14689 15385 15031
263 3476 3476
6130 10391 11931
13511 16159 5025
13630 15932 15175
5042 10987 5962
1175 14713 2038
10987 14115 14115
4811 12121 4811
5555 10950 1124
5550 10987 5550
316 13371 12116
8180 14590 7613
6981 10433 2770
6730 11409 6730
6178 8046 15310
7910 10987 7910
1811 14574 3484
7576 15859 5596
7888 10530 7887
2233 8007 9044
10565 13142 15834
4499 10987 13195
3341 6451 6451
6653 7522 7434
6910 14305 14291
1803 13338 13338
7235 9879 7565
5059 8805 5059
420 4524 420
9116 14957 9116
7261 15747 7261
19 10229 19
3315 4909 3315
945 10365 10365
10910 14157 14157
2665 6644 1230
289 9422 7482
10987 13000 13000
15151 15573 15573
8335 15397 8335
11484 14674 11832
10996 12779 12779
146 7591 391
1611 2468 2468
8178 9830 8178
10987 14365 3182
1938 11764 1938
13811 15617 13811
1640 9957 1640
937 9598 14259
1348 13550 13550
3176 11054 2977
8023 16108 16108
9911 12804 7900
8388 15993 8388
7378 13617 13617
641 13512 9884
7486 12841 12841
4979 11977 10364
2036 9001 2036
11374 12329 11694
15542 16323 10210
2117 13489 8875
7977 8127 3858
3663 16067 11215
10987 12593 6288
10987 11656 11656
5780 6517 6517
5912 7803 15533
14180 14795 14180
10302 15036 10302
3505 14027 14027
8226 12184 8226
2737 13467 10662
10987 15570 13714
8251 8682 8251
7289 9859 7289
5312 6451 6451
3309 11413 5478
6875 9182 11257
15046 15747 8936
2311 7430 7430
5065 6898 5065
12349 13088 13088
586 16036 12867
4001 12968 12968
1413 12318 6476
29 5276 14992
4280 9557 4280
7874 8944 13053
3399 16275 8443
2313 13877 13877
8038 10987 11684
5417 9180 6117
5696 16282 5696
3669 10987 12017
9442 10987 5516
4231 11413 6831
6904 15695 506
516 13047 9032
7659 12984 15960
1455 1528 2916
3974 5098 12285
2992 10659 10659
1807 13472 1807
10484 15534 10484
14092 16150 6420
8894 15266 2
276 13715 13715
5267 10987 1130
3944 13298 6704
9127 9389 10795
4351 9269 9269
9839 12387 1429
4342 6327 8879
2556 12620 9686
11320 13340 11320
5134 9817 5134
839 15582 13350
6241 11139 6241
8533 9870 14252
11227 12839 12839
4088 13888 1446
2535 2889 8641
6714 12496 8086
5116 15487 7785
7220 10114 2894
4149 12423 4149
5712 9344 12204
8442 8760 9427
8851 10987 8851
8133 10987 9940
3173 10987 4523
6508 8718 15101
11519 12065 829
6267 13358 2423
472 1076 1076
1106 7196 7196
7479 16365 16365
342 2857 13048
1128 5952 1128
5167 11819 5167
13109 13678 13109
7648 8743 7648
13711 14180 14180
1467 4130 352
10987 13193 13193
5753 10987 8410
7923 14058 7923
2897 8225 8225
7508 9100 14674
10757 15886 13614
3888 12867 12867
4349 10962 3631
2008 13857 14687
6592 7722 14117
223 5279 5279
3748 13650 9326
12775 16296 12775
7038 9253 7038
1687 10987 1687
2662 8030 8030
5464 11329 127
14138 15926 15926
904 15316 15316
4127 8749 4668
611 3760 12914
4748 13221 13221
2908 7876 1146
9527 10145 14268
7128 11215 11215
8261 10987 8261
3079 9093 13410
706 3213 10132
1670 11588 1670
4851 6905 11939
7750 11660 13302
7212 15009 6739
10987 12196 8078
315 6766 1919
3028 10301 3028
13226 15061 705
9900 11363 9900
13924 14982 8089
911 2457 14471
1001 13898 3322
