16384 14335
7751 14024 14024
1429 9786 5981
1909 10553 12272
12370 13211 11984
1552 3686 1801
6872 7751 6872
3708 13616 2693
5105 7100 7620
1466 11877 10866
4081 14142 10551
1577 7624 4931
9424 13614 12852
13783 14731 7618
9733 16316 13726
1787 6508 15885
4016 10676 14811
6242 12587 7930
17 12772 14097
1116 14632 4964
1275 8866 10319
3699 10928 14297
4841 9351 3275
6773 6804 9094
7751 11716 11716
10709 14948 11578
7751 8706 8706
5302 12542 3915
6059 13942 5276
1326 8737 6415
2379 13821 979
3613 7751 3613
7958 15177 2451
7308 13966 8045
6036 7751 6036
6390 14588 14127
2974 12977 6189
7772 15695 7311
2032 2750 14877
4653 16333 13531
6560 7751 6560
7751 7764 7764
12588 14761 1664
2821 5358 15140
10472 11120 1364
14505 15118 13419
5861 12296 3410
1897 7979 6924
576 7751 576
13691 16202 13765
2868 7751 2868
8443 9439 9531
1388 14080 9146
6627 10297 15003
1247 7751 1247
11670 15941 13735
281 14375 11242
10614 16257 4342
5362 15254 12972
841 2438 665
15118 15234 13419
7751 15042 15042
7751 9041 9041
3986 11415 13689
2905 10202 1159
9336 9781 9832
3266 3596 11318
1666 5201 8611
5188 13174 2911
3805 4882 1297
8847 15885 12454
12989 15948 3606
7751 11817 11817
7220 7751 7220
8090 16285 8857
6431 11305 5901
12273 12553 7616
10966 15585 3836
3589 11874 11571
5103 16008 14491
5998 10683 5633
1845 15285 14016
1263 13712 3093
3545 12713 1956
14820 15157 9215
7728 7751 7728
9174 13769 14092
2840 7751 2840
14252 15004 4461
7751 9493 9493
4783 8175 7855
8655 14464 11652
2577 8444 712
1916 7751 1916
675 4966 393
4519 13951 5013
5891 10559 13425
2405 14318 467
11724 15011 10899
5420 7751 5420
3124 4788 6535
3251 9943 12217
3998 5937 11369
13475 14970 6263
7349 12414 3543
12899 13055 8011
10466 11578 7946
7751 9470 9470
7311 7823 8051
2618 3560 3574
4572 7751 4572
8184 15232 4345
7870 15509 93
2682 7751 2682
55 8742 9035
2438 7751 2438
3042 11163 1989
3104 3529 3088
7925 11416 1510
3745 5004 5032
681 6692 5934
5166 14075 1787
3349 4948 1347
