4096 2047
371 2803 3610
1818 2869 292
2667 3709 454
833 2795 3107
1422 4081 1816
84 1048 2768
701 3267 898
3203 3512 3324
1855 3222 3399
2817 2958 67
937 957 331
560 3844 314
1101 2474 2346
1504 1847 1638
1040 3022 972
370 3047 166
204 1316 1712
2293 2832 3366
1263 1872 909
785 945 3029
1546 1971 3482
1432 2290 213
1866 2815 1305
54 1483 2274
971 3030 934
1299 3266 920
532 2977 3864
2333 3572 621
1782 3796 3835
2707 2877 1309
19 182 2207
863 3991 177
1850 3157 733
37 2919 1701
1090 1362 1622
409 1733 2048
194 871 443
1103 1337 2019
2202 3373 3400
795 870 8
885 3799 2299
2444 3902 579
143 2002 4014
1715 1998 3566
3079 3208 2015
448 1013 1442
2744 3621 3270
2085 2124 2119
895 1956 473
1247 1275 4017
778 2090 3746
289 2771 1336
2201 3681 3372
1144 1244 2151
1285 1661 1127
1033 2896 14
474 1806 900
1490 2930 3417
1801 3049 2185
81 2673 3730
955 2810 3164
1682 3130 781
2327 2554 25
315 2098 435
2194 3394 1822
1476 3963 451
2111 3686 564
1979 2851 622
1760 2014 3060
551 2288 302
443 3721 3352
700 3774 1702
1235 1917 2181
498 2176 3016
2308 2439 945
1057 1852 936
1004 2999 3323
3656 4005 3097
3271 3493 3917
1583 1933 1277
59 1867 1959
1860 1899 2344
3216 3597 2813
18 3996 242
1427 3498 728
1434 3328 3403
1307 1428 3533
357 1061 2085
1900 2365 2865
2611 3496 1815
1731 1819 973
2448 2551 3795
1071 3982 3071
438 842 1243
980 1363 2802
452 2614 2268
3134 3230 3207
3878 3957 1965
798 1315 3822
1119 3566 2985
893 1433 104
3178 3988 1498
2709 3837 1312
585 2953 3384
2070 2130 1206
1662 2356 1677
1717 3923 3425
962 2498 2588
2297 2541 1054
570 1194 1978
3126 3728 3337
3687 3736 2518
2837 3698 2262
321 667 2666
1142 1153 3312
659 2863 3504
1519 3958 4022
2316 3264 2095
2754 3386 3860
338 4017 1437
2525 3818 695
2570 2957 2584
544 1366 2546
952 3583 3776
1475 3029 503
254 576 1290
951 1369 3688
1805 2462 3253
906 1903 1252
1994 2950 3473
1372 4063 171
367 2213 2839
1253 1754 72
2231 3764 175
2232 3913 2472
2487 4013 2977
391 1977 2602
2867 3735 2550
2517 3998 1686
2126 3329 1934
252 1666 607
1301 2520 1524
1440 3025 2204
1516 3769 3267
1215 1305 2709
1769 2750 3365
184 1677 2675
2481 3652 3546
337 2275 680
199 1639 2450
1028 3198 3622
557 805 525
1729 3180 2426
2620 3115 876
547 3937 2198
2734 3784 1829
2060 2552 1967
2538 3409 1220
169 1127 3631
410 1749 561
953 2270 2902
193 3994 571
344 1477 1518
1896 2648 1858
1130 2698 289
886 3481 2536
5 1135 3994
39 470 3627
2939 3201 458
526 3119 2359
2081 3153 1000
2990 3640 1091
2011 3768 670
394 2144 2687
3199 3893 3942
364 1005 400
1986 2782 2169
2944 3552 2559
1389 3950 2437
831 997 179
2281 3528 1580
104 3682 834
1938 4054 2636
2457 2657 1841
1169 1489 1202
622 2583 348
390 3132 3422
1468 2195 2448
1224 3166 3257
587 3904 2101
1053 2165 3833
956 1279 3577
1824 3986 83
3056 3159 3648
1268 1808 2660
1206 4065 4029
1694 3124 455
320 2218 2373
2441 3289 3349
2175 3602 654
642 931 714
749 3891 185
1527 3396 1281
1170 1768 732
1330 1698 3716
4 374 3620
375 3336 2851
2477 2634 1653
2282 3103 2420
133 1843 679
675 3955 301
406 1643 3993
1993 2994 3486
68 4016 109
1523 3750 2734
1976 2776 886
1491 2693 935
1673 1763 2084
757 3258 2968
2426 4007 2852
802 3172 3520
1936 2372 1545
381 3456 349
770 3690 3654
1320 2398 3396
2035 4052 3064
351 3542 281
1454 3408 895
2429 3300 1334
305 4003 3507
1753 3954 3899
216 2774 2214
243 948 2356
2034 3882 2025
896 3369 1017
1294 1789 3968
2853 3708 2644
1221 1371 4042
810 2913 1371
1810 2725 871
2518 2748 2657
1198 1576 1723
3263 3568 2402
1262 3457 1086
1022 1606 160
2154 4070 3237
88 680 3171
1212 2783 1826
938 3443 238
993 2463 1646
485 1289 3828
890 3636 809
335 1290 1588
362 3611 3555
217 3348 3817
2650 3225 3588
2260 2881 3143
3231 3555 1961
74 429 3636
556 1514 3258
2052 3612 1022
2131 3924 1447
3240 3872 3313
1400 3411 1247
63 2974 297
3105 3156 1337
2651 2855 874
860 2375 3035
150 3206 3932
2137 3469 2100
440 1798 3106
1946 4089 1637
214 822 806
2777 4036 1373
170 776 2118
310 3305 3695
1793 3353 3727
806 3812 1386
1577 3168 1160
115 1962 1681
1614 3871 2539
3521 3711 4081
2361 3391 77
2315 2885 3753
2729 3945 123
1403 1412 1733
2145 3167 3823
1148 2169 235
2504 2932 3326
1675 1713 1890
502 1820 1278
1351 2107 2812
1837 3520 3156
2286 4039 2805
135 625 3093
1841 2976 62
119 3707 2912
188 779 887
884 1788 635
1814 2722 1951
2755 3016 1602
3202 4015 2001
66 176 2580
2660 3561 2482
402 3470 2619
1995 2600 2055
782 1959 1096
64 699 3032
686 2587 3471
454 1079 2995
1515 2749 1706
165 2473 3634
1219 1329 3752
854 2732 2176
246 533 3100
2321 3405 2623
183 3107 3528
2192 3670 3953
157 2947 3565
1719 3607 3183
136 911 1144
966 2475 2934
1242 1975 2607
2572 3908 3360
1574 2569 3165
847 3019 1689
139 2969 2983
3269 4006 2072
60 1021 2639
1902 1915 3311
1992 3536 3632
236 1479 2033
1100 3359 3902
1964 2779 1219
1161 1176 2433
2521 3347 2939
2351 2690 3532
334 3355 2395
1437 3900 1567
657 3658 3269
1686 3606 3490
618 1510 351
2129 3057 1239
231 1549 1781
270 1423 3180
1141 3295 2406
2049 2639 2474
1528 4091 2013
2943 3673 3563
827 3244 155
1190 2008 2608
1339 1856 3001
288 3696 3500
3980 4096 2779
663 1711 1044
1039 2714 1008
2440 3835 544
2276 3454 878
640 4026 3552
552 2279 2918
1019 3789 2792
2955 2998 2730
744 2948 1973
2602 3459 2280
1359 2217 706
943 2975 3488
86 285 354
1779 3315 3477
1418 4032 3564
1155 1538 41
272 1909 3362
258 2452 1532
909 3691 832
777 2095 31
2227 3213 1937
2680 3781 1999
296 3560 1995
878 1163 917
1146 3387 2643
3143 3285 1255
837 2030 672
704 1406 2502
1328 2271 4072
468 2442 2172
2139 2244 694
3096 3446 1018
2242 3825 2981
221 1333 3967
1246 2908 912
495 3915 2866
161 1314 634
1934 2728 2028
921 2599 3590
9 1017 1541
206 1258 2867
1849 4056 1917
1201 3402 1808
1663 4084 2141
436 1209 2263
3484 3720 1173
1579 2181 3320
2347 3235 366
377 979 3551
264 2677 698
1390 3441 210
767 973 2179
647 2353 1084
1280 3531 1387
1121 1415 2624
934 2842 2064
1961 3624 3523
430 2304 3433
2119 2615 3773
1306 4033 2892
1589 3069 1700
1133 3746 1141
388 682 2786
2246 3500 2029
619 3010 740
2992 4028 3728
887 2835 3962
949 3333 1807
826 1408 521
783 3758 3219
154 1469 157
1685 3581 1047
122 2964 1181
330 2486 1115
479 1674 371
1105 2167 3089
2787 3513 2325
46 2962 1762
3431 3654 573
697 3337 1443
1205 2418 3853
1323 1383 3732
1184 1913 27
373 705 523
2544 3603 398
1401 2753 2765
1182 2797 78
1358 2153 628
1178 3440 3943
181 2314 1151
1796 2346 2302
191 3017 2110
292 723 1010
1082 3430 2287
2601 3927 3363
747 762 2654
269 2393 2006
1916 2889 3131
2523 3311 3850
3072 3700 2572
1237 4002 3633
75 2240 1359
3357 4069 1023
803 1858 2186
340 2435 3559
1488 2568 1799
1727 2533 2480
462 1404 3014
2151 3925 1401
2077 4025 1727
1953 4083 1912
1067 2633 446
1890 3999 2585
1859 3630 420
1891 4067 1721
2703 3961 85
2484 2553 2036
1746 2927 1217
3320 3814 196
2226 3478 3361
361 3302 3871
1623 1848 1923
763 2359 388
910 3524 2950
3028 3995 3511
674 3911 3846
1439 3877 601
32 43 250
790 3417 2133
2128 3976 3938
872 1503 3531
1861 3519 1462
475 2567 154
1411 1502 982
201 2733 3007
3023 3294 1642
27 3083 636
451 507 2824
1557 2584 2911
61 550 746
3063 3254 1629
121 3217 1174
836 3821 2327
2658 3401 300
1839 2983 486
2682 3862 1975
2191 4057 1811
1187 2248 712
