16384 100000
6606 15289 13806
723 11067 11067
10587 12685 7712
562 9368 6474
6581 7939 6918
519 11835 8242
3429 7974 1537
12467 14649 4851
7410 11463 2104
2795 14362 7711
1773 12985 12985
14176 15976 15967
8709 13227 5648
3156 10539 1263
1842 5138 16299
7396 15833 1775
10507 15345 13108
1163 5786 8352
6769 14808 10000
2427 3687 3687
1491 4598 1491
11463 11637 11637
5425 11463 12146
8331 15087 8331
4590 9215 7853
11463 13012 13701
7341 8707 1879
3774 15846 3774
3097 15189 3688
15035 16103 3285
5516 15156 5516
1355 13397 945
120 260 16067
4316 5046 596
1904 4561 10462
6607 13515 6607
3438 10411 3438
13634 16372 13634
3092 8953 6582
4961 11229 13075
10770 11463 3094
953 2292 12017
3589 11463 11178
11463 12015 8238
325 9088 12687
11463 13191 890
11163 16092 16092
13257 14312 6097
2435 11463 2435
1976 10039 10039
3472 11463 8543
11463 13386 3147
2498 10703 2498
2126 8686 4761
3350 11195 10020
791 16364 16309
9724 9846 9724
7463 14621 14495
2592 8231 163
2900 12468 12468
7362 11463 13602
5504 11784 14943
5865 13309 15193
2172 12222 10612
7007 14454 7539
433 13152 10543
6969 13884 6969
1828 6873 9246
4195 8343 643
11463 14113 13904
13056 14264 10177
2348 10029 9631
356 14114 2663
9485 14212 1524
2787 15456 2961
6199 10824 10824
3580 11463 3451
7704 16243 14907
3101 6855 3612
5468 14381 5468
9960 14753 1829
9332 10132 10906
13756 14114 13756
7168 11463 7788
8885 10336 13951
755 2475 755
13534 14031 6891
10026 11863 10026
10291 11463 1696
1478 2322 2322
1337 10631 12525
1601 2050 7770
1396 15851 1396
11109 11289 3918
2886 11463 9308
5544 6223 6789
1441 5770 1441
4436 7623 7623
3384 8514 8514
18 11463 11316
6303 13756 13756
4102 14018 3763
10596 11801 4090
6486 15734 15734
13027 14618 13716
5643 11941 5643
2128 11492 8504
36 4785 8105
3684 12037 3684
1833 12150 9517
7124 11656 8935
180 1843 777
3531 12389 4033
14068 14881 14068
5727 9700 12122
3455 7636 3455
5811 11463 5811
5970 11602 5970
1715 11463 2205
11463 13727 8661
10919 13434 14427
8407 10156 8686
1902 15140 15140
8133 12192 8133
7767 11463 12258
2372 3539 10196
318 8895 318
12606 15336 1418
5015 11463 7525
8346 16373 1953
2928 14532 14532
1100 16023 16023
4742 11985 4742
3670 9401 10047
4596 12272 12634
9335 13048 7796
5882 7226 11419
2355 6075 4673
7065 10226 2163
13226 14712 13226
12839 15653 11820
2587 12690 5684
4434 11463 7786
4042 9370 4042
213 11086 213
5668 12481 5668
1393 8582 4290
7406 10214 7117
8401 11469 9682
2494 7510 12701
6180 10308 13255
244 5612 11350
5191 7330 5191
7225 10668 10775
