metric	value
selected_statement	canonical_compression_status_or_escape
status_semantics_status	canonical_compression_status_semantics_contract_ready
canonical_motif_status_congruence_status	canonical_motif_status_congruence_payload_ready_status_congruence_open
obligation_count	11
proved_under_current_scope_sublemma_count	2
proof_sketch_only_sublemma_count	5
blocked_sublemma_count	1
skeleton_status	proof_ready_skeleton_canonical_compression_status_congruence_open
canonical_compression_operation_status	partial_canonical_compression_status_proof_ready_congruence_open
status_congruence_skeleton_status	partial_status_congruence_project_contraction_compression_proof_ready_remaining_operations_open
support_reduction_skeleton_status	partition_ready_project_contraction_compression_status_proof_ready_remaining_operations_open
support_bound_skeleton_status	proof_ready_skeleton_project_contraction_compression_status_proof_ready_remaining_operations_open
higher_support_after_status	higher_support_deferred_after_canonical_compression_status_congruence_open
general_theorem_readiness	ready_for_family_chain_absorption_status_preservation
next_action_first	family_chain_absorption_status_preservation
next_action_second	project_to_active_status_locality_refinement
next_action_third	higher_support_necessity_recheck
