metric	value
selected_statement	coordinate_contraction_status_or_escape
status_semantics_status	contract_equivalent_status_semantics_contract_ready
equivalent_coordinate_congruence_status	equivalent_coordinate_congruence_payload_ready_status_congruence_open
obligation_count	11
proved_under_current_scope_sublemma_count	2
proof_sketch_only_sublemma_count	5
blocked_sublemma_count	1
skeleton_status	proof_ready_skeleton_contract_equivalent_status_congruence_open
contract_equivalent_operation_status	partial_contract_equivalent_status_proof_ready_congruence_open
status_congruence_skeleton_status	partial_status_congruence_project_contraction_proof_ready_remaining_operations_open
support_reduction_skeleton_status	partition_ready_project_contraction_status_proof_ready_remaining_operations_open
support_bound_skeleton_status	proof_ready_skeleton_project_contraction_status_proof_ready_remaining_operations_open
higher_support_after_status	higher_support_deferred_after_contract_equivalent_status_congruence_open
general_theorem_readiness	ready_for_canonical_compression_status_preservation
next_action_first	canonical_compression_status_preservation
next_action_second	family_chain_absorption_status_preservation
next_action_third	project_to_active_status_locality_refinement
