metric	value
support8_lock_status	support8_authoritative_completion_locked
pass1_result	support8_authoritative_completion_locked
pass2_result	support8_authoritative_completion_locked
pass3_result	support8_authoritative_completion_locked
required_docs	39/39
required_artifacts	8/8
top_level_fresh_current_runtime_generated	16
top_level_current_runtime_validated_imported_data	0
top_level_mixed	0
top_level_archival_only	3
family_chain_lower_layer_total	7
family_chain_lower_layer_fresh	7
family_chain_lower_layer_imported	0
family_chain_lower_layer_caveat_closed	1
lower_frontier_direct_dependency_status	freshized
lower_frontier_inventory_only_rows	4
lower_frontier_inventory_only_decision	keep_inventory_only_nonblocking
archival_only_top_level_notes	3
current_closed_scope	support8_shell15_tail_completion_lock_proof_system_plus_family_chain_lower_layers
current_non_closed_scope	shell16_higher_support_general_gap_theorem_boj_solver_archive_history
caveat	readiness_boundary_not_general_theorem_or_boj_solver
bridge_formalization_attachment	general_gap_bridge_input_package_90;general_gap_statement_scope_memo_90;general_gap_bridge_obligation_inventory_90;general_gap_bridge_dependency_graph_90;general_gap_bridge_lemma_candidates_90;limited_general_gap_bridge_skeleton_90;general_gap_bridge_next_action_matrix_90
minimal_counterexample_reduction_status	limited_reduction_used_in_limited_bridge_theorem
tail_bridge_status	tail_escape_closed_for_limited_bridge_theorem
shell16_preflight_status	promotion_review_completed_local_exact_nonblocking
bridge_next_exact_target	canonical_compression_status_preservation
support_bound_lemma_status	proof_ready_skeleton_project_contraction_status_proof_ready_remaining_operations_open
higher_support_escape_status	higher_support_deferred_after_contract_equivalent_status_congruence_open
family_chain_lift_status	partial_lift_project_contraction_status_proof_ready_remaining_operations_open
support_reduction_step_status	partition_ready_project_contraction_status_proof_ready_remaining_operations_open
refined_lift_map_status	refined_lift_map_defined_for_recognized_sources_preservation_open
obstruction_preservation_status	partial_preservation_project_contraction_status_proof_ready_remaining_operations_open
phase2_skeleton_status	partial_phase2_project_contraction_status_proof_ready_remaining_operations_open
phase3_skeleton_status	partial_phase3_project_contraction_status_proof_ready_remaining_operations_open
previous_selected_operation_status	proof_ready_skeleton_selected_delete_redundant_coordinate
previous_project_to_active_operation_status	partial_project_to_active_status_proof_ready_locality_open
previous_coordinate_contraction_operation_status	partial_contract_equivalent_status_proof_ready_congruence_open
previous_canonical_motif_compression_operation_status	partial_compression_proved_escape_open
selected_operation_status	partial_absorption_reduction_proved_escape_open
status_congruence_bridge_status	partial_status_congruence_project_contraction_proof_ready_remaining_operations_open
higher_support_necessity_recheck_status	higher_support_deferred_after_contract_equivalent_status_congruence_open
support_bound_next_exact_target	canonical_compression_status_preservation
