metric	value
selected_operation	family_chain_absorption_reduction
notation_status	family_chain_absorption_notation_contract_ready
semantics_status	family_chain_absorption_semantics_contract_ready
construction_status	family_chain_absorption_construction_partial_contradiction_ready_measure_status_open
obligation_count	14
proved_under_current_scope_sublemma_count	4
proof_sketch_only_sublemma_count	4
blocked_sublemma_count	2
support8_lock_dependency	support8_authoritative_completion_locked
family_chain_lower_layer_dependency	total7_fresh7_imported0
limited_bridge_dependency	limited_bridge_theorem_proved_under_current_scope
final_status	partial_absorption_status_classified_measure_open
next_blocker	higher_support_necessity_recheck
