metric	value
layer_count	7
fresh_current_runtime_generated_count	7
imported_lower_layer_count	0
pair_expansion_aggregate_52_label	fresh_current_runtime_generated
pair_expansion_aggregate_52_runtime_fingerprint	fresh|current_runtime_pair_expansion_aggregate_52_cache|load_current_pair_expansion_aggregate_52_runtime_artifact_|0|1|28|7|21|501|501|182|0|0|0|6003:2005080337376028436|52|regions=28|single=7|pair=21|raw=501|canonical=501|deduplicated=182|local=0|plus=0|theorem=0|counts_and_consumer_visible_fingerprint_equal|2729415:14502595494155092201|1|0||Current authoritative path loaded a validated runtime pair-expansion aggregate 52 artifact generated by the bounded single/pair region scanner.
triple_family_expansion_theorem_data_53_label	fresh_current_runtime_generated
triple_family_expansion_theorem_data_53_runtime_fingerprint	fresh|current_runtime_triple_family_expansion_theorem_data_53_cache|load_current_triple_family_expansion_theorem_data_53_runtime_artifact_|0|1|35|2110|2110|282|0|0|0|11888:3562593626991170520|53|regions=35|raw=2110|canonical=2110|deduplicated=282|local=0|plus=0|theorem=0|counts_and_consumer_visible_fingerprint_equal|2729415:14502595494155092201|1|0|0||Current authoritative path loaded a validated runtime triple-family expansion theorem data 53 artifact; upstream pair52 stayed fresh with fallback_hit=0.
quadruple_family_expansion_theorem_data_55_label	fresh_current_runtime_generated
quadruple_family_expansion_theorem_data_55_runtime_fingerprint	fresh|current_runtime_quadruple_family_expansion_theorem_data_55_cache|load_current_quadruple_family_expansion_theorem_data_55_runtime_artifact_|0|1|35|3962|3962|294|0|0|0|15637:3406948456738223960|55|regions=35|raw=3962|canonical=3962|deduplicated=294|local=0|plus=0|theorem=0|counts_and_consumer_visible_fingerprint_equal|2729415:14502595494155092201|1|0|0|0||Current authoritative path loaded a validated runtime quadruple-family expansion theorem data 55 artifact; upstream triple53 and pair52 stayed fresh with fallback_hit=0.
quintuple_family_expansion_theorem_data_57_label	fresh_current_runtime_generated
quintuple_family_expansion_theorem_data_57_runtime_fingerprint	fresh|current_runtime_quintuple_family_expansion_theorem_data_57_cache|load_current_quintuple_family_expansion_theorem_data_57_runtime_artifact_|0|1|21|3634|3634|294|0|0|0|11519:14985224666762482157|57|regions=21|raw=3634|canonical=3634|deduplicated=294|local=0|plus=0|theorem=0|counts_and_consumer_visible_fingerprint_equal|2729415:14502595494155092201|1|0|0|0|0||Current authoritative path loaded a validated runtime quintuple-family expansion theorem data 57 artifact; upstream quad55, triple53, and pair52 stayed fresh with fallback_hit=0.
sextuple_family_expansion_theorem_data_57_label	fresh_current_runtime_generated
sextuple_family_expansion_theorem_data_57_runtime_fingerprint	fresh|current_runtime_sextuple_family_expansion_theorem_data_57_cache|load_current_sextuple_family_expansion_theorem_data_57_runtime_artifact_|0|1|7|1632|1632|294|0|0|0|4567:5441664472856347648|57|regions=7|raw=1632|canonical=1632|deduplicated=294|local=0|plus=0|theorem=0|counts_and_consumer_visible_fingerprint_equal|2729415:14502595494155092201|1|0|0|0|0|0||Current authoritative path loaded a validated runtime sextuple-family expansion theorem data 57 artifact; upstream quintuple57, quad55, triple53, and pair52 stayed fresh with fallback_hit=0.
septuple_family_expansion_theorem_data_57_label	fresh_current_runtime_generated
septuple_family_expansion_theorem_data_57_runtime_fingerprint	fresh|current_runtime_septuple_family_expansion_theorem_data_57_cache|load_current_septuple_family_expansion_theorem_data_57_runtime_artifact_|0|1|1|294|294|294|0|0|0|804:10183455833117365445|57|regions=1|raw=294|canonical=294|deduplicated=294|local=0|plus=0|theorem=0|counts_and_consumer_visible_fingerprint_equal|2729415:14502595494155092201|1|0|0|0|0|0|0||Current authoritative path loaded a validated runtime septuple-family expansion theorem data 57 artifact; upstream sextuple57, quintuple57, quad55, triple53, and pair52 stayed fresh with fallback_hit=0.
high_family_expansion_theorem_data_57_label	fresh_current_runtime_generated
high_family_expansion_theorem_data_57_runtime_fingerprint	fresh|current_runtime_high_family_expansion_theorem_data_57_cache|load_current_high_family_expansion_theorem_data_57_runtime_artifact_|0|1|8|7|1|1926|1926|294|0|0|0|317:16323892766005099572|57|regions=8|sextuple=7|septuple=1|raw=1926|canonical=1926|deduplicated=294|local=0|plus=0|theorem=0|counts_and_consumer_visible_fingerprint_equal|2729415:14502595494155092201|1|0|0|0|0|0|0|0||Current authoritative path loaded a validated runtime high-family aggregate 57 artifact; upstream septuple57, sextuple57, quintuple57, quad55, triple53, and pair52 stayed fresh with fallback_hit=0.
family_chain_lower_layer_caveat_closed	1
next_target	none_family_chain_lower_layers_complete
