metric	value
release_compile	verified
local_test_compile	verified
pass1_result	support8_authoritative_completion_locked
pass2_result	support8_authoritative_completion_locked
pass3_result	support8_authoritative_completion_locked
required_docs	39/39
required_artifacts	8/8
top_level_fresh_current_runtime_generated	16
top_level_current_runtime_validated_imported_data	0
top_level_mixed	0
top_level_archival_only	3
family_chain_lower_layer_total	7
family_chain_lower_layer_fresh	7
family_chain_lower_layer_imported	0
family_chain_lower_layer_caveat_closed	1
lower_frontier_inventory_only_4_rows_decision	keep_inventory_only_nonblocking
limited_bridge_theorem_status	limited_bridge_theorem_proved_under_current_scope
support_bound_lemma_status	proof_ready_skeleton_family_alignment_refined_payload_domain_normal_open_remaining_residual_project_contract_canonical_open
support_reduction_step_status	partition_ready_family_alignment_refined_payload_domain_normal_open_remaining_residual_project_contract_canonical_open
status_congruence_bridge_status	partial_status_congruence_family_alignment_refined_payload_domain_normal_open_remaining_residual_project_contract_canonical_open
source_alignment_docs_generated	1
first_failing_gate	none
caveat	not_full_general_theorem_or_full_family_chain_absorption_proof
