metric	value
limited_bridge_theorem_status	limited_bridge_theorem_proved_under_current_scope
support_bound_skeleton_status	proof_ready_skeleton_all_primary_operations_status_proof_ready_residual_congruence_open
support_reduction_skeleton_status	partition_ready_all_primary_operations_status_proof_ready_residual_congruence_open
family_chain_lift_status	partial_lift_all_primary_operations_status_proof_ready_residual_congruence_open
obstruction_preservation_status	partial_preservation_all_primary_operations_status_proof_ready_residual_congruence_open
phase2_skeleton_status	partial_phase2_project_contraction_compression_status_proof_ready_remaining_operations_open
phase3_skeleton_status	partial_phase3_all_primary_operations_status_proof_ready_residual_congruence_open
status_congruence_status	partial_status_congruence_all_primary_operations_proof_ready_residual_congruence_open
project_to_active_status	proof_ready_skeleton_project_to_active_status_locality_open
higher_support_escape_status	higher_support_deferred_after_family_chain_absorption_status_refutation_measure_open
general_theorem_status	not_proved
readiness_label	ready_for_project_to_active_status_locality_refinement
next_action_first	project_to_active_status_locality_refinement
next_action_second	contract_equivalent_status_congruence_refinement
next_action_third	canonical_compression_status_congruence_refinement
