metric	value
theorem_name	limited_support8_minimal_counterexample_reduction
exact_statement	counterexample_inside_current_support8_finite_package_reduces_to_finite_package_contradiction_or_named_escape
assumption_count	4
verified_input_count	5
measure_used	lexicographic_minimal_counterexample_tuple
normal_form_used	support_atoms_shell_tail_frontier_family_survivor_canonical_fingerprint
proof_step_count	6
current_verified_step_count	4
proof_sketch_step_count	6
missing_step_count	1
escape_obligations	shell16_escape;higher_support_escape;boj_constructivity_escape;archive_independence_escape
tail_bridge_status	tail_escape_closed_for_limited_bridge_theorem
final_status	limited_reduction_used_in_limited_bridge_theorem
next_blocker	family_chain_lift_map_refinement
full_general_theorem_proved	0
