metric	value
skeleton_status	limited_reduction_used_in_limited_bridge_theorem
selected_statement	limited_support8_minimal_reduction
measure_status	selected_measure_proof_ready_skeleton
normal_form_status	normal_form_contract_ready_with_canonicalization_caveat
proved_under_current_scope_sublemma_count	4
proof_sketch_only_sublemma_count	6
blocked_sublemma_count	0
tail_monotonicity_escape_status	tail_escape_closed_for_limited_bridge_theorem
shell16_escape_status	closed_for_limited_bridge_theorem_under_reviewed_boundary
next_blocker	family_chain_lift_map_refinement
fingerprint	limited_reduction_used_in_limited_bridge_theorem|limited_support8_minimal_reduction|4|6|0|closed_for_limited_bridge_theorem|family_chain_lift_map_refinement
