metric	value
item_key	pair_expansion_aggregate_52
current_provenance_label	fresh_current_runtime_generated
current_source_fingerprint	2729415:14502595494155092201
payload_fingerprint	6003:2005080337376028436
imported_comparison_fingerprint	52|regions=28|single=7|pair=21|raw=501|canonical=501|deduplicated=182|local=0|plus=0|theorem=0
imported_equality_result	counts_and_consumer_visible_fingerprint_equal
raw_candidates	501
canonical_candidates	501
deduplicated_candidates	182
local_exact_survivors	0
plus_one_survivors	0
theorem_preserving_survivors	0
runtime_fingerprint	fresh|current_runtime_pair_expansion_aggregate_52_cache|load_current_pair_expansion_aggregate_52_runtime_artifact_|0|1|28|7|21|501|501|182|0|0|0|6003:2005080337376028436|52|regions=28|single=7|pair=21|raw=501|canonical=501|deduplicated=182|local=0|plus=0|theorem=0|counts_and_consumer_visible_fingerprint_equal|2729415:14502595494155092201|1|0||Current authoritative path loaded a validated runtime pair-expansion aggregate 52 artifact generated by the bounded single/pair region scanner.
