metric	value
release_compile	verified
local_test_compile	verified
pass1_result	support8_authoritative_completion_locked
pass2_result	support8_authoritative_completion_locked
pass3_result	support8_authoritative_completion_locked
required_docs	39/39
required_artifacts	8/8
top_level_fresh_current_runtime_generated	16
top_level_current_runtime_validated_imported_data	0
top_level_mixed	0
top_level_archival_only	3
family_chain_lower_layer_total	7
family_chain_lower_layer_fresh	7
family_chain_lower_layer_imported	0
family_chain_lower_layer_caveat_closed	1
lower_frontier_inventory_only_4_rows_decision	keep_inventory_only_nonblocking
limited_bridge_theorem_status	limited_bridge_theorem_proved_under_current_scope
support_bound_lemma_status	proof_ready_skeleton_project_domain_refined_remaining_contract_canonical_normal_open
support_reduction_step_status	partition_ready_project_domain_refined_remaining_contract_canonical_normal_open
status_congruence_bridge_status	partial_status_congruence_project_domain_refined_remaining_contract_canonical_normal_open
project_to_active_domain_refinement_docs_generated	1
first_failing_gate	none
caveat	not_full_general_theorem_or_full_project_to_active_proof
