metric	value
constructor_name	load_current_quadruple_family_expansion_theorem_data_55_runtime_artifact_
authoritative_source	current_runtime_quadruple_family_expansion_theorem_data_55_cache
pass1_builder_used	0
cache_loaded	1
cache_load_path	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/quadruple_family_expansion_theorem_data_55_payload_90.tsv
upstream_triple53_fallback_hit	0
upstream_pair52_fallback_hit	0
fallback_reachable	1
fallback_hit	0
runtime_fingerprint	fresh|current_runtime_quadruple_family_expansion_theorem_data_55_cache|load_current_quadruple_family_expansion_theorem_data_55_runtime_artifact_|0|1|35|3962|3962|294|0|0|0|15637:3406948456738223960|55|regions=35|raw=3962|canonical=3962|deduplicated=294|local=0|plus=0|theorem=0|counts_and_consumer_visible_fingerprint_equal|2729415:14502595494155092201|1|0|0|0||Current authoritative path loaded a validated runtime quadruple-family expansion theorem data 55 artifact; upstream triple53 and pair52 stayed fresh with fallback_hit=0.
