region_index	kind	region_fingerprint	source_family_fingerprints	symbol_bound	antecedent_bound	raw_candidates	canonical_candidates	out_of_pool_candidates	local_exact_survivors	plus_one_survivors	theorem_preserving_survivors	why
0	quadruple_merged	quadruple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)	7	3	64	64	64	0	0	0	quadrupleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) raw=75 canonical=64 outOfPool=64 ; bounded out-of-pool expansion region scanned
1	quadruple_merged	quadruple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)	7	3	64	64	64	0	0	0	quadrupleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) raw=75 canonical=64 outOfPool=64 ; bounded out-of-pool expansion region scanned
2	quadruple_merged	quadruple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	7	3	198	198	198	0	0	0	quadrupleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) raw=252 canonical=198 outOfPool=198 ; bounded out-of-pool expansion region scanned
3	quadruple_merged	quadruple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	107	107	107	0	0	0	quadrupleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=123 canonical=107 outOfPool=107 ; bounded out-of-pool expansion region scanned
4	quadruple_merged	quadruple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)	7	3	28	28	28	0	0	0	quadrupleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) raw=28 canonical=28 outOfPool=28 ; bounded out-of-pool expansion region scanned
5	quadruple_merged	quadruple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	7	3	81	81	81	0	0	0	quadrupleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) raw=123 canonical=81 outOfPool=81 ; bounded out-of-pool expansion region scanned
6	quadruple_merged	quadruple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	64	64	64	0	0	0	quadrupleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=75 canonical=64 outOfPool=64 ; bounded out-of-pool expansion region scanned
7	quadruple_merged	quadruple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)||n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1);n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	7	3	135	135	135	0	0	0	quadrupleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) + n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) raw=189 canonical=135 outOfPool=135 ; bounded out-of-pool expansion region scanned
8	quadruple_merged	quadruple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	107	107	107	0	0	0	quadrupleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=123 canonical=107 outOfPool=107 ; bounded out-of-pool expansion region scanned
9	quadruple_merged	quadruple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	192	192	192	0	0	0	quadrupleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=252 canonical=192 outOfPool=192 ; bounded out-of-pool expansion region scanned
