metric	value
item_key	septuple_family_expansion_theorem_data_57
previous_provenance_label	imported_lower_layer
current_provenance_label	fresh_current_runtime_generated
authoritative_constructor_name	load_current_septuple_family_expansion_theorem_data_57_runtime_artifact_
upstream_sextuple57_source_path	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/sextuple_family_expansion_theorem_data_57_payload_90.tsv
upstream_sextuple57_label	fresh_current_runtime_generated
upstream_sextuple57_fallback_hit	0
upstream_quintuple57_source_path	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/quintuple_family_expansion_theorem_data_57_payload_90.tsv
upstream_quintuple57_label	fresh_current_runtime_generated
upstream_quintuple57_fallback_hit	0
upstream_quad55_source_path	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/quadruple_family_expansion_theorem_data_55_payload_90.tsv
upstream_quad55_label	fresh_current_runtime_generated
upstream_quad55_fallback_hit	0
upstream_triple53_source_path	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/triple_family_expansion_theorem_data_53_payload_90.tsv
upstream_triple53_label	fresh_current_runtime_generated
upstream_triple53_fallback_hit	0
upstream_pair52_source_path	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/pair_expansion_aggregate_52_payload_90.tsv
upstream_pair52_label	fresh_current_runtime_generated
upstream_pair52_fallback_hit	0
pass1_builder_used	0
cache_loaded	1
cache_load_path	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/septuple_family_expansion_theorem_data_57_payload_90.tsv
region_count	1
raw_candidates	294
canonical_candidates	294
deduplicated_candidates	294
local_exact_survivors	0
plus_one_survivors	0
theorem_preserving_survivors	0
current_fingerprint	804:10183455833117365445
imported_comparison_fingerprint	57|regions=1|raw=294|canonical=294|deduplicated=294|local=0|plus=0|theorem=0
imported_equality_result	counts_and_consumer_visible_fingerprint_equal
fallback_reachable	1
fallback_hit	0
runtime_fingerprint	fresh|current_runtime_septuple_family_expansion_theorem_data_57_cache|load_current_septuple_family_expansion_theorem_data_57_runtime_artifact_|0|1|1|294|294|294|0|0|0|804:10183455833117365445|57|regions=1|raw=294|canonical=294|deduplicated=294|local=0|plus=0|theorem=0|counts_and_consumer_visible_fingerprint_equal|2729415:14502595494155092201|1|0|0|0|0|0|0||Current authoritative path loaded a validated runtime septuple-family expansion theorem data 57 artifact; upstream sextuple57, quintuple57, quad55, triple53, and pair52 stayed fresh with fallback_hit=0.
direct_consumer_summary	bounded family-chain theorem;family-chain self verification via unified bounded schema-universe theorem
downstream_caveat_impact	septuple 57 caveat removed; next lower-layer target is high_family_expansion_theorem_data_57
relationship_to_high_family57	high-family 57 aggregate is current constructor/cache-backed over sextuple and septuple components; family-chain lower-layer caveat closed
blocker	
caveat	Current authoritative path loaded a validated runtime septuple-family expansion theorem data 57 artifact; upstream sextuple57, quintuple57, quad55, triple53, and pair52 stayed fresh with fallback_hit=0.
