metric	value
pair_fresh_runtime_generated	1
pair_runtime_fingerprint	antecedent_plus_twelve_frontier|fresh|current_runtime_shell15_frontier_cache|load_current_shell15_frontier_runtime_artifact_|1|0|4|2|2|0|0|0|0|0|2|num=7 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,3->3);num=7 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,4->1)|num=7 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,3->3):0;num=7 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,4->1):0|antecedent_plus_twelve_frontier|2|2|0|||antecedent_plus_twelve_frontier|4|2|2|0|0|0|0|0|num=7 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,3->3);num=7 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,4->1)|1|1|2729415:14502595494155092201||Current authoritative path loaded validated shell15 frontier runtime artifacts; imported 84 data remains only as compatibility fallback and equality oracle.|support8_antecedent15_frontier|fresh|current_runtime_shell15_frontier_cache|load_current_shell15_frontier_runtime_artifact_|1|0|4|2|2|0|0|0|0|0|2|num=8 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,3->3);num=8 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,4->1)|num=8 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,3->3):0;num=8 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,4->1):0|support8_antecedent15_frontier|2|2|0|||support8_antecedent15_frontier|4|2|2|0|0|0|0|0|num=8 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,3->3);num=8 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,4->1)|1|1|2729415:14502595494155092201||Current authoritative path loaded validated shell15 frontier runtime artifacts; imported 84 data remains only as compatibility fallback and equality oracle.|1
antecedent_plus_twelve_frontier_constructor_name	load_current_shell15_frontier_runtime_artifact_
antecedent_plus_twelve_frontier_authoritative_source	current_runtime_shell15_frontier_cache
antecedent_plus_twelve_frontier_fallback_hit	0
antecedent_plus_twelve_frontier_runtime_fingerprint	antecedent_plus_twelve_frontier|fresh|current_runtime_shell15_frontier_cache|load_current_shell15_frontier_runtime_artifact_|1|0|4|2|2|0|0|0|0|0|2|num=7 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,3->3);num=7 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,4->1)|num=7 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,3->3):0;num=7 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,4->1):0|antecedent_plus_twelve_frontier|2|2|0|||antecedent_plus_twelve_frontier|4|2|2|0|0|0|0|0|num=7 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,3->3);num=7 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,4->1)|1|1|2729415:14502595494155092201||Current authoritative path loaded validated shell15 frontier runtime artifacts; imported 84 data remains only as compatibility fallback and equality oracle.
support8_antecedent15_frontier_constructor_name	load_current_shell15_frontier_runtime_artifact_
support8_antecedent15_frontier_authoritative_source	current_runtime_shell15_frontier_cache
support8_antecedent15_frontier_fallback_hit	0
support8_antecedent15_frontier_runtime_fingerprint	support8_antecedent15_frontier|fresh|current_runtime_shell15_frontier_cache|load_current_shell15_frontier_runtime_artifact_|1|0|4|2|2|0|0|0|0|0|2|num=8 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,3->3);num=8 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,4->1)|num=8 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,3->3):0;num=8 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,4->1):0|support8_antecedent15_frontier|2|2|0|||support8_antecedent15_frontier|4|2|2|0|0|0|0|0|num=8 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,3->3);num=8 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,4->1)|1|1|2729415:14502595494155092201||Current authoritative path loaded validated shell15 frontier runtime artifacts; imported 84 data remains only as compatibility fallback and equality oracle.
