precondition_key	required	current_status	evidence_path	failure_action
support8_lock_current	1	pass	validate_support8_authoritative_completion_lock_data_	abort_shell16_attempt
docs_artifacts_audit_current	1	pass	artifact_completion_audit_90.tsv;document_completion_audit_90.tsv	abort_shell16_attempt
shell15_cache_constructor_available	1	pass	shell15_frontier_generation_fingerprint_90.tsv	abort_shell16_attempt
shell16_artifact_contract_available	1	pass	shell16_artifact_contract_90.tsv	abort_shell16_attempt
shell16_document_contract_available	1	pass	shell16_document_contract_90.tsv	abort_shell16_attempt
shell16_audit_contract_available	1	pass	shell16_audit_contract_90.tsv	abort_shell16_attempt
theorem_promotion_guard_active	1	pass	shell16_preflight_guardrail_90.tsv	abort_shell16_attempt
survivor_zero_claim_guard_active	1	pass	shell16_preflight_guardrail_90.tsv	abort_shell16_attempt
fallback_visibility_active	1	pass	shell16_audit_contract_90.tsv	abort_shell16_attempt
stale_artifact_detection_active	1	pass	shell16_audit_contract_90.tsv	abort_shell16_attempt
time_cost_guard_configured	1	pass	shell16_feasibility_90.tsv	abort_shell16_attempt
rollback_non_regression_protocol_available	1	pass	shell16_attempt_protocol_90.tsv	abort_shell16_attempt
