metric	value
selected_attempt_scope	shell16_survivor_probe_attempt
builder_used	1
cache_loaded	0
cache_load_path	load_current_shell16_runtime_artifact_
candidate_universe_count	4
raw_candidates	8
canonical_candidates	4
outside_bounded_candidates	4
local_exact_survivors	2
plus_one_survivors	0
theorem_preserving_survivors	0
unsupported_local_exact_candidates	0
unsupported_plus_one_candidates	0
result_classification	shell16_probe_completed_local_exact_survivors_present_no_theorem_preserving_survivors
runtime_fingerprint	981:4479772858934799504
fallback_reachable	0
fallback_hit	0
stale_artifact_status	fresh
timeout_or_cost_status	within_cost_cap
theorem_promotion_allowed	0
survivor_zero_theorem_claim_allowed	0
next_action	shell16_result_promotion_review
